image_dir,description,text
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_3.jpg,A library with a big window enlightning inside and a carpet on the floor,
data\output\divide_images_train\Capitulo 10\Comic10_009\panel_1.jpg,A man is studying a book and writing in a library,
data\output\divide_images_train\Capitulo 10\Comic10_009\panel_2.jpg,A man is writing and a hand grabs a book near him,PLOP
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_1.jpg,A girl hold her head with the arm and looks curious,MIRA
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_2.jpg,A girl adjusts her hair with a cheerful gesture,
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_3.jpg,A man gets scared with a look of surprise,¿TAN DIFÍCIL TE PARECE EL EXAMEN DE TRANSMUTACIÓN? EEEK!
data\output\divide_images_train\Capitulo 10\Comic10_010\panel_4.jpg,A man has a surprise expression and talks,¡LEAH! QUÉ SUSTO ME HAS DADO...
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_1.jpg,Notes and a book are on a table with ink on their,QUIERO DESTACAR EN EL EXAMEN. SE RUMOREA QUE EL QUE TENGA UN BUEN RESULTADO TENDRÁ PERMISOS PARA UNA INVESTIGACIÓN
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_2.jpg,A girl smiles with a happy expression,"AAAH, SI ESE RUMOR YA LO HE OÍDO YA"
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_3.jpg,A girl is about to cry with a sad expression,¿Y NO TE IMPORTA QUE SI TE DESTACAS Y TE LLEVAN A LA INVESTIGACIÓN ME DEJARÁS SOLA CON LA PANDA DE IMBÉCILES DE CLASE?
data\output\divide_images_train\Capitulo 10\Comic10_011\panel_4.jpg,Two men are sitting on a table and laughing. A man and a girl are turned bak seeing at them,EEK!
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_1.jpg,A man hold his head with his arm with an upset expression,TÚ NO ERES EL PROBLEMA. NO TE MOLESTARÁN. SABES PERFECTAMENTE QUE NO ME SOPORTAN
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_2.jpg,A girl is looking to her right,"YO TAMPOCO LO HAGO, PERO TIENES LOS APUNTES MÁS ORDENADOS DE TODOS. ALGO TENDRÉ QUE SACRIFICAR ¿NO?"
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_3.jpg,A man makes a pain gesture,¡AY! QUÉ CRUEL
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_4.jpg,A man and a girl are laughing in a library with a fun expression,JAJAJAJA
data\output\divide_images_train\Capitulo 10\Comic10_012\panel_5.jpg,,"!VALE! POR CIERTO, TIENES LA MANO MANCHADA DE TINTA"
data\output\divide_images_train\Capitulo 10\Comic10_013\panel_1.jpg,A man has a shocked and scared expression,
data\output\divide_images_train\Capitulo 10\Comic10_014\panel_1.jpg,A person is covered with a sheet and blood splites down,
data\output\divide_images_train\Capitulo 10\Comic10_014\panel_2.jpg,A man is extending his arm with a terror expression. Two soldiers are gabbing him violently,¡¡YO NO QUERÍA!!
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_2.jpg,Escoria an Edrei are leanning in a wall. Escoria has her arms crossed and a curious expression. Edrei is ytouching his lips and he looked sad,
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_3.jpg,,"CIERTO, ES UN BESO MUY AMARGO"
data\output\divide_images_train\Capitulo 10\Comic10_015\panel_4.jpg,Edrei touch his cheek with a sad expression,
