;ID;texto_tweet_original;valoracion_corpus;Texto_tweet;valoracion_calculada
23;24;La historia de #Trasmoz, el único pueblo excomulgado de España. ¡Descubre numerosas leyendas de carácter místico y… https://t.co/hbTt9qy4Tw;0;historia Trasmoz  único pueblo excomulgado España  Descubre numerosas leyendas carácter místico;0.0
24;25;Pide protejer la vida - El Heraldo de Aguascalientes https://t.co/MhKJtHRyWF https://t.co/hOBPt4vRUd;0;Pide protejer vida Heraldo Aguascalientes;0.0
25;26;Gracias a nuestro wazer:  juanpafdz reporta ligera carga en Viaducto cerca de metro Puebla hacia Zaragoza.;0;Gracias wazer  juanpafdz reporta ligera carga Viaducto cerca metro Puebla hacia Zaragoza ;-1.0
26;27;Se puede quedar uno a vivir en un video?                                                           Yo me quedo eter… https://t.co/51HFBtubOd;0;puede quedar vivir video  quedo eter;1.0
27;28;@SandyMILF2 Estas hermosa saludos desde atizapan de zaragoza;0;hermosa saludos atizapan zaragoza;1.0
28;29;Que Adela. Noriega REGRESA A LAS TELENOVELAS;0;Adela  Noriega REGRESA TELENOVELAS;0.0
29;30;@PatriotaNene Pues que se jodan en Aragón. Cada uno tiene lo que vota;0;Pues jodan Aragón  Cada vota;0.0
30;31;@batallon614 @ClubNecaxa Felicidades Batallón y que pronto celebremos muchas estrellas más;0;Felicidades Batallón pronto celebremos muchas estrellas;1.0
31;32;@heraldoes Yarza rata asquerosa!!!! Orlegi única opción 😡 https://t.co/JcVQJOD93B;0;Yarza rata asquerosa Orlegi única opción;0.0
32;33;@wigoSports Yo creo que se fue cuando venía el heraldo jajaja;0;creo venía heraldo jajaja;0.0
33;34;“Despacito, suavemente;0;Despacito  suavemente;0.0
34;35; dulcemente;0;dulcemente;0.0
35;36;" tiernam… https://t.co/F0zLO2my8x""";0;tiernam;0.0
36;37;Y yo mejor leo.... ;0;mejor leo  ;1.0
37;38;Ese pijama anaranjado de María/Angélica 😍🧡🧡🧡#MiradaDeMujerElRegreso #MiradaDeMujer                              Ang… https://t.co/5mmDmeRO4t;0;pijama anaranjado María Angélica MiradaDeMujerElRegreso MiradaDeMujer Ang;0.0
38;39;Mi casa te está esperando... ;0;casa esperando ;0.0
39;40;Voy a twittear algo muy de cornuda pero lo extraño mucho a Nico 😪❤️;0;Voy twittear cornuda extraño Nico;-1.0
40;41;Concejal de Zaragoza, Alberto Cubero defiende a la Revolución cubana ant... https://t.co/18mRMV8MVS via @YouTube;0;Concejal Zaragoza  Alberto Cubero defiende Revolución cubana ant  via;1.0
41;42;El grupo inversor de EE. UU. ultima una oferta vinculante por el @RealZaragoza https://t.co/KviRFzBXJl vía @heraldoes;0;grupo inversor EE  UU  ultima oferta vinculante vía;0.0
42;43;@heraldoes Si no surgen contratiempo... Somos el Real Zaragoza todo puede pasar;0;Si surgen contratiempo  Real Zaragoza puede pasar;-1.0
43;44;Paulina revolcándose en la tumba...;0;Paulina revolcándose tumba ;-1.0
44;45;@Basketball;0;;0.0
45;46;@jesus_solis Jaja 😅 ay pobrecito les ha costado tanto hacer sus empresas con el heraldo público :(;0;solis Jaja ay pobrecito costado hacer empresas heraldo público  ;-1.0
46;47;Angélica Aragón ;0;Angélica Aragón;0.0
47;48;SETROI NOTICIAS. Soria ¡Ya! defenderá en las Cortes de Castilla y León las necesidades de otras provincias.… https://t.co/JBuaX4YyxX;0;SETROI NOTICIAS  Soria defenderá Cortes Castilla León necesidades provincias ;-1.0
48;49;Angélica Aragón ;0;Angélica Aragón;0.0
49;50;♻️ La vaca marina que vivió en Huesca hace 42 millones de años... https://t.co/5i39GwEjLj;0;vaca marina vivió Huesca hace 42 millones años ;1.0
50;51;@vlc_JI @sabina66801497 @Tomillar63 @Morafanova @POZI1972 @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/aZPNzVwdOv;0;JI lustre ;0.0
51;52;Literal como Romeo y Julieta;0;Literal Romeo Julieta;0.0
52;53;@ACV___ @KamiKaz67046218 @PepHernandez4 @goriladalazi @DanielRodOrd @sabina66801497 @POZI1972 @FreeyellowMarta… https://t.co/C4T4oGY34d;0;;0.0
53;54;@PepaRivas2 @vm_patri @SILBEMOSF Así es. Molesta, pq entra en crisis el paciente. Se escudan en q no le pueden ayud… https://t.co/ClXNRGnxb7;0;patri Así  Molesta  pq entra crisis paciente  escudan q pueden ayud;-1.0
54;55;Angélica Aragón ;0;Angélica Aragón;0.0
55;56;@goriladalazi @PepHernandez4 @ACV___ @mestel9 @CtzenCaneSpain @FreeyellowMarta @DanielRodOrd @vxerocomunista… https://t.co/ovSCwsNqOd;0;;0.0
56;57;@EvaMariaPardo Sí, puede ser. Sobre la una llegan a Zaragoza las que salen de aquí sobre las once.;0; puede ser  llegan Zaragoza salen aquí once ;0.0
57;58;No se donde queda Zaragoza, ni cuando abrio su cine, lo que si se es que el hilo de donde salio esta captura, es un… https://t.co/0V7YmATDBH;0;queda Zaragoza  abrio cine  si hilo salio captura ;0.0
58;59;Angélica Aragón ;0;Angélica Aragón;0.0
59;60;@Sole85Uru Lo que es ser fan de Angélica Aragón jaja 🥰❤️;0;ser fan Angélica Aragón jaja;0.0
60;61;Ay!!! Por poco y lo cacha Nacho... jajaja;0;Ay cacha Nacho  jajaja;-1.0
61;62;📅 Hoy, 17 de febrero🕡 18:30h. ;0;Hoy  17 febrero 18  30h ;0.0
62;63;Zaragoza, España;0;Zaragoza  España;0.0
63;64;@vlc_JI @sabina66801497 @Tomillar63 @Morafanova @POZI1972 @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/OyJTCfXauI;0;JI lustre ;0.0
64;65;Problemas acrecentados por la pandemia de Covid-19, como el desabasto de medicamentos y un menor acceso a la atenci… https://t.co/8gPUZY4xOn;0;Problemas acrecentados pandemia Covid19  desabasto medicamentos menor acceso atenci;1.0
65;66;El Ministro de @SaludSV, @FranAlabi, informó que mañana, jueves 17 de febrero, se desarrollará una jornada de tamiz… https://t.co/fEQsmIa9Kt;0;Ministro   informó mañana  jueves 17 febrero  desarrollará jornada tamiz;1.0
66;67;@ricardomraphael @AdrianLarisC @heraldodemexico Que gusto saber que por lo menos ya no te tendremos en el Heraldo,… https://t.co/eQu6u0hfah;0;gusto saber menos Heraldo ;0.0
67;68;@SoyVixen @elbauldj En mina bajando de zaragoza hacia Méndez a unos metros de zaragoza.;0;mina bajando zaragoza hacia Méndez metros zaragoza ;-1.0
68;69;@sabina66801497 @Tomillar63 @Morafanova @POZI1972 @vlc_JI @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/TbGmo5bQfP;0;JI lustre ;0.0
69;70;👉 El termómetro oscilará entre los 10 grados de primera hora de la mañana y los 19 de primera hora de la tarde;0;termómetro oscilará 10 grados primera hora mañana 19 primera hora tarde;0.0
70;71;Zaragoza;0;Zaragoza;0.0
71;72;Ya que estén juntitos los cuerpos...😏😏😏😍😍😍;0;juntitos cuerpos ;0.0
72;73;@Lobita_Aragon @Valentnalopez1 Y a bad bunny por qué?;0;Aragon bad bunny ;0.0
73;74; sacrifícate tú;0;sacrifícate;0.0
74;75;@OHarfuch:Scrio Apostol, le dio franca y descanso el dia de hoy, para la velada a todos los polis de los equipos d… https://t.co/8Xbuq9x8y9;0; Scrio Apostol  dio franca descanso dia hoy  velada polis equipos d;0.0
75;76;@TangerinSmorgas @Yareli_Garcia0 Si, es la de Carmen y está súper bonita esa foto...;0;Garcia0 Si  Carmen súper bonita foto ;0.0
76;77;@Team_Aragon Así que le vas bajando;0;Aragon Así vas bajando;-1.0
77;78;@blanquiss_b cállate 😅😅;0;b cállate;0.0
78;79;@cami_huesca si chuy;0;huesca si chuy;0.0
79;80;tú tan fuckboy, yo siempre tan buena;0;tan fuckboy  siempre tan buena;1.0
80;81;Mira Jerónimo la tribu Ojoreña somos un chin...muchos!!! 🤬🤬;0;Mira Jerónimo tribu Ojoreña chin ;0.0
81;82;@ayudaizzi buenas noches en la colonia valle de Aragón 1a sección hace más de dos horas que se cayó el servicio de… https://t.co/yYvWWdXosH;0;buenas noches colonia valle Aragón 1a sección hace dos horas cayó servicio;1.0
82;83;La tribu.. somos muchos;0;tribu  ;0.0
83;84;Descansa..... Buenas noches linda señora... ;0;Descansa    Buenas noches linda señora ;1.0
84;85;En ese momento Cell sintió el verdadero terror... 😱😱;0;momento Cell sintió verdadero terror ;0.0
85;86;Marcos Menchaca cásate conmigo;0;Marcos Menchaca cásate conmigo;0.0
86;87;Jajaja pobre, se le juntan en la casa.. ;0;Jajaja pobre  juntan casa  ;-1.0
87;88;@RNMX_Oficial Y Angélica Aragon ? 😢;0;Oficial Angélica Aragon ;0.0
88;89;prq si no es contigo no es con nadie masss;0;prq si contigo nadie masss;0.0
89;90;@ivetteae MAS mercado de autoservicio, existía  por Ignacio Zaragoza y Aeropuerto;0;MAS mercado autoservicio  existía Ignacio Zaragoza Aeropuerto;0.0
90;91;@Pepetonozam No, más bien esta cerca de donde está la estación de bomberos. Está por la calle Ignacio Zaragoza. ;0; bien cerca estación bomberos  calle Ignacio Zaragoza ;-1.0
91;92;México 🇲🇽;0;México;0.0
92;93;Y válgame... Válgame el señor que hermosa esta Angélica Aragón.;0;válgame  Válgame señor hermosa Angélica Aragón ;1.0
93;94;Vi el tweet del Heraldo de la encuesta a gobernador a Oaxaca y la gente andaba de clasista diciendo que por eso no… https://t.co/XuvTjNP02X;0;Vi tweet Heraldo encuesta gobernador Oaxaca gente andaba clasista diciendo;0.0
94;95;!ay¡ Paulinita.... Ay Paulinita.... ;0;ay Paulinita   Ay Paulinita  ;-1.0
95;96;@Soccer;0;;0.0
96;97;@RubiaYPoderosa @LauSaraiii Si lee el resto de las respuestas y comentarios, verá que si autorizó y hasta mostró la… https://t.co/mkmLE7FKcH;0;Si lee resto respuestas comentarios  verá si autorizó mostró;0.0
97;98;Por amistad, Vero, cuidarnos a Don Oso un ratín... 🤏🏼🤏🏼🤏🏼;0;amistad  Vero  cuidarnos Don Oso ratín ;-1.0
98;99;Un mal momento no equivale a un mal día.;0;mal momento equivale mal día ;-1.0
99;100;@mendezLopezg1 XD es que le ganaron los celos ;0;XD ganaron celos;1.0
100;101;XD practicando para pegarle a Alejandro... ;0;XD practicando pegarle Alejandro ;0.0
101;102;@LauSaraiii Esperando ver las redes sociales de su manicurista...;0;Esperando ver redes sociales manicurista ;0.0
102;103;@AsiEsMonterrey El patio por la calle Zaragoza;0;patio calle Zaragoza;-1.0
103;104;Alexa, ¿qué es la belleza? ;0;Alexa  belleza ;0.0
104;105;♻️ La vaca marina que vivió en Huesca hace 42 millones de años... https://t.co/OJFPMc7KJE;0;vaca marina vivió Huesca hace 42 millones años ;1.0
105;106;@silfide_pleyade @LauSaraiii @draninanoreen Cómo eso es clasista?? 😅;0;pleyade Cómo clasista  ;0.0
106;107;@RenJustRen @__monicaaaa_ Un dude en el grupo de CCH Vallejo dijo que sacaran algo o iba a ir al Shein, en realidad… https://t.co/cCqN4dIFqj;0; monicaaaa dude grupo CCH Vallejo dijo sacaran iba ir Shein  realidad;0.0
107;108;@OHarfuch: Secretario, el C1 Del Pueblo De San Juan De Aragon (Prioritario), La señora Flor Madrid Utiliza a los 3… https://t.co/8lTIS9s0jM;0; Secretario  C1 Pueblo San Juan Aragon  Prioritario   señora Flor Madrid Utiliza 3;1.0
108;109;@adelaidosa_ @LauSaraiii Y la sirenita!;0; sirenita;0.0
109;110;@Zabdi_huesca @tutiofifa @isydrox @Adr1anefYT @maniako57_ws Como te va ese ronaldo bro;0;huesca ws va ronaldo bro;0.0
110;111;Hermosa! Angélica Aragón 😍🥰;0;Hermosa Angélica Aragón;1.0
111;112;@RezaAzul0 @varllaga7 @JLUIS_CUEVAS No te confundas celebramos la entrega y disposición de nuestro equipo que peleo… https://t.co/8sjOi773tE;0;CUEVAS confundas celebramos entrega disposición equipo peleo;-1.0
112;113;Día 141 viendo #MiradaDeMujer ;0;Día 141 viendo MiradaDeMujer;0.0
113;114;Seré heraldo de buenas noticias...;0;heraldo buenas noticias ;1.0
114;115;#ULTIMAHORA #covid ;0;ULTIMAHORA covid;0.0
115;116;" San Salvador // Frente a Maxi Despensa San Bartolo y Par… https://t.co/1FUgpaIyew""";0;San Salvador Frente Maxi Despensa San Bartolo Par;1.0
116;117;💕⭐️AA⭐️💕             #MiradaDeMujerElRegreso #MiradaDeMujer                             Angélica Aragón https://t.co/qBbZYGoH8m;0;AA MiradaDeMujerElRegreso MiradaDeMujer Angélica Aragón;0.0
117;118;Eso me recordó...;0;recordó ;-1.0
118;119;" Ignacio""""...";0;Ignacio   ;0.0
119;120;"@marpec27 Aguado en cada jugada , y que decir del ""Cuco"" corre raro no tiene intensidad y tampoco es letal en el ár… https://t.co/jYkRiF3tAU";0;Aguado cada jugada  decir  Cuco  corre raro intensidad tampoco letal ár;-1.0
120;121;Una mujer muere tras prenderse su pelo con un cigarro en una residencia en Santa Fe: https://t.co/xdK38FC484;0;mujer muere tras prenderse pelo cigarro residencia Santa Fe ;-1.0
121;122;Angélica Aragón ;0;Angélica Aragón;0.0
122;123;@gaditana1989 No porque siguen hablando los de aragon a voces;0;siguen hablando aragon voces;0.0
123;124;2. Puebla de Zaragoza;0;2  Puebla Zaragoza;0.0
124;125;The user @𝗷.𝗺, @𝗮𝗯𝗰𝗱𝗲𝗳𝗴𝗵𝗶__𝗹𝗺𝗻𝗼𝗽𝗾𝗿𝘀𝘁𝘂𝘃𝘄𝘅𝘆𝘇 and @𝗿𝗸𝗶𝘃𝗲 do not know the mess of emotions that their smiles cause me.;0;The user  𝗷  𝗺   𝗮𝗯𝗰𝗱𝗲𝗳𝗴𝗵𝗶𝗹𝗺𝗻𝗼𝗽𝗾𝗿𝘀𝘁𝘂𝘃𝘄𝘅𝘆𝘇 and  𝗿𝗸𝗶𝘃𝗲 do not know the mess of emotions that their smiles cause ;0.0
125;126;Y a toparse otro Rompepelotas en Av Centenario (Eje 1 Oriente) cruzando Oriente 157, → Norte. Lo zanjáis por San Ju… https://t.co/Q5BMsJ20Mj;0;toparse Rompepelotas Av Centenario  Eje 1 Oriente  cruzando Oriente 157  Norte  zanjáis San Ju;1.0
126;127;@xit_zaragoza @AndiheC @FatimaAleG @AlexaGissara Nos llaman las puercas jajaja https://t.co/gsikqMarRf;0;zaragoza llaman puercas jajaja;0.0
127;128;Angélica Aragón;0;Angélica Aragó;0.0
128;129;Empiecen a ir cada fin de semana a pasear a Tepito, Milpa Alta, Tlahuac, Ecatepec, Neza, Aragón y suban sus fotos c… https://t.co/CEAPVKv2DF;0;Empiecen ir cada fin semana pasear Tepito  Milpa Alta  Tlahuac  Ecatepec  Neza  Aragón suban fotos c;1.0
129;130;Estamos al aire...;0;aire ;-1.0
130;131;El puto trio de aragon impide que rafa duerma en la naranja. Que ganas de echarlos;0;puto trio aragon impide rafa duerma naranja  ganas echarlos;1.0
131;132;Alch Aragon fue mi primer crush cñor.;0;Alch Aragon primer crush cñor ;0.0
132;133;Angélica Aragón ;0;Angélica Aragón;0.0
133;134;En El Heraldo Deportes Jalisco tenemos información de Champions League, Concachampions, Mazatlán-América, Atlas, An… https://t.co/FIsoRTpp5W;0;Heraldo Deportes Jalisco información Champions League  Concachampions  MazatlánAmérica  Atlas  An;0.0
134;135;🟡 Las bajas de dos titulares como Navas y Loiodice imponen darle otra vuelta al equipo;0;bajas dos titulares Navas Loiodice imponen darle vuelta equipo;-1.0
135;136;" que hoy se ejerci… https://t.co/OTCpoRYBDd""";0;hoy ejerci;0.0
136;137;@OHarfuch: Buena Noche Secretario, esto sucede a diario, en el cuadrante # 1 del pueblo de san juan de aragon, peri… https://t.co/78m5GhGxRp;0; Buena Noche Secretario  sucede diario  cuadrante 1 pueblo san juan aragon  peri;1.0
137;138;Extraño a mi mejor amiga y a su mamá :((;0;Extraño mejor amiga mamá   ;0.0
138;139;@ReydelaSelva84 Si, la verdad súper actor, el italiano que la hace del papá también actúa muy bien, Angelica Aragón… https://t.co/shKiZP0rD4;0;Si  verdad súper actor  italiano hace papá actúa bien  Angelica Aragón;1.0
139;140;@elheraldoco No tienen ni idea de la verdadera realidad de violencia de Colombia y sus causas. Heraldo no haga eco… https://t.co/nIVDUesjEr;0;idea verdadera realidad violencia Colombia causas  Heraldo haga eco;-1.0
140;141;Ministro de @SaludSV, @FranAlabi, informa que las cabinas móviles estarán en:;0;Ministro   informa cabinas móviles ;0.0
141;142;" San Salvador // Frente a… https://t.co/GJpeYVSE4W""";0;San Salvador Frente;1.0
142;143;@Karol_Ariaas Ese es otro nivel :’v;0;Ariaas nivel  v;0.0
143;144;#DePaís | En el Tribunal Primero de Sentencia de Santa Tecla, son enjuiciados tres miembros de la pandilla 18, por… https://t.co/PcewcxR4Io;0;DePaís Tribunal Primero Sentencia Santa Tecla  enjuiciados tres miembros pandilla 18 ;0.0
144;145;🚨Servicios de emergencia trabajan por motociclista accidentado sobre Blvd. Puerto Aéreo y Calz. Ignacio Zaragoza, c… https://t.co/Wr32U9lBjE;0;Servicios emergencia trabajan motociclista accidentado Blvd  Puerto Aéreo Calz  Ignacio Zaragoza  c;-1.0
145;146;@J_Zaragoza_ Cordón sanitario a los asesinos de ETA y a sus socios, como el PSOE;0;Zaragoza Cordón sanitario asesinos ETA socios  PSOE;-1.0
146;147;Madrid - TOledo;0;Madrid TOledo;0.0
147;148;Me informan que el bosque de Aragón no tiene canguros ni koalas que abrazan balones de futbol.;0;informan bosque Aragón canguros koalas abrazan balones futbol ;0.0
148;149;" oh decepción.""";0;oh decepción  ;-1.0
149;150;eale, pa rematar el día, perdí la cajita de mis airpods en un vía zaragoza 😀;0;eale  pa rematar día  perdí cajita airpods vía zaragoza;-1.0
150;151;@berenixe_07 @kazteny_bravo amén;0;07 bravo amé;1.0
151;152;si extrañaba ir a entrenar;0;si extrañaba ir entrenar;-1.0
152;153;@FuerteAzul09 Mejor q le den oportunidad a Huesca;0;Mejor q den oportunidad Huesca;1.0
153;154;como hablen de Teruel a Adri por fin cuente lo suyo y no lo estemos perdiendo, no lo voy a perdonar jamás  #secret;0;hablen Teruel Adri fin cuente perdiendo  voy perdonar jamás secret;-1.0
154;155;@Encuest4sFutbol Esteban rolon y lautaro teruel;0;Esteban rolon lautaro terue;0.0
155;156;#NRSV |😷Mañana hará pruebas para detectar #COVID19 en:;0;NRSV Mañana hará pruebas detectar COVID19 ;0.0
156;157;" San Salvador // Frente a Maxi Despensa San Bartol… https://t.co/7haC4iy84g""";0;San Salvador Frente Maxi Despensa San Bartol;1.0
157;158;cero chidisimo eso ehh;0;cero chidisimo ehh;0.0
158;159;@AdrianLarisC  Es increíble que también El Heraldo de México, muestre su miedo ante la 4T, al despedir a Ricardo Ra… https://t.co/5aOm19imWJ;0;increíble Heraldo México  muestre miedo 4T  despedir Ricardo Ra;-1.0
159;160;@xiaraa_huesca claroooo q no 🥸;0;huesca claroooo q;0.0
160;161;intentaré enamorarte todos los días que pasen;0;tentaré enamorarte días pase;0.0
161;162;Buen día #Aragón. Hoy en #Teruel poco nuboso, con max de 19º y min de 4º.  En #Huesca #Uesca poco nuboso, con max d… https://t.co/PtNQwCOePw;0;Buen día Aragón  Hoy Teruel nuboso  max 19º min 4º  Huesca Uesca nuboso  max d;1.0
162;163;@contralinea @nancy_contra Pos ya lo corrieron de El Heraldo , ya ves lo que provocan Nancy?? https://t.co/tIr7v2bTJx;0;Pos corrieron Heraldo  ves provocan Nancy  ;0.0
163;164;@Ecatepec En colonias como la nueva Aragón años sin servicio de agua las pipas particulares abusan con sus precios… https://t.co/NWQURbsUDb;0;colonias nueva Aragón años servicio agua pipas particulares abusan precios;0.0
164;165;Mañana, 17 de febrero, el tamizaje comunitario será:;0;Mañana  17 febrero  tamizaje comunitario ;0.0
165;166;" San Salvador // Frente a Maxi Despensa San Bartolo… https://t.co/aLrROPF0pk""";0;San Salvador Frente Maxi Despensa San Bartolo;1.0
166;167;@ricardomraphael @CarlaEUrenaA @INEMexico @lopezobrador_ @JesusRCuevas @Adela_Micha y @maca_online hablarán mañana… https://t.co/QpCQrB3kr5;0; Micha online hablarán mañana;0.0
167;168;@fchiguil @lopezobrador_ Y cuando van a terminar el bosque de Aragón que desde que estuvo tu jefe y no han podido t… https://t.co/5pz2m88SLs;0; van terminar bosque Aragón jefe podido t;0.0
168;169;@ricardomraphael @AdrianLarisC @heraldodemexico Caray, Heraldo. ;0;Caray  Heraldo ;0.0
169;170;@cndromeroo Me enamoras cada día mas... 😍😍😍;0;enamoras cada día mas ;0.0
170;171;@marcio_teruel @CDeportivoFAS Grande Marcinho, abrazos de gol !!!;0;teruel Grande Marcinho  abrazos gol;1.0
171;172;Todos sabemos que hoy Adri se entera de lo de Teruel;0;sabemos hoy Adri entera Terue;0.0
172;173;@mestel9 @vxerocomunista @ACV___ @vlc_JI @PepHernandez4 @Juanma_Saez @POZI1972 @FreeyellowMarta @DanielRodOrd… https://t.co/9vTs3i9tfr;0; JI Saez;0.0
173;174;siempre noooo;0;siempre noooo;0.0
174;175;¡PRIMER CONGRESO DE INFLUENCERS! ;0;PRIMER CONGRESO INFLUENCERS;0.0
175;176;" será el primer congreso de Marketing de Influencia de España. Se… https://t.co/GJ5sG9FijH""";0;primer congreso Marketing Influencia España ;0.0
176;177;@marcio_teruel @CDeportivoFAS Grande Marcio;0;teruel Grande Marcio;1.0
177;178;El tiempo en #Zaragoza ahora. Temperatura: 11 Condiciones: Partly Cloudy Velocidad del viento 18 Dirección del vien… https://t.co/nyRD5sL3Nz;0;tiempo Zaragoza ahora  Temperatura  11 Condiciones  Partly Cloudy Velocidad viento 18 Dirección vien;0.0
178;179;🚨 Atención vecinos de la Alcaldía Gustavo A. Madero  @TuAlcaldiaGAM, el próximo;0;Atención vecinos Alcaldía Gustavo Madero  próximo;0.0
179;180; 4:30 pm;0;4  30 pm;0.0
180;181;El fallido ataque de José Zaragoza (PSOE) a Pablo Casado (PP) https://t.co/YcI6paZeyt;0;fallido ataque José Zaragoza  PSOE  Pablo Casado  PP ;-1.0
181;182;En su visita por la entidad, el Cardenal Alberto Suárez, pidió a las autoridades encargadas de la seguridad pública… https://t.co/eOIWolNlel;0;visita entidad  Cardenal Alberto Suárez  pidió autoridades encargadas seguridad pública;1.0
182;183;#AHORA | #ElHeraldoRadio;0;AHORA ElHeraldoRadio;0.0
183;184;@mag_aragon Se me cayó en la calle 🥲;0;aragon cayó calle;-1.0
184;185;el q dijo y no hizo no pudo;0;q dijo hizo pudo;0.0
185;186;@AsiEsMonterrey Kodak en la esquina de Padre Mier y Zaragoza;0;Kodak esquina Padre Mier Zaragoza;0.0
186;187;@Joanfer2004_Win @tutiofifa @isydrox @Adr1anefYT @maniako57_ws La verdad muy bueno ese Davies te marca mucho en defensa;0;Win ws verdad bueno Davies marca defensa;1.0
187;188;El equipo de EL HERALDO Plus le muestra en la siguiente serie de gráficos los homicidios registrados desde el 2013… https://t.co/I4RKOgi12G;0;equipo HERALDO Plus muestra siguiente serie gráficos homicidios registrados 2013;-1.0
188;189;☀️ Jaime I de Aragón: el rey que nació de una conspiración y cuyo nombre decidió un curioso ritual... https://t.co/ggwxqO0avm;0;Jaime I Aragón  rey nació conspiración cuyo nombre decidió curioso ritual ;0.0
189;190;@telmex @TELMEXSoluciona hola buenas noches. Disculpen, pero no tengo servicio de internet desde hace varias horas.… https://t.co/NOaRwmelHM;0;hola buenas noches  Disculpen  servicio internet hace varias horas ;1.0
190;191;@zaragoza_salma @lupitodrn Manifestando;0;salma Manifestando;-1.0
191;192;@Tonicanto1 Imagínate que estamos en la Batalla de Teruel, bueno como dice la historia contraatacar y ganar !!!!;0;Imagínate Batalla Teruel  bueno dice historia contraatacar ganar;1.0
