user_id,product_id,order_id,days_since_prior_order,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,order_id_user,product_id_user,days_since_prior_order_user,Day_1_user,Day_2_user,Day_3_user,Day_4_user,Day_5_user,Day_6_user,Day_7_user,Hour_8_user,Hour_9_user,Hour_10_user,Hour_11_user,Hour_12_user,Hour_13_user,Hour_14_user,Hour_15_user,Hour_16_user,Hour_17_user,Hour_18_user,Hour_19_user,Hour_20_user,Hour_21_user,Hour_22_user,Hour_23_user,order_id_prod,user_id_prod,days_since_prior_order_prod,Day_1_prod,Day_2_prod,Day_3_prod,Day_4_prod,Day_5_prod,Day_6_prod,Day_7_prod,Hour_8_prod,Hour_9_prod,Hour_10_prod,Hour_11_prod,Hour_12_prod,Hour_13_prod,Hour_14_prod,Hour_15_prod,Hour_16_prod,Hour_17_prod,Hour_18_prod,Hour_19_prod,Hour_20_prod,Hour_21_prod,Hour_22_prod,Hour_23_prod
10,43,6,0.0,0,0,2,1,1,0,2,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,15,19,0,0,5,5,6,6,3,3,0,0,0,5,3,1,2,3,2,0,6,0,3,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
11,43,16,0.0,0,2,4,8,0,0,2,0,0,0,1,2,4,1,0,2,2,1,0,2,1,0,0,32,19,0,3,5,13,14,3,4,6,0,0,1,2,7,7,5,0,9,6,3,3,3,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
12,43,14,0.0,2,4,2,1,2,3,0,0,0,0,2,0,3,0,2,2,0,1,1,1,2,0,0,31,26,0,11,8,9,9,7,8,0,0,0,4,6,8,13,1,3,3,1,2,3,4,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
13,43,11,0.0,0,1,5,4,1,0,0,0,0,1,1,1,1,2,1,1,1,1,0,0,1,0,0,23,19,2,0,7,9,11,4,4,0,2,0,1,3,2,8,5,4,1,4,1,2,0,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
14,43,9,0.0,4,0,1,3,1,0,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,0,0,19,18,0,8,4,3,10,1,1,2,0,3,1,0,0,2,1,3,5,2,1,9,2,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
15,43,12,0.0,2,2,3,2,0,0,3,0,0,0,2,0,2,5,0,0,0,1,1,0,1,0,0,26,31,1,7,3,10,12,9,3,8,0,0,0,9,7,6,15,1,5,0,4,2,2,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
16,43,10,0.0,1,0,3,1,1,3,1,0,0,0,1,1,0,1,1,1,0,0,3,2,0,0,0,25,31,1,4,4,13,4,4,18,2,0,0,6,3,2,1,4,9,3,1,1,12,6,0,0,1,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
17,43,6,0.0,0,0,2,2,0,1,1,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,13,15,2,5,0,3,3,2,3,5,0,3,0,0,1,3,5,0,4,0,0,5,0,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
18,43,16,0.0,1,2,4,2,2,2,3,0,0,0,1,2,1,3,1,2,1,0,2,2,0,1,0,27,25,6,3,8,11,5,2,7,13,0,0,0,9,7,6,6,3,2,1,1,7,5,1,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
19,43,11,0.0909,1,1,2,1,2,3,1,0,0,1,1,0,2,0,0,1,1,3,0,1,1,0,0,22,19,1,5,11,3,3,5,4,1,0,0,8,1,0,3,2,1,5,3,4,2,2,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
20,43,13,0.0769,3,1,2,2,4,0,1,0,0,2,0,0,2,3,0,1,0,0,1,4,0,0,0,24,29,1,12,7,5,8,12,4,3,0,0,5,0,0,9,11,1,3,7,0,4,8,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
21,43,13,0.0769,0,2,2,3,5,0,1,0,0,0,1,0,2,2,1,2,0,1,3,0,1,0,0,23,26,0,2,5,6,11,16,3,5,0,0,1,4,4,5,4,1,6,0,13,8,0,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
22,43,14,0.0,1,1,0,3,3,6,0,0,0,0,0,1,5,1,1,1,0,1,2,1,1,0,0,24,20,0,1,7,0,5,11,15,4,0,0,0,0,8,11,5,2,4,0,2,3,4,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
23,43,7,0.0,2,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,2,0,0,0,0,13,14,0,8,2,4,1,5,1,3,0,0,0,5,3,4,2,2,1,2,0,5,0,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
24,43,11,0.0,2,1,3,1,1,1,2,0,0,0,0,0,3,1,2,0,0,1,1,3,0,0,0,27,30,0,11,7,14,9,1,2,4,0,0,1,3,2,8,3,8,0,6,4,3,7,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
25,43,12,0.0,2,1,3,1,2,3,0,0,0,0,2,1,0,0,1,2,0,0,3,1,2,0,0,25,24,1,6,6,8,5,12,11,0,0,0,0,3,7,0,11,1,2,1,0,11,5,7,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
26,43,7,0.1428,0,0,3,0,1,1,2,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,22,24,1,5,0,10,3,5,4,7,0,0,1,6,0,2,0,1,0,5,4,2,8,3,2,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
27,43,7,0.0,2,0,0,1,2,1,1,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,23,27,0,10,3,5,10,5,7,3,0,0,1,1,2,3,6,5,5,0,1,4,13,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
28,43,8,0.125,2,1,0,5,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,1,0,0,25,30,1,10,5,3,15,4,3,7,0,4,0,6,8,7,8,3,0,2,2,3,0,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
29,43,4,0.0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,14,20,0,2,9,2,7,8,1,0,0,0,3,1,3,3,1,0,3,0,4,9,2,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
30,43,9,0.0,0,2,1,2,0,3,1,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,18,22,0,1,4,3,4,6,14,5,0,0,0,8,2,7,5,0,3,5,3,1,2,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
31,43,7,0.0,3,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,15,14,13,9,0,3,3,2,3,2,0,0,0,0,8,3,2,1,0,0,3,1,3,0,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
32,43,7,0.0,0,3,1,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,2,0,1,0,0,11,9,0,0,4,4,3,0,2,4,0,0,0,0,0,6,1,2,1,3,0,3,0,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
33,43,7,0.1428,3,0,3,0,1,0,0,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,13,17,0,7,5,7,0,2,5,0,0,0,2,3,9,2,0,2,0,2,0,2,0,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
34,43,10,0.1,0,0,4,1,1,2,2,0,0,0,1,1,1,2,1,0,2,0,0,1,0,1,0,18,13,0,0,0,14,5,2,3,3,0,0,0,2,4,1,8,1,1,4,2,0,2,1,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
35,43,6,0.0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,13,20,1,3,9,3,2,3,9,0,0,5,1,0,0,2,5,7,0,3,1,3,0,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
36,43,8,0.0,0,2,1,1,1,0,3,0,0,0,0,0,1,3,0,1,1,0,0,0,2,0,0,15,22,0,0,6,6,8,4,0,10,0,0,0,1,2,4,10,0,1,3,1,1,6,5,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
37,43,9,0.1111,1,2,3,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,16,13,0,2,3,3,5,6,2,1,0,0,0,3,2,3,2,1,0,1,1,5,3,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
38,43,17,0.0,3,4,2,3,3,2,0,0,0,0,1,1,2,6,0,0,0,1,3,3,0,0,0,33,29,0,12,12,13,14,6,4,0,0,3,0,3,7,6,13,4,1,0,5,11,8,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
39,43,8,0.0,1,2,0,2,0,1,2,0,0,0,2,1,1,1,0,0,1,0,1,1,0,0,0,18,20,0,3,11,0,5,3,5,4,0,0,0,3,8,4,5,1,0,3,4,1,1,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
40,43,7,0.0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,19,23,1,5,2,2,13,6,6,0,0,1,0,3,1,6,2,2,8,0,2,7,2,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
41,43,11,0.0,2,4,0,4,0,0,1,0,0,0,0,0,2,2,1,2,1,0,1,1,1,0,0,23,18,1,5,16,1,9,1,0,4,0,1,2,1,2,9,5,2,4,1,0,6,1,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
42,43,7,0.1428,0,1,0,0,0,4,2,0,0,1,0,1,1,1,0,0,0,2,0,1,0,0,0,23,26,1,5,8,3,2,2,16,7,0,0,6,1,2,5,8,0,2,0,2,10,4,2,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
43,43,9,0.0,1,2,0,1,2,3,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,0,0,22,26,1,5,10,5,3,3,9,5,0,0,3,1,2,3,5,5,1,3,6,7,1,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
44,43,11,0.0,0,0,3,4,1,1,2,0,0,0,0,0,1,2,1,2,0,2,1,1,1,0,0,16,11,0,0,1,3,6,6,4,6,0,0,0,0,1,1,5,2,4,0,6,3,1,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
45,43,13,0.0,2,2,2,1,0,3,3,0,0,0,0,2,3,2,0,0,2,0,1,2,1,0,0,21,23,0,3,12,7,5,1,8,6,0,0,1,1,2,17,5,2,0,3,3,1,5,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
46,43,17,0.05884,2,2,2,3,4,2,2,0,0,1,1,2,3,1,0,1,1,0,1,5,1,0,0,30,24,0,3,8,7,4,18,4,6,0,0,2,4,4,11,5,0,3,2,3,1,9,6,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
47,43,8,0.0,2,3,1,1,0,1,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,0,0,14,12,0,5,4,2,7,0,1,4,0,0,0,4,1,2,5,0,2,4,1,0,2,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
48,43,13,0.0,3,2,1,1,2,4,0,0,0,0,2,1,2,0,1,1,0,2,2,1,0,1,0,21,19,0,5,7,8,4,6,6,1,0,0,0,4,2,8,0,2,7,0,3,8,1,0,2,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
49,43,9,0.0,1,1,2,0,1,3,1,0,0,0,0,0,0,2,3,0,0,1,1,2,0,0,0,14,13,0,2,1,6,1,2,8,2,0,1,0,0,1,2,3,6,0,0,2,1,6,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
50,43,9,0.0,1,0,0,2,0,6,0,0,0,0,1,1,1,0,1,0,1,0,0,0,4,0,0,21,22,0,3,1,4,4,5,19,1,0,0,0,6,2,7,0,9,0,3,0,3,1,6,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
51,43,10,0.0,2,2,0,1,2,2,1,0,0,0,1,0,0,2,2,0,1,0,0,2,2,0,0,20,21,1,3,10,2,5,6,5,3,0,0,0,1,0,1,7,5,3,2,0,2,7,6,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
52,43,7,0.0,0,0,0,0,2,3,2,0,0,0,0,1,0,0,0,0,3,0,2,0,0,1,0,23,21,2,3,0,5,7,3,5,8,0,1,0,4,5,4,0,4,1,3,1,2,0,4,2,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
53,43,12,0.0,1,1,1,1,4,4,0,0,0,0,1,1,1,2,1,2,0,0,1,2,1,0,0,18,15,0,4,5,1,3,12,12,0,0,0,0,4,3,6,2,6,7,0,1,2,4,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
54,43,6,0.8335,1,2,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,15,20,1,1,6,1,0,2,8,7,0,0,1,3,1,7,2,1,0,1,4,4,1,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
55,43,12,0.0833,1,1,2,2,5,0,1,0,0,1,1,0,0,1,1,1,1,2,2,2,0,0,0,23,21,1,9,1,2,5,16,2,5,0,0,5,1,0,2,6,6,1,3,3,7,6,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
56,43,9,0.0,1,1,1,2,2,1,1,0,0,0,0,0,2,3,0,0,0,1,1,1,1,0,0,22,27,1,1,12,4,4,9,6,2,0,0,1,0,6,4,11,1,0,4,6,3,1,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
57,43,14,0.0,1,1,6,1,1,3,1,0,0,0,1,2,1,1,2,2,2,1,0,1,0,1,0,22,16,0,4,4,9,1,2,11,2,0,0,0,3,2,6,4,2,6,4,1,2,2,0,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
58,43,11,0.0,3,1,0,2,1,1,3,0,0,1,0,0,3,2,0,0,2,0,1,1,1,0,0,29,31,0,12,2,6,8,9,3,11,0,0,5,1,1,5,16,5,0,7,0,5,5,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
59,43,8,0.125,1,0,1,1,3,1,1,0,1,0,1,1,0,0,0,1,1,1,0,2,0,0,0,19,21,1,5,2,9,2,8,5,1,0,1,0,10,5,0,3,1,2,2,1,0,5,2,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
60,43,4,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,16,25,1,5,10,9,1,4,4,1,0,0,0,6,4,7,3,0,2,2,7,1,1,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
61,43,7,0.0,1,2,2,1,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,0,0,19,26,0,9,6,4,7,7,4,4,0,0,6,4,8,0,3,5,1,0,3,0,5,6,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
62,43,4,0.0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,18,18,1,2,3,1,9,9,1,0,0,0,0,0,2,4,1,4,3,0,5,1,2,2,0,1,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
63,43,7,0.0,1,3,0,0,1,1,1,0,0,0,0,1,2,0,2,0,0,0,0,1,1,0,0,12,12,0,2,6,0,1,6,4,1,0,0,1,0,2,5,1,4,0,1,0,0,1,5,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
64,43,17,0.05884,3,0,3,2,5,2,2,0,0,1,1,3,2,3,1,0,1,0,0,3,2,0,0,27,26,1,5,1,7,7,16,12,7,0,0,1,4,7,9,9,7,0,2,2,2,6,6,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
65,43,10,0.0,1,1,2,1,5,0,0,0,0,0,0,1,3,0,0,0,1,2,1,1,1,0,0,21,30,0,1,8,4,1,16,8,7,0,0,0,0,7,20,1,0,4,2,8,1,1,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
66,43,6,0.1666,1,2,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,15,17,0,4,5,2,5,4,3,4,0,0,1,2,1,8,1,2,0,0,0,4,4,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
67,43,10,0.0,1,1,2,1,1,3,1,0,0,1,2,2,0,1,1,0,0,0,1,1,1,0,0,23,28,2,3,4,13,11,2,8,5,0,0,6,9,6,0,1,3,2,0,6,6,6,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
68,43,11,0.0909,2,3,0,1,2,2,1,0,0,1,1,0,0,1,2,1,1,2,2,0,0,0,0,31,29,0,6,14,4,9,5,4,3,0,0,4,5,0,4,6,2,2,4,3,4,6,4,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
69,43,10,0.0,1,2,2,0,3,1,1,0,0,0,1,1,0,2,2,1,0,0,1,0,2,0,0,18,17,0,2,4,5,3,8,4,3,0,0,0,4,2,3,5,3,3,1,1,1,2,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
70,43,6,0.0,0,1,1,0,2,0,2,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,20,26,0,2,5,6,2,11,2,7,0,0,2,0,0,8,3,3,2,0,1,7,5,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
71,43,10,0.0,1,1,0,1,2,4,1,0,0,0,1,0,0,1,3,0,0,0,1,4,0,0,0,22,24,0,7,15,0,3,7,8,4,0,0,0,4,4,1,4,16,1,4,1,1,8,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
72,43,15,0.06665,2,5,1,1,2,2,2,0,0,1,1,0,2,3,2,1,0,2,3,0,0,0,0,30,23,0,4,12,6,5,5,6,5,0,0,1,6,3,5,5,5,3,0,3,8,1,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
73,43,9,0.0,2,1,2,3,0,0,1,0,0,0,0,0,3,0,0,0,0,3,1,1,1,0,0,20,23,0,7,1,6,19,0,4,2,0,0,1,0,3,8,2,9,0,4,5,2,4,1,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
