SEXO,IDSEXO,TIPOCUERPO,IDTIPOCUERPO,TIPOPRENDA,IDTIPOPRENDA,MODELO,IDMODELO,LONGITUD,CORTE,BOLSILLOS,ELASTICOS,ESTATURA,PRENDAAPTA
MUJER,1,Reloj de arena,2,PANTALON ,2,BOMBACHO,4,MEDIO,HOLGADO,POCO,SI,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,CARGO,5,LARGO,HOLGADO,MUCHO,A VECES,TODAS,1
MUJER,1,Reloj de arena,2,PANTALON ,2,CAPRI,6,MEDIO,AJUSTADO,POCO,A VECES,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,BERMUDA,7,CORTO,NORMAL,POCO,A VECES,TODAS,1
MUJER,1,Reloj de arena,2,PANTALON ,2,SHORTS,8,CORTO,NORMAL,POCO,A VECES,TODAS,1
MUJER,1,Reloj de arena,2,PANTALON ,2,BOYFRIEND,9,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,ACAMPANADO,10,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,JOGGERS,11,MEDIO,AJUSTADO,POCO,SI,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,LEGGINS,12,MEDIO,AJUSTADO,NADA,SI,ALTA,0
MUJER,1,Reloj de arena,2,PANTALON ,2,TALLE_ALTO,13,LARGO,NORMAL,POCO,A VECES,ALTA,1
MUJER,1,Reloj de arena,2,PANTALON ,2,OVEROL,14,LARGO,HOLGADO,MUCHO,NO,TODAS,1
MUJER,1,Reloj de arena,2,PANTALON ,2,VAQUERO,15,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Reloj de arena,2,PANTALON ,2,CADERA,16,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Rectangulo,3,PANTALON ,2,RECTO,1,LARGO,NORMAL,POCO,NO,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,PITILLO,2,LARGO,AJUSTADO,NADA,A VECES,TODAS,1
MUJER,1,Rectangulo,3,PANTALON ,2,PATA DE ELEFANTE,3,LARGO,HOLGADO,POCO,NO,ALTA,0
MUJER,1,Rectangulo,3,PANTALON ,2,BOMBACHO,4,MEDIO,HOLGADO,POCO,SI,ALTA,0
MUJER,1,Rectangulo,3,PANTALON ,2,CARGO,5,LARGO,HOLGADO,MUCHO,A VECES,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,CAPRI,6,MEDIO,AJUSTADO,POCO,A VECES,ALTA,1
MUJER,1,Rectangulo,3,PANTALON ,2,BERMUDA,7,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,SHORTS,8,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,BOYFRIEND,9,LARGO,HOLGADO,POCO,NO,ALTA,0
MUJER,1,Rectangulo,3,PANTALON ,2,ACAMPANADO,10,LARGO,HOLGADO,POCO,NO,ALTA,0
MUJER,1,Rectangulo,3,PANTALON ,2,JOGGERS,11,MEDIO,AJUSTADO,POCO,SI,ALTA,1
MUJER,1,Rectangulo,3,PANTALON ,2,LEGGINS,12,MEDIO,AJUSTADO,NADA,SI,ALTA,1
MUJER,1,Rectangulo,3,PANTALON ,2,TALLE_ALTO,13,LARGO,NORMAL,POCO,A VECES,ALTA,0
MUJER,1,Rectangulo,3,PANTALON ,2,OVEROL,14,LARGO,HOLGADO,MUCHO,NO,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,VAQUERO,15,LARGO,NORMAL,POCO,NO,TODAS,0
MUJER,1,Rectangulo,3,PANTALON ,2,CADERA,16,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Manzana,4,PANTALON ,2,RECTO,1,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Manzana,4,PANTALON ,2,PITILLO,2,LARGO,AJUSTADO,NADA,A VECES,TODAS,0
MUJER,1,Manzana,4,PANTALON ,2,PATA DE ELEFANTE,3,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Manzana,4,PANTALON ,2,BOMBACHO,4,MEDIO,HOLGADO,POCO,SI,ALTA,0
MUJER,1,Manzana,4,PANTALON ,2,CARGO,5,LARGO,HOLGADO,MUCHO,A VECES,TODAS,0
MUJER,1,Manzana,4,PANTALON ,2,CAPRI,6,MEDIO,AJUSTADO,POCO,A VECES,ALTA,0
MUJER,1,Manzana,4,PANTALON ,2,BERMUDA,7,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Manzana,4,PANTALON ,2,SHORTS,8,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Manzana,4,PANTALON ,2,BOYFRIEND,9,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Manzana,4,PANTALON ,2,ACAMPANADO,10,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Manzana,4,PANTALON ,2,JOGGERS,11,MEDIO,AJUSTADO,POCO,SI,ALTA,0
MUJER,1,Manzana,4,PANTALON ,2,LEGGINS,12,MEDIO,AJUSTADO,NADA,SI,ALTA,0
MUJER,1,Manzana,4,PANTALON ,2,TALLE_ALTO,13,LARGO,NORMAL,POCO,A VECES,ALTA,0
MUJER,1,Manzana,4,PANTALON ,2,OVEROL,14,LARGO,HOLGADO,MUCHO,NO,TODAS,0
MUJER,1,Manzana,4,PANTALON ,2,VAQUERO,15,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Manzana,4,PANTALON ,2,CADERA,16,LARGO,NORMAL,POCO,NO,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,RECTO,1,LARGO,NORMAL,POCO,NO,TODAS,1
MUJER,1,Pera,5,PANTALON ,2,PITILLO,2,LARGO,AJUSTADO,NADA,A VECES,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,PATA DE ELEFANTE,3,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Pera,5,PANTALON ,2,BOMBACHO,4,MEDIO,HOLGADO,POCO,SI,ALTA,1
MUJER,1,Pera,5,PANTALON ,2,CARGO,5,LARGO,HOLGADO,MUCHO,A VECES,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,CAPRI,6,MEDIO,AJUSTADO,POCO,A VECES,ALTA,0
MUJER,1,Pera,5,PANTALON ,2,BERMUDA,7,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,SHORTS,8,CORTO,NORMAL,POCO,A VECES,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,BOYFRIEND,9,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Pera,5,PANTALON ,2,ACAMPANADO,10,LARGO,HOLGADO,POCO,NO,ALTA,1
MUJER,1,Pera,5,PANTALON ,2,JOGGERS,11,MEDIO,AJUSTADO,POCO,SI,ALTA,0
MUJER,1,Pera,5,PANTALON ,2,LEGGINS,12,MEDIO,AJUSTADO,NADA,SI,ALTA,0
MUJER,1,Pera,5,PANTALON ,2,TALLE_ALTO,13,LARGO,NORMAL,POCO,A VECES,ALTA,1
MUJER,1,Pera,5,PANTALON ,2,OVEROL,14,LARGO,HOLGADO,MUCHO,NO,TODAS,1
MUJER,1,Pera,5,PANTALON ,2,VAQUERO,15,LARGO,NORMAL,POCO,NO,TODAS,0
MUJER,1,Pera,5,PANTALON ,2,CADERA,16,LARGO,NORMAL,POCO,NO,TODAS,0
