Headline,Category
El TCP rechaza recurso que buscaba restituir plenamente los dos tercios en el Legislativo,1
La Fiscalía pospone declaración del coronel de la Policía Jaime Zurita por caso Sacaba,1
Las FFAA ven ‘desconcertante’ aprehensión del general Cuéllar y aclaran que actúan por mando presidencial,1
Coronel Dávila acusa a jefes del servicio pasivo de ‘infiltrarse’ para desatar el motín policial en 2019,1
"Stolzel: Las empresas no te contratan por tus conocimientos, te contratan por tu actitud",1
Conozca a los comandantes de la Policía de los nueve departamentos,1
La Fiscalía incluye a Murillo y López en la investigación de las muertes en Sacaba,1
Los goles de Diego en tribunas de la izquierda latinoamericana,1
Evo Morales recuerda a Maradona como un luchador por los humildes,1
Cossío informa que el exgeneral René Sanabria llegará al país y será sometido a un juicio oral,1
Aguilera: ‘Lo que nosotros pretendemos es empoderar a la mujer’,1
Ferreira descarta ser candidato y ve posible que el MAS se haga de la gobernación cruceña,1
Legislativo sanciona ley de proclamación del Presidente y Vicepresidente en medio de protestas,1
Áñez le reclama a Arce que el suyo no fue un gobierno de facto,1
"General Cuéllar está en celdas policiales, dice que era quinto en la cadena de mando durante la violencia en Sacaba",1
La Fiscalía aprehende al comandante de la guarnición militar de Cochabamba por caso Sacaba,1
Mesa desacredita la votación del MAS y cree que una propuesta de Arce ‘no existió’,1
La paridad en espacios de decisión es una conquista de los movimientos de mujeres,1
El senador Rodríguez entrega a la CIDH un informe sobre las muertes de Sacaba,1
Pary se plantea la recuperación de la diplomacia ‘proactiva y dinámica’,1
Las cuatro atribuciones del GIEI en Bolivia son solo de ‘apoyo’ a las investigaciones,1
Hernández: La CIDH quiere tener un panorama más completo de lo ocurrido en 2019,1
El Comandante de la Policía confirma que Murillo e Issa se encuentran en EEUU,1
Justicia iniciará juicio de responsabilidades a consejeros de la Magistratura de no renunciar este martes,1
El GIEI investigará sobre la base de tres ejes y la CIDH aboga por la reconciliación,1
CC advierte a misión de la CIDH que el MAS busca inclinar la balanza a los ‘hechos’ de Sacaba y Senkata,1
"Arce califica de ‘masacre’ la violencia en Senkata y Sacaba, compromete justicia para las víctimas",1
Joel Hernández sobre el GIEI: Se buscará verdad y justicia para las víctimas de 2019,1
Se deja esperar respuesta de frentes políticos a ‘cumbre de unidad’ de cívicos cruceños,1
La Fiscalía emitió orden de aprehensión contra el exministro Víctor Hugo Zamora,1
Viceministro: El gobierno de Áñez abandonó la lucha contra el contrabando y desmanteló equipos,1
Marcel Rivas está solo y su situación legal se complica,1
Grupo de Expertos de la CIDH se reunirá con las víctimas de Senkata el jueves 26,1
La CIDH comienza la investigación de seis meses de los hechos luctuosos de 2019,1
Edwin Pérez es designado como el nuevo director nacional de la FELCN,1
Del Castillo: El fin de semana se afectó al narcotráfico en más de $us 500.000,1
Del Castillo denuncia que Migración tenía listas de Murillo de perseguidos del MAS,1
Nadia Cruz: Informe de la CIDH debe permitir el esclarecimiento y la lucha contra la impunidad,1
El MAS elige a los precandidatos Ferreira y Cronenbold para la Gobernación cruceña,1
La misión de la CIDH investigará violaciones de DDHH desde septiembre hasta diciembre en Bolivia,1
"Rivas es llevado a una clínica por una descompensación, le dice al MAS que ya tiene un ‘trofeo’",1
"Juez ordena la detención de Rivas en la cárcel de San Pedro, por cuatro meses",1
"En ampliado del MAS, Morales traza el desafío de ganar siete gobernaciones y 300 municipios",1
Caen tres funcionarios de Migración en Santa Cruz; Rivas sufre descompensación,1
Audiencia define este sábado la suerte judicial de Marcel Rivas,1
La Policía reporta que el exministro Arturo Murillo pasó de Panamá a Estados Unidos,1
Santa Cruz exigirá PCR negativo a pasajeros que lleguen del exterior para evitar rebrote del COVID-19,1
Viceministro dice que policías ‘interceptaron’ labor militar de traslado de vehículos incautados,1
Beller: ‘No creo que entrar a un partido político signifique vender el alma’,1
"Exministro Quintana: ‘Prescindir de ellos (exautoridades) sería un gravísimo, gravísimo, error’",1
Revocan detención domiciliaria para Achacollo; la exministra se defenderá en libertad,1
"Bolivia es reincorporada a los bloques ALBA-TCP, Celac y Unasur",1
Cívico Calvo convoca a cumbre para avanzar en candidaturas de consenso y hacer frente al MAS,1
Pary califica de ‘desubicados’ a quienes observaron su designación como embajador,1
"Sabina Orellana fue posesionada como Ministra de Culturas, llama a acabar con el racismo",1
La CIDH garantiza idoneidad e imparcialidad de su misión que llegará el lunes al país,1
Del Castillo: Cesó la detención del policía que se rehusó a amotinarse en noviembre,1
"Con Arce y Morales, el MAS elegirá el sábado candidatos subnacionales",1
Tribunal rechaza la acción de libertad de Marcel Rivas,1
"Diputados conforma 12 comisiones, nueve son presididas por el MAS",1
La defensa de Rivas asegura que la Fiscalía trata de justificar la ‘detención ilegal’,1
"La Fiscalía pedirá cárcel para Rivas, su defensa denuncia vulneración de derechos y presenta recurso",1
"Estuvo en la cárcel por el cerrado caso Terrorismo, Zvonko Matkovic jura como senador suplente",1
El exviceministro Emilio Rodas y el exdiputado David Lazcano asumen cargos en el Ministerio de Gobierno,1
"Morales tras cita con exministros y exviceministros: ‘No es una reunión para cuoteo’, ‘vamos a cuidar la gestión de Lucho’",1
Ministro asegura investigación para sancionar a quienes secuestraron a la alcaldesa Heredia,1
Misión de la UE califica de ‘creíbles’ las elecciones y recomienda implementar ‘resultados preliminares’,1
La Fiscalía activa alerta migratoria contra el exministro Víctor Hugo Zamora en caso YPFB,1
"Del Castillo: Protocolo regirá la investigación de la CIDH sobre la violencia en Sacaba, Senkata y otros lugares",1
Periodistas dudan de que muertes en Senkata y Sacaba no fueron por intervención militar,1
"Rivas está en celdas policiales, reafirma que desconocía de la alerta migratoria contra Murillo y López",1
Diego Pary es designado embajador de Bolivia ante la ONU,1
Senado rinde tributo a caídos en la crisis de 2019 y los declara defensores de la democracia,1
La Fiscalía denuncia falsificación en Migración para librar de culpa a Rivas,1
"Aprehenden a Rivas por López y Murillo, es acusado de incumplimiento de deberes y uso indebido de influencias",1
Naciones Unidas exige investigación diligente e imparcial de la crisis de 2019,1
"Con una misa y una marcha, familiares de los caídos en Senkata piden justicia",1
Cruz culpa a la Fiscalía por la impunidad en las ‘masacres’ de Sacaba y Senkata,1
Ni su abogado sabe dónde está el exministro López; dice que volverá cuando existan garantías,1
Ratifican que el daño al Estado por la compra de gases asciende a más de $us 2 millones,1
El ITEI denuncia cuatro tipos de tortura a los detenidos durante los conflictos de 2019,1
¿Es Peña el sustituto de Costas? ‘No hubiera dado el paso sin antes hablar con él’,1
La FELCN se incautó de ocho toneladas de marihuana ‘crypi’ en Monteagudo,1
La Justicia otorga libertad al exvocal Idelfonso Mamani,1
Jubileo se retira del Conade y afirma que la plataforma tomó una estrategia partidaria,1
Interpol Bolivia confirma que el exviceministro Javier Issa se encuentra en EEUU,1
CC y Creemos rechazan declaratoria de ‘héroes del Estado’ a víctimas del conflicto de 2019,1
La OACNUDH repudia los hechos violentos registrados en Montero y Sipe Sipe,1
"En el aniversario de Beni, Arce y Áñez se lanzan dardos por las obras inconclusas",1
Perú alista segunda solicitud de extradición contra Martín Belaunde,1
El ministro Moldiz anuncia que ahora irán tras los cómplices del excomandante Nina,1
El Presidente advierte que exjefes policiales vinculados con el delito serán investigados y juzgados,1
La candidata del MAS Felipa Huanca dice estar ‘tranquila’ y deja a la Justicia el caso del Fondo Indígena,1
Contralor de Chuquisaca es detenido en Sucre,1
Ministerio de Gobierno denuncia violación de privacidad de 592 personas,1
La FELCC forma equipo especial para buscar al coronel Iván Rojas,1
Siete camiones con contrabando evadieron control militar y un campo minado en su paso a Bolivia,1
Jóvenes demandan a través de un foro ‘voto informado’,1
"Dirigentes sociales de El Alto critican a Patana por su gestión, pero igual anticipan respaldo",1
Faustino Challapa plantea recuperar la agricultura,1
El MAS le pide a Rescala aclarar informe de Contraloría,1
La Armada inicia vigilancia antidrogas en el lago Titicaca,1
Ledezma entrega uniformes a conscriptos,1
Juez envía a la cárcel a una exjefa del Fondo Indígena,1
Fiscalía pide autorizar nuevo juicio a Goni por privatización,1
Asamblea difundirá el Estatuto Autonómico,1
Perú indica que evitará libertad de Belaunde,1
"Otro acusado de terrorismo, a juicio corto",1
Moldiz: Nina tuvo vínculo con el hijo del narco ‘Chapo’ Guzmán,1
Mamani dejará de presidir el Consejo,1
Juez envía a la cárcel a ex contralor departamental de Chuquisaca,1
Fiscales toman con calma amenazas en caso del general Nina,1
Moldiz revela que fortuna del general Nina supera los $us 2 MM y que tuvo relación con el cártel de Sinaloa,1
Juez envía a la cárcel a Parra y a detención domiciliaria a Aramayo por el caso Fondo Indígena,1
El Presidente padece un resfrío y suspende actividades públicas,1
Procurador peruano dice que Belaunde Lossio no quedará en libertad en Bolivia,1
La Fiscalía General pide autorizar un juicio contra el expresidente Sánchez de Lozada por privatización,1
Detenido en El Salvador un mexicano que llevaba cocaína de Bolivia a Guatemala,1
Ministro revela que investigación contra general Nina viene desde presencia en Bolivia de narco “Chapo” Guzmán,1
El TSE fija el 28 de junio para los referendos,1
Dictan improcedente amparo de Maldonado,1
"Mandan a la cárcel de Palmasola a Óscar Nina, exjefe de la Policía",1
La FELCN decomisa 1 t de cocaína escondida en abono,1
La Armada inicia labor antidrogas en Titicaca,1
Reyes: Félix Patzi y Felipa Huanca representan al MAS,1
MAS ordena voto lineal  y el Gobierno cierra la puerta a proyectos de autoridades opositoras,1
Mauricio Muñoz plantea industrializar todos los recursos naturales de la región,1
"Mendoza y Revilla se desafían a debate, pero aún calculan los escenarios",1
Analizan llamar a Achacollo en el caso Fondo Indígena,1
Belaunde obtendrá su libertad el 21 de marzo,1
Lucio Marca asume una jefatura en la PGE,1
Amparo frena el cambio de jueces de la niñez,1
Gobierno y TCP harán taller sobre autonomías,1
FELCN incauta en Santa Cruz una tonelada de droga camuflada en abono orgánico,1
"El exdiputado del MAS, Lucio Marca, jura como Subprocurador",1
"Reyes asienta oferta electoral para La Paz en desarrollo vial, humano y productivo",1
Revilla reta a Mendoza a un debate para el 15 de marzo; éste rechaza las condiciones,1
El Defensor pide al TSE depurar oportunamente el padrón y garantizar el voto de todos los ciudadanos,1
Henry Paredes: ‘Hay que despertar a la siderurgia en Cochabamba’,1
Opositores al MAS buscarán a Evo para coordinar si ganan las elecciones,1
Autoridades del oficialismo cierran filas en respaldo a Morales y aseguran que la oposición bloquea obras,1
La fuerza antidroga empieza operativos fluviales en el Titicaca y se erradicará coca en frontera con Perú,1
El excomandante Óscar Nina es buscado y existen inicios de vínculos con el narcotráfico,1
Costas califica al Vicepresidente como un ‘personaje siniestro’ y que pedirá perdón a los cruceños,1
El MAS admite que está 9% por debajo de Sol.bo en La Paz,1
"Demandan juicio contra García, éste los desafía",1
El Consejo ejecuta plan de pasantías en juzgados,1
Mesa: Diálogo de salida al mar fue política de Estado chilena,1
Cultivo de coca en 3 países baja un tercio,1
TSJ espera trámites en el caso de Belaunde,1
Fiscalía aprehende a dos exjefes del Fondo Indígena por fraude,1
Quintana detecta obras fantasma en Beni,1
Desestiman propuesta de regiones para referéndums,1
Detienen a la esposa y dos hijos de excomandante de la Policía,1
Michel y Yacsik generan polémica e intercambian recriminaciones,1
Comisión del Senado convoca a interventora del Fondo Indígena para informar hechos de corrupción,1
Costas llama ‘cobarde’ y ‘terrorista confeso’ al vicepresidente,1
García defiende dichos de Morales y asegura que no trabajarán con la oposición que haga politiquería,1
El Vicepresidente desafía al partido de Costas a iniciarle un juicio por separata del caso Terrorismo,1
La JIFE destaca reducción de cultivos de coca en Bolivia,1
García ve que el caso marítimo ya es ‘bandera mundial de justicia’ y califica de ruidos reacciones en Chile,1
Mesa asegura que Chile mantuvo como política de Estado el diálogo para salida soberana al mar,1
Fiscal resolvió la aprehensión de dos exdirectores ejecutivos del Fondo Indígena,1
"Si la derecha gana en La Paz y El Alto, Evo no trabajará con ella",1
Hallan 27 t de coca molida en bolsas de mate,1
Avioneta con matrícula boliviana cae en Perú,1
"En tres años de gestión del TCP, Bacarreza es su tercer presidente",1
Armada inicia actos por el mes del mar,1
TSE admite retraso en la información electoral,1
Costas procesará a García por separata,1
Maduro suspende su visita a Bolivia,1
"Pacto de Unidad, parte civil en el caso Fondioc",1
Moldiz se reunirá con Procurador peruano,1
El TSE propone unificar la fecha para referéndums,1
El TSE admite demora en la información electoral desde los tribunales electorales hacia la población,1
El TSE habilita aplicación para conocer si un ciudadano es o no jurado,1
El Pacto de Unidad demanda acelerar investigaciones en caso del Fondo Indígena,1
La FELCN descubre envío de 27 t de coca molida al Líbano para producir droga por valor de $us 90 MM,1
Armada inicia actividades para concienciar sobre el derecho de una salida soberana al mar,1
Avioneta de matrícula boliviana interceptada por helicóptero militar peruano,1
La intervención al Fondo Indígena se extenderá por seis meses con posibilidad de ampliar el plazo,1
"Tras las elecciones, 102 municipios tendrán más concejales que en 2010",1
Candidatos buscan apoyo en provincias y periferias,1
Morales lidera un ranking de aprobación en Latinoamérica,1
Evo Morales visitó la represa de Huacata,1
Candidatos deberían presentar planes de desarrollo,1
Juicios abreviados aceleran al menos cuatro litigios polémicos,1
Cancillería manifiesta su apoyo a Maduro,1
"Luis Revilla: ‘Pacto fiscal, el tema de fondo es saber quién hace qué…}’",1
Ministros se suman a campaña proselitista del MAS en La Paz,1
Evo entrega cancha en Riberalta junto a Rodríguez Zapatero,1
Evo: Exministra me defraudó por no resolver crisis en Enatex,1
La Armada despliega una unidad antidrogas,1
FFAA resguardará empresas estatales,1
Se maneja cambio en la presidencia del TCP,1
El Ejecutivo cesa funciones del Embajador de Bolivia en Brasil,1
La Fuerza Naval inicia campaña marítima,1
Rodríguez Zapatero espera diálogo ‘de hermanos’ entre Bolivia y Chile,1
Evo dice que ‘panfletearon’ dinero desde el Fondo Indígena,1
Evo inaugura coliseo cerrado en Arbieto,1
En La Paz los jurados electorales son 46.992,1
"Revilla reelecto con el 56% de los votos en La Paz, y Chapetón y Fernandez ganarían en La Paz y Santa Cruz",1
Morales afirma que Galeano y Jude Law respaldan la causa marítima boliviana,1
El expresidente Rodríguez Zapatero ve que Bolivia rectificó su historia y que merece apoyo internacional,1
Vicepresidente representará a Bolivia en la investidura de Tabaré Vázquez,1
Bolivia persistirá en demanda marítima y ve que sectores chilenos tratan de revertir apoyo a la causa,1
Jerjes Justiniano deja la embajada de Bolivia en Brasil,1
El Presidente denuncia que en el Fondo Indígena se ‘panfleteo’ el dinero y que ‘caerán muchos’ exdirigentes,1
El TCP entrega el Estatuto Autonómico de Tarija,1
Fijan el 13 de marzo para interpelación a Achacollo,1
"Morales, desde la Aladi, llama a Chile a cumplir el libre tránsito",1
Es ‘inevitable’ que Bolivia tenga mar,1
Uruguay da facilidades al país para salir por el Atlántico,1
Revilla y Mendoza debatirán sus propuestas,1
Tribunal ve ‘muy complicado’ realizar los comicios en Pando,1
Moldiz vigilará labor de oficiales en seguridad,1
Bolivia espera datos antidrogas de Washington,1
Fiscalía alista citación para Costas en caso Terrorismo II,1
Indagan una violación en el penal de San Roque,1
Quispe desahucia 4 procesos en su contra,1
El Presidente considera que solo le falta recuperar el mar para Bolivia,1
"La Paz, Oruro y Potosí piden audiencia al TSE para acordar fechas de referendos autonómicos",1
En Perú derriban avioneta con matrícula boliviana con 288 kilos de droga,1
Zapatero se reunirá con Evo Morales y será investido honoris causa,1
El exgobernador Rubén Costas será citado por la Fiscalía a declarar por el caso ‘Terrorismo’,1
Morales y Mujica acuerdan salida de Bolivia al Atlántico por puertos de Uruguay,1
Presidente Mujica: ‘Me parece inevitable que el pueblo boliviano tenga su salida al mar’,1
Morales cree que solo con unión se superan las crisis ‘provocadas por el imperio’,1
