id,name,obcn,location,latitude,longitude,status
69,(GDL-067) Calzada Federalismo / C. Vidrio,GDL-067,POLÍGONO CENTRAL,20.6668825,-103.3555917,IN_SERVICE
70,(GDL-068) C. Guadalupe Zuno / Av. Chapultepec,GDL-068,POLÍGONO CENTRAL,20.670512,-103.368306,IN_SERVICE
71,(GDL-069) C. Colonias / C. Guadalupe Zuno,GDL-069,POLÍGONO CENTRAL,20.670468,-103.366071,IN_SERVICE
72,(GDL-070) Av. La  Paz / C. Juan de Ojeda,GDL-070,POLÍGONO CENTRAL,20.671455,-103.363633,IN_SERVICE
73,(GDL-071) Av. La Paz /Av.Enrique Díaz de León,GDL-071,POLÍGONO CENTRAL,20.670362,-103.359537,IN_SERVICE
74,(GDL-072) Av. La Paz / C. Camarena,GDL-072,POLÍGONO CENTRAL,20.67056,-103.357589,IN_SERVICE
75,(GDL-073) Av. La Paz / Av. Federalismo,GDL-073,POLÍGONO CENTRAL,20.669955,-103.355032,IN_SERVICE
76,(GDL-074) C. Enrique González / C. Libertad,GDL-074,POLÍGONO CENTRAL,20.67131,-103.351651,IN_SERVICE
77,(GDL-075) C. Pedro Rioseco /C. Nueva Galicia,GDL-075,POLÍGONO CENTRAL,20.669628,-103.348768,IN_SERVICE
78,(GDL-076) C. Ramón Corona / C. Libertad,GDL-076,POLÍGONO CENTRAL,20.670243,-103.346195,IN_SERVICE
79,(GDL-077) C. Argentina / C. Pedro Moreno,GDL-077,POLÍGONO CENTRAL,20.675631,-103.36134,IN_SERVICE
80,(GDL-078) C. Comercio / C. La Paz,GDL-078,POLÍGONO CENTRAL,20.667946,-103.346775,IN_SERVICE
81,(GDL-079)  C. Donato Guerra /Av. La Paz,GDL-079,POLÍGONO CENTRAL,20.6688627,-103.3513022,IN_SERVICE
82,(GDL-080) C. Manuel Acuña / Av. Américas,GDL-080,POLÍGONO CENTRAL,20.68432,-103.373252,IN_SERVICE
83,(GDL-081) C. Venezuela / Av. Niños Héroes,GDL-081,POLÍGONO CENTRAL,20.667352,-103.363338,IN_SERVICE
84,(GDL-082) C. Gpe. Montenegro/C.Nuño de Guzman,GDL-082,POLÍGONO CENTRAL,20.669326,-103.362535,IN_SERVICE
85,(GDL-083) C. Vidrio / Av. Enrique Díaz,GDL-083,POLÍGONO CENTRAL,20.667532,-103.3595222,IN_SERVICE
86,(GDL-084) C. Montenegro / Av. Chapultepec,GDL-084,POLÍGONO CENTRAL,20.669306,-103.368312,IN_SERVICE
87,(GDL-085) C. Gdpe. Zuno/ Av.  Unión,GDL-085,POLÍGONO CENTRAL,20.670426,-103.373378,IN_SERVICE
88,(GDL-086) C. Simón Bolivar / Av. Niños Héroes,GDL-086,POLÍGONO CENTRAL,20.66704,-103.372444,IN_SERVICE
91,(ZPN-001) Emilio Carranza /Carretera Tesistán,ZPN-001,ZAPOPAN CENTRO,20.73244,-103.396083,IN_SERVICE
92,(ZPN-002) C. Emilio Carranza /C. Independenci,ZPN-002,ZAPOPAN CENTRO,20.726376,-103.397466,IN_SERVICE
93,(ZPN-003) C. Emilio Carranza / Av. Hidalgo,ZPN-003,ZAPOPAN CENTRO,20.723081,-103.398071,IN_SERVICE
94,(GDL-220) Av. Científicos / C. Filósofos,GDL-220,ZAPOPAN CENTRO,20.69995,-103.342347,IN_SERVICE
95,(ZPN-005) C. Del Corral / C. Anáhuac,ZPN-005,ZAPOPAN CENTRO,20.730841,-103.394267,IN_SERVICE
96,(ZPN-006) C. Sta. Rita / Av. Avila Camacho,ZPN-006,ZAPOPAN CENTRO,20.71953,-103.386768,IN_SERVICE
97,Ex-ZPN-007 C. Libertad / Nicolás Bravo,Ex-ZPN-007,ZAPOPAN CENTRO,20.726196,-103.392672,NOT_IN_SERVICE
98,(ZPN-008) C. Vicente Guerrero / Av. Hidalgo,ZPN-008,ZAPOPAN CENTRO,20.72201,-103.39427,IN_SERVICE
99,Ex-ZPN-009 C. Del Corral / C. Nicolás Bravo,Ex-ZPN-009 ,ZAPOPAN CENTRO,20.685108,-103.333746,NOT_IN_SERVICE
100,(ZPN-010) C. Ramón Corona / C. Cuauhtémoc,ZPN-010,ZAPOPAN CENTRO,20.723889,-103.394585,IN_SERVICE
101,(ZPN-011) C. Pino Suárez / C. López Cotilla,ZPN-011,ZAPOPAN CENTRO,20.726558,-103.389242,IN_SERVICE
102,(ZPN-012) C. Pino Suárez / Av. Juan Pablo II,ZPN-012,ZAPOPAN CENTRO,20.728538,-103.390297,IN_SERVICE
103,(ZPN-013) C. Eva Briseño / C. Javier Mina,ZPN-013,ZAPOPAN CENTRO,20.720438,-103.391894,IN_SERVICE
104,(ZPN-014) C. Plata / Av. Laureles,ZPN-014,ZAPOPAN CENTRO,20.7352743,-103.3997461,IN_SERVICE
105,(ZPN-015) Blvr. de la Espuela / Blvr. Charros,ZPN-015,ZAPOPAN CENTRO,20.735255,-103.394636,IN_SERVICE
106,(ZPN-016) Av. Hidalgo/ C. Emiliano Zapata,ZPN-016,ZAPOPAN CENTRO,20.721643,-103.3902,IN_SERVICE
107,(ZPN-017) C. Juan Manuel / C. Pedro Moreno,ZPN-017,ZAPOPAN CENTRO,20.72374,-103.388657,IN_SERVICE
108,(ZPN-018) Av. Laureles / Blvrd. Panamericano,ZPN-018,ZAPOPAN CENTRO,20.7276186,-103.3859946,IN_SERVICE
109,Ex-ZPN-019 C. Cabecera Mpal. Juan Manuel / C.,Ex-ZPN-019,ZAPOPAN CENTRO,20.7232207,-103.3855829,NOT_IN_SERVICE
110,(ZPN-020) Av. Aurelio Ortega / Av. Laureles,ZPN-020,ZAPOPAN CENTRO,20.721002,-103.386526,IN_SERVICE
111,(ZPN-021) Blvrd. Panamericano/ C.Santa Mónica,ZPN-021,ZAPOPAN CENTRO,20.72832,-103.384156,IN_SERVICE
112,(ZPN-022) Av. Aurelio Ortega / C. Morelos,ZPN-022,ZAPOPAN CENTRO,20.722427,-103.383,IN_SERVICE
113,EX-ZPN-023 C. Juan Diego / C. Sarcófago,ExZPN-023,ZAPOPAN CENTRO,20.72489,-103.383614,NOT_IN_SERVICE
114,EX-ZPN-024 Manuel H. Alatorre / C. Industria,ExZPN-024,ZAPOPAN CENTRO,20.72356,-103.381901,NOT_IN_SERVICE
115,(ZPN-025) Av. V. Carranza / Av. Jose Simeon,ZPN-025,ZAPOPAN CENTRO,20.731202,-103.380651,IN_SERVICE
116,Ex-ZPN-026 C. 16 Sep. / C. Fray A. de Segovia,Ex-ZPN-026,ZAPOPAN CENTRO,20.68692,-103.33467,NOT_IN_SERVICE
117,(ZPN-027) C. 5 de Mayo / C. Noviembre,ZPN-027,ZAPOPAN CENTRO,20.720452,-103.388629,IN_SERVICE
118,(ZPN-028) Av. F. Aranguren / Av. Laureles,ZPN-028,ZAPOPAN CENTRO,20.737087,-103.401285,IN_SERVICE
119,(ZPN-029) C. La Villa / C. Cuauhtémoc,ZPN-029,ZAPOPAN CENTRO,20.728147,-103.393858,IN_SERVICE
120,(ZPN-030) Av.Juan Pablo II / Lázaro Cárdenas,ZPN-030,ZAPOPAN CENTRO,20.736557,-103.401357,IN_SERVICE
125,(ZPN-031) C. Niño Obrero/Calz Lázaro Cárdenas,ZPN-031,POLÍGONO CENTRAL,20.67342,-103.40945,IN_SERVICE
126,(ZPN-032) Calz Lázaro Cárdenas / Av San Fco,ZPN-032,POLÍGONO CENTRAL,20.67195,-103.40641,IN_SERVICE
127,(ZPN-033) Av Lázaro Cárdenas / Av San Ignacio,ZPN-033,POLÍGONO CENTRAL,20.6707,-103.40458,IN_SERVICE
128,(ZPN-034) C. San Demetrio / C. Niño Obrero,ZPN-034,POLÍGONO CENTRAL,20.66984,-103.40968,IN_SERVICE
129,(ZPN-035) C. San Juan Bosco / Av. San Ignacio,ZPN-035,POLÍGONO CENTRAL,20.66844,-103.40495,IN_SERVICE
130,(ZPN-036) C. Niño Obrero /C José María Robles,ZPN-036,POLÍGONO CENTRAL,20.66731,-103.40953,IN_SERVICE
131,(ZPN-037) Av. San Ignacio / Av. Guadalupe,ZPN-037,POLÍGONO CENTRAL,20.666914,-103.402512,IN_SERVICE
132,(ZPN-038) C. Santa Rita / Av. Guadalupe,ZPN-038,POLÍGONO CENTRAL,20.66581,-103.40662,IN_SERVICE
133,(ZPN-039) Av. Niño Obrero / C. Juan Diego,ZPN-039,POLÍGONO CENTRAL,20.66312806,-103.4079076,IN_SERVICE
134,(ZPN-040) C. Santa María / C. Árbol,ZPN-040,POLÍGONO CENTRAL,20.66033761,-103.4037559,IN_SERVICE
135,(ZPN-041) C. 12 de Diciembre / C. Juan Diego,ZPN-041,POLÍGONO CENTRAL,20.66463,-103.404,IN_SERVICE
136,(ZPN-042) C. Tonatiuh / Av. Netzahualcóyotl,ZPN-042,POLÍGONO CENTRAL,20.65925105,-103.4065612,IN_SERVICE
137,(ZPN-043) C. Ermita / C. Del Árbol,ZPN-043,POLÍGONO CENTRAL,20.65938,-103.40195,IN_SERVICE
138,Ex-ZPN-044,Ex-ZPN-044,POLÍGONO CENTRAL,20.69705,-103.36322,NOT_IN_SERVICE
139,(ZPN-045) Av. Tizoc / C. Iztaccíhuatl,ZPN-045,POLÍGONO CENTRAL,20.65701,-103.40464,IN_SERVICE
140,(ZPN-046) Av. Cubilete / Av. López Mateos,ZPN-046,POLÍGONO CENTRAL,20.656866,-103.397725,IN_SERVICE
141,(ZPN-047) Av. Tizoc / Av. López Mateos,ZPN-047,POLÍGONO CENTRAL,20.65381,-103.40134,IN_SERVICE
142,(TLQ-001) BlvrdGarcía Barragán/C. Río Tajo,TLQ-001,TLQ-CORREDORATLAS,20.64483,-103.31948,IN_SERVICE
143,(TLQ-002) C. Juárez / Av. Niños Héroes,TLQ-002,TLQ-CORREDORATLAS,20.6383352,-103.3163317,IN_SERVICE
144,(TLQ-003) C. Contreras Medellín/Donato Guerra,TLQ-003,TLQ-CORREDORATLAS,20.64193,-103.31366,IN_SERVICE
145,(TLQ-004) C. Donato Guerra / C. Obregón,TLQ-004,TLQ-CORREDORATLAS,20.64185,-103.3106,IN_SERVICE
146,(TLQ-005) C. Zalatitán / C. Jalisco,TLQ-005,TLQ-CORREDORATLAS,20.64188,-103.30651,IN_SERVICE
147,Ex-TLQ-006 C. Zalatitán / Av. Francisco Silva,Ex-TLQ-006,TLQ-CORREDORATLAS,20.641848,-103.3026,NOT_IN_SERVICE
148,(TLQ-007) Blvrd.García Barragán/Donato Guerra,TLQ-007,TLQ-CORREDORATLAS,20.64176,-103.31716,IN_SERVICE
149,Ex-TLQ-008 C. Juárez / C.Francisco de Miranda,Ex-TLQ-008,TLQ-CORREDORATLAS,20.63841,-103.31334,NOT_IN_SERVICE
150,(TLQ-009) C. Progreso / C. Juárez,TLQ-009,TLQ-CORREDORATLAS,20.63816,-103.31148,IN_SERVICE
151,(TLQ-010) C. Zaragoza / C. Emilio Carranza,TLQ-010,TLQ-CORREDORATLAS,20.63834,-103.30952,IN_SERVICE
152,(TLQ-011) C. Jalisco / C. Hidalgo,TLQ-011,TLQ-CORREDORATLAS,20.63922,-103.30465,IN_SERVICE
153,(TLQ-012) C. Paseo Don Bosco / C. Tonalá,TLQ-012,TLQ-CORREDORATLAS,20.63613,-103.3019,IN_SERVICE
154,(GDL-087) Av. Américas / Av. López Mateos,GDL-087,POLÍGONO CENTRAL,20.69493,-103.37333,IN_SERVICE
155,(GDL-088) Av.Plan de San Luis/C. Andrés Teran,GDL-088,POLÍGONO CENTRAL,20.6972,-103.36773,IN_SERVICE
156,(GDL-089) C. Juan Álvarez / C. Cruz Verde,GDL-089,POLÍGONO CENTRAL,20.68456,-103.35699,IN_SERVICE
157,(GDL-090) Calz. Federalismo / C. Durango,GDL-090,POLÍGONO CENTRAL,20.69865,-103.35519,IN_SERVICE
158,(GDL-091) C. Magisterio /Av. M. Ávila Camacho,GDL-091,POLÍGONO CENTRAL,20.696097,-103.349382,IN_SERVICE
159,(GDL-092) Calz Federalismo / Av Plan San Luis,GDL-092,POLÍGONO CENTRAL,20.69610588,-103.3549492,IN_SERVICE
160,(GDL-093) C. H Colegio Militar / Av. Américas,GDL-093,POLÍGONO CENTRAL,20.69311,-103.37298,IN_SERVICE
161,(GDL-094) C. Manuel Cambre / C. Andrés Teran,GDL-094,POLÍGONO CENTRAL,20.69324,-103.36757,IN_SERVICE
162,(GDL-095)  C. Mariano Bárcena / Maestros,GDL-095,POLÍGONO CENTRAL,20.692725,-103.3516,IN_SERVICE
163,(GDL-096) C. Jesús García / C. González Orte,GDL-096,POLÍGONO CENTRAL,20.6891,-103.35071,IN_SERVICE
164,(GDL-097) C. María Vigil / C. Juan N Cumplido,GDL-097,POLÍGONO CENTRAL,20.68981,-103.3582,IN_SERVICE
165,(GDL-098) Calz. Federalismo / Av. Maestros,GDL-098,POLÍGONO CENTRAL,20.693072,-103.354209,IN_SERVICE
166,(GDL-099) C. Eulogio Parra /C.González Ortega,GDL-099,POLÍGONO CENTRAL,20.687196,-103.350525,IN_SERVICE
167,(GDL-100) C. Ayuntamiento/C. A. R. Plasencia,GDL-100,POLÍGONO CENTRAL,20.69269,-103.37082,IN_SERVICE
168,(GDL-101) C. Amado Nervo /C. José María Vigil,GDL-101,POLÍGONO CENTRAL,20.68969,-103.37486,IN_SERVICE
169,(GDL-102) C. María Vigil/C. Manuel M. Dieguez,GDL-102,POLÍGONO CENTRAL,20.68985,-103.37071,IN_SERVICE
170,(GDL-103) J. Clemente Orozco /C. Jesús García,GDL-103,POLÍGONO CENTRAL,20.68861,-103.365814,IN_SERVICE
171,(GDL-104) C. Pedro Loza / Av. Manuel Acuña,GDL-104,POLÍGONO CENTRAL,20.68348,-103.34853,IN_SERVICE
172,(GDL-105) C. Pino Suárez / C. Joaquin Angulo,GDL-105,POLÍGONO CENTRAL,20.6822,-103.34601,IN_SERVICE
173,(GDL-106) C. Juan Álvarez / C. Belén,GDL-106,POLÍGONO CENTRAL,20.68465,-103.34526,IN_SERVICE
174,(GDL-107) Calz. Federalismo/C. J. María Vigil,GDL-107,POLÍGONO CENTRAL,20.68981,-103.353973,IN_SERVICE
175,(GDL-108) C. Hospital / C. Alameda,GDL-108,POLÍGONO CENTRAL,20.68586,-103.33964,IN_SERVICE
176,(GDL-109) C. Eulogio Parra / Av. Américas,GDL-109,POLÍGONO CENTRAL,20.68725,-103.37363,IN_SERVICE
177,(GDL-110) C. Manuel Diéguez/Av. Eulogio Parra,GDL-110,POLÍGONO CENTRAL,20.68723,-103.37084,IN_SERVICE
178,(GDL-111) C. José Palomar / C. Hospital,GDL-111,POLÍGONO CENTRAL,20.686228,-103.336305,IN_SERVICE
179,(GDL-112) C. C. Orozco/C. Gral. Eulogio Parra,GDL-112,POLÍGONO CENTRAL,20.687,-103.36582,IN_SERVICE
180,(GDL-113) C. Ghilardi / C. Arista,GDL-113,POLÍGONO CENTRAL,20.6880337,-103.362716,IN_SERVICE
181,(GDL-114) C. Monte Cáucaso / C. Alameda,GDL-114,POLÍGONO CENTRAL,20.68925,-103.3361,IN_SERVICE
182,(GDL-115) Calz. Federalismo / C. Fco. Zarco,GDL-115,POLÍGONO CENTRAL,20.68605,-103.35408,IN_SERVICE
183,(GDL-116) Av Manuel Acuña/C. Pablo Villaseñor,GDL-116,POLÍGONO CENTRAL,20.68447,-103.37989,IN_SERVICE
184,(GDL-117) Av Manuel Acuña / C Fray Fco Frejes,GDL-117,POLÍGONO CENTRAL,20.68427,-103.37653,IN_SERVICE
185,(GDL-118) C. Antonio de León / C. Garibaldi,GDL-118,POLÍGONO CENTRAL,20.68168,-103.38197,IN_SERVICE
186,(GDL-119) C. Fco Rojas González /C. Garibaldi,GDL-119,POLÍGONO CENTRAL,20.68153,-103.3785,IN_SERVICE
187,(GDL-120) C. Agustín de la Rosa /C. Garibaldi,GDL-120,POLÍGONO CENTRAL,20.68132,-103.37537,IN_SERVICE
188,(GDL-121) C. Tomás V. Gómez / Av. México,GDL-121,POLÍGONO CENTRAL,20.67914,-103.38253,IN_SERVICE
189,(GDL-122) C. Fray Luis DePalacio/ Av. México,GDL-122,POLÍGONO CENTRAL,20.67947,-103.37926,IN_SERVICE
190,(GDL-123) C. Aurelio L. Gallardo / Av. México,GDL-123,POLÍGONO CENTRAL,20.67945,-103.376,IN_SERVICE
191,(GDL-124) C. Severo Díaz / C. Justo Sierra,GDL-124,POLÍGONO CENTRAL,20.67741,-103.38387,IN_SERVICE
192,(GDL-125) C. Pablo Villaseñor / Av. Hidalgo,GDL-125,POLÍGONO CENTRAL,20.67691,-103.37993,IN_SERVICE
193,(GDL-126) C. Aurelio L. Gallardo / Av Hidalgo,GDL-126,POLÍGONO CENTRAL,20.67647,-103.37606,IN_SERVICE
194,(GDL-127) Av. Vallarta / Av. de Los Arcos,GDL-127,POLÍGONO CENTRAL,20.67438,-103.38488,IN_SERVICE
195,(GDL-128) Av. Morelos / C. Emilio Castelar,GDL-128,POLÍGONO CENTRAL,20.67554,-103.38409,IN_SERVICE
196,(GDL-129) C. Lope de Vega / Av. Vallarta,GDL-129,POLÍGONO CENTRAL,20.67455,-103.37998,IN_SERVICE
197,(GDL-130) C. J. Ruíz de Alarcón / Av Vallarta,GDL-130,POLÍGONO CENTRAL,20.67448,-103.37618,IN_SERVICE
198,(GDL-131) C. Emilio Castelar / Av. La Paz,GDL-131,POLÍGONO CENTRAL,20.67206,-103.384,IN_SERVICE
199,(GDL-132) C. Lope de Vega / Av. La Paz,GDL-132,POLÍGONO CENTRAL,20.67207,-103.37997,IN_SERVICE
200,(GDL-133) C. J. Ruíz de Alarcón / Av. La Paz,GDL-133,POLÍGONO CENTRAL,20.67189,-103.37608,IN_SERVICE
201,(GDL-134) C. Agustín Yáñez / C. Fco Ugarte,GDL-134,POLÍGONO CENTRAL,20.67016,-103.38448,IN_SERVICE
202,(GDL-135) C. Victoriano Agüeros / Av. Unión,GDL-135,POLÍGONO CENTRAL,20.66868,-103.3731,IN_SERVICE
203,(GDL-136) C. Lope de Vega/C. Efraín Glez Luna,GDL-136,POLÍGONO CENTRAL,20.66927,-103.37983,IN_SERVICE
204,(GDL-137) C. Ruíz de Alarcón/C. Efraín G Luna,GDL-137,POLÍGONO CENTRAL,20.66957,-103.37623,IN_SERVICE
205,(GDL-138) C. de la Nebulosa / C. Placeres,GDL-138,POLÍGONO CENTRAL,20.66557,-103.39134,IN_SERVICE
206,(GDL-139) C. Firmamento / Av. Niños Héroes,GDL-139,POLÍGONO CENTRAL,20.66667,-103.38863,IN_SERVICE
207,(GDL-140) C. Constelación / Av. de los Arcos,GDL-140,POLÍGONO CENTRAL,20.66816,-103.38488,IN_SERVICE
208,(GDL-141) C. Ruíz de Alarcón/C. Agustín Yáñez,GDL-141,POLÍGONO CENTRAL,20.66702,-103.37621,IN_SERVICE
