title,chapter,paragraph,text
An Enquiry Concerning the Principles of Morals,10,11,"Hume finishes this section by recapping that utility isn't always the only source of value—in some cases, we value sentiments for the immediate pleasure that they provide rather than usefulness or future benefits. Still, whether something is valued for usefulness or pleasure, our judgment is based on sympathy."
An Enquiry Concerning the Principles of Morals,11,0,"Up to this point, Hume has focused on qualities that are useful to society or useful/agreeable to the individual."
An Enquiry Concerning the Principles of Morals,11,1,"Now, he turns his attention to virtues that produce a more immediate type of pleasure. In the same way that we have laws of justice, we have a code of manners that affects how we act."
An Enquiry Concerning the Principles of Morals,11,2,"Politeness and good manners are obvious examples, but cleverness and wit also play a role in deciding whether someone's good company. The weight given to these virtues can, however, vary from one country to another."
An Enquiry Concerning the Principles of Morals,11,3,"Hume observes that, among the French, politeness and wit are highly valued, whereas in England people care more about whether someone's sensible and good-natured."
An Enquiry Concerning the Principles of Morals,11,4,"Though lively dialogue is agreeable, folks can get annoyed if someone hogs the conversation. Telling harmless lies in order to please and entertain is generally less appealing than keepin' it real. However, when a person is telling funny stories, fiction can be entertaining."
An Enquiry Concerning the Principles of Morals,11,5,"Being articulate, a genius, or having really good sense and sound reasoning are all pleasing qualities. Modesty is another attribute, one reason being that a modest person is humble, obedient, and open to instruction. Hume goes on to explain that folks generally tend to overvalue rather than undervalue themselves, so modesty keeps this in check. There are some occasions where people are suffering under oppression and pride becomes admirable. In everyday life, though, we need a healthy dose of modesty."
An Enquiry Concerning the Principles of Morals,11,6,"Some of the other qualities that Hume cites as being agreeable are cleanliness, alertness, and decency—we certainly can't argue with that. Hume defines decency as behaving in a way that's appropriate for our position in the world. For instance, some things are approved/disapproved of depending on how old a person is or whether they're male or female."
An Enquiry Concerning the Principles of Morals,11,7,"As well as qualities that can be easily summed up, some people can have a certain appeal that's hard to pin down."
An Enquiry Concerning the Principles of Morals,11,8,"This is most obvious in romantic relationships but it's a mysterious quality that some individuals possess. C'mon, do we really need to put a label on everything?"
An Enquiry Concerning the Principles of Morals,11,9,"Hume ends by summarizing that, even where we don't know a person or have any share in their success/failure, we still appreciate characteristics such as politeness, modesty, decency, and wit."
An Enquiry Concerning the Principles of Morals,8,0,"The extent to which we see a quality or habit as positive/negative depends, in large part, on usefulness. Things that have a harmful effect on a person or their ability to contribute to society are seen as bad, while qualities that seem well-suited to their purpose (and not excessive/lacking) are fantabulous."
An Enquiry Concerning the Principles of Morals,8,1,"Unlike those philosophers who've seen benevolence as rooted in selfishness, Hume argues that it's based on sympathy and humanity. Get with the program, people!"
An Enquiry Concerning the Principles of Morals,8,2,"Hume recognizes that some people are more kind than others and briefly toys with the idea of a person who doesn't care at all. However, he doesn't dwell on this and instead focuses on the role that usefulness plays in shaping our views and actions."
An Enquiry Concerning the Principles of Morals,8,3,"It's all about good judgment: we think about a situation and weigh the best course of action. Heard of the tortoise and the hare? Well, Hume sees this as a prime example."
An Enquiry Concerning the Principles of Morals,8,4,"Hume argues that we need to be sensible and think about the future rather than being greedy, pleasure-seeking, or squandering cash. Qualities such as honesty and loyalty are obviously important in promoting the interests of society but they're beneficial to the individual, too. The ideal is for a person to think about their duty to themselves and to society."
An Enquiry Concerning the Principles of Morals,8,5,"Though some virtues are equally valued in men and women, chastity/purity is seen as way more vital for women."
An Enquiry Concerning the Principles of Morals,8,6,"Hume explains that there are so many chances for women to give into temptation that nothing less than complete modesty is acceptable. For a man, it's easier to recover after he's made a mistake. If a woman makes a mistake, however, she's exposed to all kinds of insults and loses her social rank. Equality? Not so much."
An Enquiry Concerning the Principles of Morals,8,7,"We all want to be happy campers; however, it's not always easy to think of the long-term in the face of temptations that are right in front of us. Hume therefore warns against giving into temptation, arguing that we should keep in mind our future goals and stick to our guns. Is it just us, or would this guy make a great advice columnist? Better watch out, Abby."
An Enquiry Concerning the Principles of Morals,8,8,"In Hume's view, one of the reasons why the fool is looked on negatively (unlike the wise man) is that they don't have any use to society. This shows just how much usefulness is valued. Still, Hume states that some qualities can be valued because of their rarity and nobility even where they're not useful."
An Enquiry Concerning the Principles of Morals,8,9,"What's seen as useful can vary over time. For example, memory was valued in the ancient times more than it is now, as this was a time when public speakers were held in highest regard and expected to put on a good show."
An Enquiry Concerning the Principles of Morals,8,10,"Sometimes, when people boast about their virtues, we might find ourselves feeling cynical. Moral virtues like benevolence or public spirit can seem insincere in some cases, and we start to think ""yeah right."" However, Hume maintains that we never lose our sense of moral judgment altogether."
An Enquiry Concerning the Principles of Morals,8,11,"In conclusion, Hume argues that we're never totally indifferent to the happiness or misery of others. We start out by recognizing merits that are beneficial to the person that possesses them, and this then shapes our thinking on a wider scale. The result? We're able to view the world through the lens of ""disinterested benevolence"" (AII.12)."
An Enquiry Concerning the Principles of Morals,9,0,"So far, Hume has focused mostly on mental and emotional characteristics. However, can we apply the same logic to physical characteristics? Hume thinks so."
An Enquiry Concerning the Principles of Morals,9,1,"We tend to have a positive impression of features that suggest health, fitness, and vitality, but we need, in addition, to consider whether a person's suited to the situation at hand. Hume observes, for example, that strength and agility were of major value in ancient times due to their usefulness in war. A similar mindset shapes our reactions to painting and statues, where proper balance is pleasing to us."
An Enquiry Concerning the Principles of Morals,9,2,"Hume then refers to ""barrenness"" (infertility) in women as another type of inutility and, likewise, impotence (the inability to engage in sexual relations) as a defect that robs people of pleasure."
An Enquiry Concerning the Principles of Morals,9,3,"Health in general is highly valued, but Hume notes that temporary ill health doesn't automatically single anyone out as useless—we're not that ruthless. It's when we compare ourselves to superior species that we become aware of how vulnerable we are."
An Enquiry Concerning the Principles of Morals,9,4,"The next subject that Hume tackles is why we admire those who are rich and powerful. His conclusion is that this stems from images of happiness, success, comfort, etc. We may sometimes feel envy, but this goes alongside respect and humility; likewise, we may feel pity for those less fortunate."
An Enquiry Concerning the Principles of Morals,9,5,"Hume makes the further point that folks may put personal characteristics above fame and fortune. On the surface, though, they may pay more attention to the signs of riches since these flag someone's social position. Maybe we're all a little bit shallow after all."
An Enquiry Concerning the Principles of Morals,9,6,"As Hume has said before, which characteristics are commonly valued can depend on the place and the time period. So, where a person's current state of wealth is most important in England, noble ancestry is a bigger deal in Europe."
An Enquiry Concerning the Principles of Morals,9,7,"Hume doesn't argue that one is better. His point is that power and riches generally inspire respect, and those who live comfortably give off a sense of prosperity and satisfaction."
An Enquiry Concerning the Principles of Morals,2,0,"This section begins with Hume setting out his idea of the ideal moral citizen. In both their private life and public life, this individual is caring, reliable, and fair. Likewise, if they hold a position of authority, they're a thoughtful and compassionate leader rather than a boss from hell. This isn't just about niceness, but usefulness too."
An Enquiry Concerning the Principles of Morals,2,1,"To illustrate this, Hume points out that we sometimes talk about the usefulness of plants or animals: when we see fields full of corn or cows grazing, we know that they're not just part of the scenery but have a purpose. Similarly, we might notice whether or not a machine, a house, or a piece of furniture is suited to its purpose. Speaking of which, check out this couch—ouch!"
An Enquiry Concerning the Principles of Morals,2,2,"Hume emphasizes that usefulness isn't limited to certain jobs. For sure, it's important when we're talking about manufacturing items that are necessary or helpful to us, but Hume points out that a monk would be irked if we suggested that his order was useless or harmful. Equally, writers cares about the responses to their work."
An Enquiry Concerning the Principles of Morals,2,3,"Hume gives a bunch of other examples. For instance, he notes cases where utility—or lack of—has been used as the basis of praising or slamming religion. His overall argument is that morality is mostly based on usefulness to the public."
An Enquiry Concerning the Principles of Morals,2,4,"If we first overlook this or if we first think something's useful only to find out otherwise, this causes us to readjust our views. So, if we give money to someone thinking that we're helping them, only to find out that they've blown it, we're not exactly gonna be jumping for joy."
An Enquiry Concerning the Principles of Morals,2,5,"People's ideas about the public good have sometimes changed over time: Hume notes that assassinating cruel princes was celebrated in ancient times but folks realized that this doesn't work out well in the long term. Hume adds that we may applaud princes for acts of generosity but that, if the receivers squander the cash or get greedy, we start to get hacked off."
An Enquiry Concerning the Principles of Morals,2,6,"Hume isn't down on luxury, though he recognizes that it can have its pitfalls. He explains that luxury has often been associated with corruption, civil wars, and oppression, and has been seen as immoral. However, if we think of it as leading to an increase of things that are beneficial to humankind (like industry and the arts), we see that it's not all bad."
An Enquiry Concerning the Principles of Morals,2,7,"Hume rounds off by emphasizing the importance of benevolence, describing this as a social virtue that's useful in securing people's happiness and wellbeing. Yep, Ebenezer Scrooge learnt a valuable lesson."
An Enquiry Concerning the Principles of Morals,3,0,"To demonstrate the role of justice, Hume paints a picture of a world in which everyone has all they could wish for and there's no envy, resentment, or need for justice and property laws. This may seem like a fantasy world, but Hume explains that, even today, when something is freely available (such as air and water) we don't create rules about property. It's only when things are in short supply that rules need to be set up."
An Enquiry Concerning the Principles of Morals,3,1,"Some folk have defended the liberty of the seas on the same grounds. However, since the advantages gained by navigation aren't limitless, rivalry rears its head and we start to see how problems can arise..."
An Enquiry Concerning the Principles of Morals,3,2,"Hume recognizes the bond that people can feel with their loved ones, with this bond overriding rules of property."
An Enquiry Concerning the Principles of Morals,3,3,"He adds that some folk have tried to build communities that operate in a similar way and have only adopted rules of justice and property when they've found that it wasn't working. Hume's point? Justice only arises when it's useful (in case you haven't noticed, you'll be hearing this word a lot)."
An Enquiry Concerning the Principles of Morals,3,4,"To demonstrate this, Hume imagines a scenario in which resources are no longer plentiful and everyone's seriously gloomy. In this case, Hume suggests that people's self-preservation instincts are likely to kick in. After a shipwreck, for example, people's priority is to take hold of whatever they can to ensure their survival. Hey, desperate times call for desperate measures (turns out that even Wilson has a dark side)."
An Enquiry Concerning the Principles of Morals,3,5,"Hume sees war as another suspension of justice. Whenever justice no longer offers any advantage, it's overtaken by other concerns."
An Enquiry Concerning the Principles of Morals,3,6,"Now, Hume tackles the question of how and why rules of property and justice have been invented and become so widespread. Hume points out that societies don't usually operate at the extremes mentioned above, but instead occupy a middle ground. Our main interests may lie with ourselves and those close to us, but we learn that keeping up with wider society can be useful too."
An Enquiry Concerning the Principles of Morals,3,7,"The idea of a benevolent society in which everyone looks out for everyone else may have its appeal (just ask the Care Bears). Poetry, for instance, can depict a world in which the weather's perfect, natural resources are in full supply, and no one suffers or causes suffering—a world in which rules of justice aren't needed."
An Enquiry Concerning the Principles of Morals,3,8,"Hume mentions the poetry of the Golden Age as a prime example, contrasting it with philosophical fiction that explores the State of Nature. In this philosophical account, humans began as violent savages who had to rely on themselves. There were no laws, property, or systems of justice, but the result wasn't love and hugs—it was nonstop war. Oops."
An Enquiry Concerning the Principles of Morals,3,9,"Whether humans could live (or continue to live) in this way is something that Hume doubts. As he notes, people are usually raised by their families to recognize appropriate behavior. Still, if this state of ongoing war and violence were real, Hume would see it as another scenario in which the laws of justice would be abandoned."
An Enquiry Concerning the Principles of Morals,3,10,"Hume then sketches out another imaginary scenario in which, as well as us, there's another species of creatures that are weak in body and mind. Hume emphasizes the inequality of this arrangement—humans would wield total authority, our compassion being the only thing keeping us in check. Hume compares this to the way that some groups (e.g., women and people of different races or nationalities) have been treated, though Hume adds that women have often been able to share in society's rights and privileges. So, it's not all bad."
An Enquiry Concerning the Principles of Morals,3,11,"Hume ends by giving us another imaginary scenario in which each person lives wholly for himself or herself and there's no society. But what happens if nature takes its course and families start to emerge? And what if several families come together to form a society? Finally, what happens if a bunch of societies decide that it's a good idea to work together? Can you see where we're going with this? Following this train of thought helps explain how society as we know it today came into being."
An Enquiry Concerning the Principles of Morals,17,0,"We need to use language when outlining a theory, but what definitions should we use? Hume notes that he's aware of the potential for misunderstanding and has been careful about the words that he's used in the Enquiry."
An Enquiry Concerning the Principles of Morals,17,1,"Hume argues that it's hard to draw exact boundaries between virtues and talents (or vices and defects) and to precisely define these terms, but he follows this up with a reassuring point: this is just a matter of words. Phew."
An Enquiry Concerning the Principles of Morals,17,2,"He adds that, on the whole, there seem to be virtues of many different kinds, but calling a person ""virtuous"" is to chiefly praise their social qualities. Someone may be good-natured and honest, but if they're totally lacking in courage, industry, self-control, and dignity, they're hardly models of virtue."
An Enquiry Concerning the Principles of Morals,17,3,"Ultimately, one reason why languages struggle to draw a line between virtues and talents—and vices and defects—is that we don't make much of a distinction between them in our minds. It's more a matter of definitions than how we naturally think."
An Enquiry Concerning the Principles of Morals,17,4,"One factor that makes a quality valued is its rarity. Good-naturedness and honesty are seen as requirements, so possessing them is no biggie. It's when someone defies these codes that we're like, ""whoa there!"" Intellectual qualities tend to be seen as rarer than qualities of the heart, and that's why people are less likely to congratulate themselves in this area: they don't want to be seen as big-headed."
An Enquiry Concerning the Principles of Morals,17,5,"In general, Hume feels that virtues of various kinds can come about from similar sentiments. Sure, the praise given to industry, self-control, and cautiousness may be different than the praise given to other kinds of virtues, but that doesn't make them a different species. The ancient moralists, for instance, didn't make a material division between different species of attributes/defects. These were either virtues or vices—period."
An Enquiry Concerning the Principles of Morals,17,6,"Modern philosophers have often taken a different outlook, with philosophy having become closely linked with theology: a school that, in Hume's view, has warped every branch of knowledge and language. Nope, he's not a fan."
An Enquiry Concerning the Principles of Morals,17,7,"Hume wraps us by stating that a vice, a blemish, or a crime are different expressions but are cut from the same cloth. Likewise, the duties we owe to ourselves and to society probably work from the same principles and attract similar praise. So let's not obsess over this stuff, m'kay?"
An Enquiry Concerning the Principles of Morals,16,0,Hume's aim in this appendix is to expand on the origin and nature of justice and to explore what makes justice different from other virtues.
An Enquiry Concerning the Principles of Morals,16,1,"The chief difference is that humanity and benevolence work in an immediate, instinctive way, like with parents' natural sympathy toward their kids. However, justice and fidelity operate on a wider level. In fact, some individual acts can be harmful to society. Because of this, justice doesn't just mean focusing on individual cases but thinking about wider consequences."
An Enquiry Concerning the Principles of Morals,16,2,"For society to run smoothly, property has to be regulated. There'll sometimes be individual hardships in this system, sure, but these rules are adopted with the aim of serving the public."
An Enquiry Concerning the Principles of Morals,16,3,"It's not just about having a blinkered view where all we think about are our immediate, individual actions. Hume uses the example of rowing a boat—success depends on everyone playing their parts."
An Enquiry Concerning the Principles of Morals,16,4,"Let's be real: while systems of justice are supposed to work efficiently and fairly, it's not always this simple."
An Enquiry Concerning the Principles of Morals,16,5,"Sometimes, natural reason doesn't suggest a clear, fixed view of what's useful to the public; that's when laws are called in. However, it's often the case that these fail as well. Rather than solid argument or clear division between true and false, a judge sometimes has to call on sentiment."
An Enquiry Concerning the Principles of Morals,16,6,Hume's point is that rules of justice and property aren't always clear-cut and are sometimes determined by trivial factors.
An Enquiry Concerning the Principles of Morals,16,7,"Regarding property, Hume states that working with an object that has previously belonged to no one (e.g., cutting down and shaping a tree) creates a new relationship of property. Our sense of public utility and humanity support this, as we look fondly on a person who's carried out an act requiring effort. Feelings of private humanity can't form the origin of justice but they can play a role in individual cases."
An Enquiry Concerning the Principles of Morals,16,8,"Hume applies the concept of property to the natural landscape. Rivers are associated with those who own their banks (though vast rivers are the property of the nation they run through). We could ask, though, what happens if part of a river bank is torn away and becomes part of another bank? Hume explains that this doesn't automatically transfer ownership. It's only when it unites with the land and spreads its roots that it becomes part of a person's property."
An Enquiry Concerning the Principles of Morals,16,9,"Recognizing that individuals may sometimes violate the laws of justice, Hume chews on the harm that this may cause. This can be a private harm if the individual is injured but it can be a public wrong if rules are disobeyed. In Hume's view, the importance of the general good goes alongside a strong sense of the particular. So, if a public wrong is combined with a significant private wrong, that's when things get super serious."
An Enquiry Concerning the Principles of Morals,5,0,"This section begins with a reminder that there would never have been any need for government if every individual had a natural sense of justice. If acting freely never had any negative consequences, then why set limits on it?"
An Enquiry Concerning the Principles of Morals,5,1,We might assume that states/nations operate according to the same rules of justice as those that rule individuals.
An Enquiry Concerning the Principles of Morals,5,2,"But, nope, there's a difference: invading another person's property is always seen as a breach of justice. When it comes to nations, though, this bond isn't as strong—they don't always have to cooperate with each other and the boundaries of justice aren't as rigid. In an emergency, states may decide to cast aside the rules of justice and any ties that aren't in their best interests."
An Enquiry Concerning the Principles of Morals,5,3,"Another social structure that Hume explores is the family. Like all this other stuff, Hume sees this as being based on usefulness—babies and kids can't take care of themselves, so it's up to parents to raise them into social beings."
An Enquiry Concerning the Principles of Morals,5,4,"He sees faithfulness as serving this purpose too, though he observes that chastity (aka purity) is demanded of women but seen as not quite so important for men. Hume doesn't get into explaining this tricky subject; he's just saying how things usually are in society. It's like, ""hey, don't shoot the messenger!"""
An Enquiry Concerning the Principles of Morals,5,5,Hume then refers to incest as a type of behavior that's seen as unacceptable. He notes that people may have the opportunity to engage in this behavior but that it's seen as harmful and totally sketchy.
An Enquiry Concerning the Principles of Morals,5,6,"Being a tattletale is another thing that's seen as socially unacceptable. Once gossip spreads around, it can cause arguments and all-around bad vibes. This shows that, even where no official laws are broken, there are laws of good manners that we have to follow unless we want to end up as social outcasts."
An Enquiry Concerning the Principles of Morals,5,7,"Next, Hume makes the point that loyalty is super important in some situations, like when we're dealing with people who are close to us. On a more general level, though, there's nothing disloyal or rude about talking with people without any long-term ties. Whatever's useful and agreeable."
An Enquiry Concerning the Principles of Morals,5,8,"We know that laws and codes of conduct play a role in civilized society, but even outside civilized society, ideas about honor and justice can—and do—exist. Robbers and pirates rely on a code of justice among themselves and even wars have rules."
An Enquiry Concerning the Principles of Morals,4,0,"Hume begins by shifting focus from the general idea of justice to particular laws, but he says that the focus is the same either way—it's all about what's good and useful for society."
An Enquiry Concerning the Principles of Morals,4,1,"While some religious types have seen justice as something that's defined from above, Hume believes that we need to look at it on a more grounded level. He has no time for religious fanatics, and is relieved that magistrates don't pay much notice to their views. He adds that there were fanatics of this kind in England during the civil wars, but their moreextreme views alienated them from the general population. Folk were like, ""are these guys for real?"""
An Enquiry Concerning the Principles of Morals,4,2,"In addition to religious fanatics, Hume muses on whether we could call the Levellers (who believed in sharing property equally) political fanatics. The kind of equality that they advocated may seem ideal to many, but Hume says that common sense and history have shown that it mostly doesn't work. Mostly."
An Enquiry Concerning the Principles of Morals,4,3,"Expanding on this, Hume says that any equality that's established would most likely crumble given people's different personalities, skills, and circumstances. He suggests, too, that this world of equality wouldn't be as benevolent as we might imagine—when people started to show signs of inequality, authority would step in and we could head down a slippery slope to tyranny. Eek!"
An Enquiry Concerning the Principles of Morals,4,4,"On the other hand, in this world of total equality, who could possess authority in the first place? Like property, no one would have any more or less than their neighbor."
An Enquiry Concerning the Principles of Morals,4,5,"Hume concludes that we need to keep in mind the question: what's most useful to society? Hume uses the concept of property to illustrate this, singling out the terms ""mine"" and ""yours."" This division is something that we've created because we've found it useful. Easy-peasy."
An Enquiry Concerning the Principles of Morals,4,6,"The definition of property may be simple: it's something that's lawful for a person to own and use. Still, we establish and maintain this through all kinds of customs and laws. For all these complexities though, we always come back to the happiness and welfare of society. It's our ultimate go-to."
An Enquiry Concerning the Principles of Morals,4,7,"Hume has no time for superstitions, noting that an Egyptian wouldn't approach bacon for religious reasons but that there's no reason for this based on medicine, chemistry, or physics (for more bacon-related news, head here). The rules of property may sometimes seem to work in a similar way—it's immoral to live in a house on one side of a river, but since the other side has different laws, it's all good to live there. Huh? This can seem pretty random, but Hume stresses that justice and the interests of society form a kind of moral compass."
An Enquiry Concerning the Principles of Morals,4,8,"Unlike hunger and thirst, Hume recognizes that justice has been constructed because it serves a social purpose. As for authorities such as chancellors and juries, they've likewise come about because we need them."
An Enquiry Concerning the Principles of Morals,4,9,"Whereas birds of the same species build their nests in the same way, human beings have framed their houses differently depending on the time and place. Hume uses this example to show the influence of reason and custom."
An Enquiry Concerning the Principles of Morals,4,10,"Even so, Hume notes that the major outlines of houses tend to stay pretty much the same because people have found them handy (though there are always exceptions—check thisout)."
An Enquiry Concerning the Principles of Morals,4,11,"Because property and justice are so well-established, we may take them for granted. Ultimately, though, justice is necessary because it supports society as a whole, and this is the same reason why we value stuff like integrity, loyalty, public spirit, and truthfulness."
An Enquiry Concerning the Principles of Morals,1,0,"Hume begins this section by recognizing that, when it comes to things like friendliness, kindness, and gratitude, it may seem pointless to examine why they're valued so much. C'mon, it's pretty obvious, right?"
An Enquiry Concerning the Principles of Morals,1,1,"Hume adds that we generally have an even higher opinion of folks that have not only these qualities but strong abilities that they use for the good of all; y'know like Superman, Spiderman, and all that crew."
An Enquiry Concerning the Principles of Morals,1,2,"Hume uses the example of Pericles (a great Athenian general) to sum up his key argument. Hume explains that, when Pericles was on his deathbed, his pals talked glowingly about his many awards and victories. Pericles, however, replied that these ""vulgar advantages"" (II.I.2) were far less important than the happiness and contentment he'd brought to his citizens."
An Enquiry Concerning the Principles of Morals,1,3,"Far from being important only to the likes of Pericles, Hume argues that social virtues like benevolence are even more important to us ordinary folk since we don't usually have epic achievements and successes to fall back on. In general, cut-throat ambition is a less likable trait than ""softer"" virtues such as kindness and compassion."
An Enquiry Concerning the Principles of Morals,1,4,"The theme here is that, ideally, we don't just brag about our own achievements and good points but extend our thoughts and feelings toward other folks, too."
An Enquiry Concerning the Principles of Morals,1,5,"In the final paragraph, Hume remembers that his current aim isn't to gush about the charms of these social virtues; it's to explore how morals are formed and come into practice."
An Enquiry Concerning the Principles of Morals,1,6,"He sums up that no qualities are looked on more fondly than those that relate to sympathy and concern for others, as they play a big role in creating a connection between individuals (after all, friendship is magic)."
An Enquiry Concerning the Principles of Morals,0,0,"Hume starts out by outlining two character types that can be super annoying: people who are into their principles to the point where it gets OTT, and people who don't even believe what they're saying but just want to stir up controversy. As far as Hume's concerned, folks like this are just trolling—all we can hope is that they eventually give it up."
An Enquiry Concerning the Principles of Morals,0,1,"What is worth spending some time on is morality; chiefly, whether morality is based mainly on reason or on sentiment. Plus, we need to ask whether morality is a universal thing where everyone sees eye-to-eye or whether it's more complicated."
An Enquiry Concerning the Principles of Morals,0,2,"Hume points out that the ancient philosophers claimed to be all about reason but, actually, seem to have viewed morals as deriving from taste and sentiment. On the flip side, modern enquirers have talked about ""the beauty of virtue, and deformity of vice"" (I.4) but seem to have based their ideas on abstract thinking. See, we're dealing with a tangled web of disagreement and confusion."
An Enquiry Concerning the Principles of Morals,0,3,"Hume's main beef is with the idea that morality is based purely on reason. Sure, there are areas in which facts and reason are most important (hello,geometry), but if we consider how we react to poetry or to emotions such as love and humor, it's clear that we're not just dealing with facts."
An Enquiry Concerning the Principles of Morals,0,4,This isn't an either/or thing though—Hume points to a criminal trial as a scenario where we need to get the facts and then call on sentiment to decide whether something's morally right or wrong.
An Enquiry Concerning the Principles of Morals,0,5,"Hume ends by giving us an idea of what to expect in the following sections. His overall aim is to consider the roles that reason and sentiment play in real-world scenarios and viewpoints. By looking at particular examples, Hume believes we can reach wider conclusions about what's commonly seen as moral and immoral. Sounds like a plan to us."
An Enquiry Concerning the Principles of Morals,0,6,"Hume notes that taking the opposite approach—starting off with commonly held views and then looking at specifics—may technically be more perfect, but, hey, the human race isn't perfect. He then stresses that we can't apply abstract ideas to morality but need to focus on everyday, lived experience."
An Enquiry Concerning the Principles of Morals,0,7,"Hume finishes off by introducing the next section, which will focus on ""the social virtues"": benevolence and justice. He sees this as good starting point because it lays the groundwork for discussing other kinds of virtues. So, let's hop into it."
An Enquiry Concerning the Principles of Morals,13,0,"Here, Hume sums up that virtue isn't about self-denial but the overall good of humanity. No enjoyment is sincere if it's cut off from society. Likewise, if society makes an individual feel unwelcome, it's not so great."
An Enquiry Concerning the Principles of Morals,13,1,"It's about what's practical. For example, liquor is harmful in a way that air and water aren't. People may think there's a clash between selfishness and social sentiments, but Hume sees this as narrow-minded since self-love and benevolence can happily coexist."
An Enquiry Concerning the Principles of Morals,13,2,"Without systems of property, society couldn't function. However, a person might sometimes think that they can carry out an offense without causing any major consequences. We're taught that honesty is the best policy, but a person might argue that there are exceptions and that a wise person would take advantage of them. For Hume, though, it's natural to rebel against any thoughts of this kind. You see? This guy was a beacon of morality."
An Enquiry Concerning the Principles of Morals,13,3,"Some folks do give into temptation, of course. Still, a person who's honest and has any sense of common reflection will see that these folks have lost out: they've gained ""worthless toys"" (IX.II.12) whereas it's the natural pleasures that are priceless."
An Enquiry Concerning the Principles of Morals,12,0,"For Hume, the idea that personal merit is based on useful/agreeable qualities should be obvious. If it's not, then some other theories must have led philosophers astray. Hm, that's quite the subtle jab there, Mr. Hume."
An Enquiry Concerning the Principles of Morals,12,1,"Outside of philosophy, though, Hume observes that the principles that he's discussed are still alive and kicking."
An Enquiry Concerning the Principles of Morals,12,2,"This is why, in his view, sensible folk have rejected ""monkish virtues"" (XI.I.3) such as self-denial, solitude, and fasting—they don't serve a purpose to society or increase a person's own enjoyment. So what use are they?"
An Enquiry Concerning the Principles of Morals,12,3,One of the plus points that Hume associates with his theory is that it doesn't get into squabbles about degrees of benevolence/self-interest. He sees it as enough to conclude that some degree of benevolence is part of our nature.
An Enquiry Concerning the Principles of Morals,12,4,"As for ambition, greed, and vanity, these may produce strong passions but they can't form the basis of a moral theory; firstly because they don't have the proper aim, but also because they're not as common or comprehensive as a general sense of humanity."
An Enquiry Concerning the Principles of Morals,12,5,"For example, if a man battles his enemy or rival, we understand that he's driven by his own circumstances and sentiments. However, if this same guy calls another person vicious or hateful, he's applying a more universal principle."
An Enquiry Concerning the Principles of Morals,12,6,"Hume acknowledges that this more general sense of humanity may not be as powerful as emotions such as vanity and ambition, but it's still the only basis for morality."
An Enquiry Concerning the Principles of Morals,12,7,"It's normal to have some sense of vanity in relation to people who know us. If we think about humanity in a wider sense, though, it's clear that this is no great shakes: that's why we shift our focus to whether our behavior is useful and agreeable to society in general."
An Enquiry Concerning the Principles of Morals,12,8,"We do, however, adjust our boundaries when we're thinking about other societies and cultures; e.g., if a society isn't as civilized as ours, it has different standards of behavior."
An Enquiry Concerning the Principles of Morals,12,9,"Once we've established this sense of morality, the next step is to put it into words. It's by doing this that social customs and rules of justice are established."
