image_dir,description,text
data\output\divide_images_train\Capitulo 11\Comic11_006\panel_5.jpg,A bald man with a beard look back his shoulder and has a nervous expression,CONFIANZA
data\output\divide_images_train\Capitulo 11\Comic11_007\panel_1.jpg,Escoria is sitted. Palms her face and holds a sword between her legs,SUSPIRA Y CLARO ESO NO ES MOTIVO PARA MATARTE
data\output\divide_images_train\Capitulo 11\Comic11_007\panel_2.jpg,Escoria shouts with a furious expression,SI ME PAGASEN POR CADA INTENTO DE ASESINATO ENTRE NOBLES...
data\output\divide_images_train\Capitulo 11\Comic11_007\panel_3.jpg,A village in the midle of the forest. Smoke are lifting to the sky on the village,
data\output\divide_images_train\Capitulo 11\Comic11_008\panel_1.jpg,Escoria and a bearded man are sitted on a wagon,
data\output\divide_images_train\Capitulo 11\Comic11_008\panel_2.jpg,Escoria shouts in hurry,"¡RÁPIDO VIENE DEL PUEBLO! ESPERO QUE SE LE OLVIDASE A ALGUIEN UN FUEGO O QUE ESTÉN CELEBRANDO ALGO"
data\output\divide_images_train\Capitulo 11\Comic11_008\panel_3.jpg,A man with a beard has a shock and surprised expression,
data\output\divide_images_train\Capitulo 11\Comic11_008\panel_4.jpg,Smoke,
data\output\divide_images_train\Capitulo 11\Comic11_008\panel_5.jpg,A village is burning and fire is coming out the windows,
data\output\divide_images_train\Capitulo 11\Comic11_009\panel_1.jpg,Escoria Edrei and a bald man with a beard are near a wagon in a burned town. Escoria holds a sword and the man puts his hands on the head,
data\output\divide_images_train\Capitulo 11\Comic11_009\panel_2.jpg,A boot touch a hand with marks of burn,PLOP
data\output\divide_images_train\Capitulo 11\Comic11_009\panel_3.jpg,Escoria looks scared and surprised,
data\output\divide_images_train\Capitulo 11\Comic11_009\panel_4.jpg,A kid lies dead on the floor and a boot touch his arm,
data\output\divide_images_train\Capitulo 11\Comic11_010\panel_1.jpg,Edrei has a concerned face. Escoria burns in heat with an angry face. A beard bald man looks sad,
data\output\divide_images_train\Capitulo 11\Comic11_010\panel_2.jpg,,"PACO, VE A BUSCAR AYUDA"
data\output\divide_images_train\Capitulo 11\Comic11_010\panel_3.jpg,Escoria has an angry face and has a heat aura around her,YO BUSCARÉ A QUIÉN HIZO ESTO
