Texto,Idioma
qasqu,Quechua
ñuñu,Quechua
matanga,Quechua
waqta,Quechua
kustilla,Quechua
shunqu,Quechua
paĉha,Quechua
munchu,Quechua
sintura,Quechua
pinqaynin,Quechua
ĉhanqa kaĉhakanan,Quechua
siki,Quechua
raku ĉhanqa,Quechua
ĉhanqa lapsaq,Quechua
ĉhanqa,Quechua
shutqu,Quechua
qunquri,Quechua
''shutqupa paĉhan'',Quechua
muqu,Quechua
wichu,Quechua
ĉhaki pampaq,Quechua
sillu,Quechua
didu,Quechua
ñutqu,Quechua
surutu,Quechua
tullu,Quechua
anqu,Quechua
aqcha,Quechua
turqushtu,Quechua
turushku,Quechua
purqushtu,Quechua
suqya,Quechua
ñati,Quechua
pulmun,Quechua
kunkapa rurin,Quechua
llullu qasqu,Quechua
shunqu,Quechua
wawa paĉha,Quechua
maman,Quechua
pukchu,Quechua
riñun,Quechua
kurasun,Quechua
puywa,Quechua
bina,Quechua
ñati,Quechua
ayaq,Quechua
lañu chunchuli,Quechua
raku chunchuli,Quechua
¿Allilanchu kanki?,Quechua
¿Chaynupalachu?,Quechua
¿Imanutaq kanki?,Quechua
¿Imanu kanki?,Quechua
Allilanmi kani,Quechua
Nuqapis allilan kani,Quechua
Ashlilata linwarasta yaĉhani,Quechua
Rishaqna,Quechua
Rishun pulla,Quechua
Rishaq paywan parlaq,Quechua
Ratukaman,Quechua
Allaqkaman,Quechua
Qashanmi rikanakushun,Quechua
Kanan tarinakushun,Quechua
Arí,Quechua
Ajá,Quechua
Ajari,Quechua
mana,Quechua
manami,Quechua
¡Ama!,Quechua
Allinmi,Quechua
Tapukushayki taytituy,Quechua
¿Imataq shutinki?,Quechua
Nuqa shutini Juan,Quechua
¿Maymantataq kanki?,Quechua
Inkawasimanta kani.,Quechua
¿Maypitaq tanki?,Quechua
¿Aylluykiqa allilanchu?,Quechua
Riqsishushayraykumi aligriyani.,Quechua
"¿Taytayki, rnamayki kawsayanraqchu?",Quechua
¿Imanutaq taytayki?,Quechua
Taytayqa allilan,Quechua
¿Taytayta riqsinkichu?,Quechua
"Arí, taytaykitaqa riqsini",Quechua
¿Ukniykikuna kanchu?,Quechua
¿Ayka wamrayquntaq kanki?,Quechua
Payji,Quechua
Yusulpayji,Quechua
Dyusulpayji,Quechua
Chaynulamapis,Quechua
Imaraq,Quechua
¿Allinchu?,Quechua
Imaraq yaykamuy,Quechua
Imaraq pasakushaq,Quechua
Imaraq pasakuchimay,Quechua
¿Mikuyta rurapamayta puytiyankichu?,Quechua
¿Imatataq rurayanki?,Quechua
¿Maymantataq shamunki?,Quechua
Yunkamanta shamuni,Quechua
¿Maydiyataq ĉhamurayki?,Quechua
Quya ĉhamuray,Quechua
¿Imalapaqtaq shamushayki?,Quechua
Shamusha kani yachachikuq,Quechua
¿Maymantaq riyanki?,Quechua
Rishaq wasiyman,Quechua
Yunkata riyani,Quechua
Ĉhakpala rishaq,Quechua
¿Maydiyataq tikrakamuyanki?,Quechua
Allaqmanta tikrakamuyani,Quechua
¿Maytataq risha karayki?,Quechua
¿Imatataq nin chayqa?,Quechua
imatataq,Quechua
imataq,Quechua
pitaq,Quechua
pipataq,Quechua
pimantaq,Quechua
maypitaq,Quechua
maymantaq,Quechua
maymantataq,Quechua
maydiyataq,Quechua
imanutaq,Quechua
imaraykutaq,Quechua
imapaqtaq,Quechua
mayqantaq,Quechua
aykataq,Quechua
michkataq,Quechua
pipaqtaq,Quechua
imawantaq,Quechua
maynutaq,Quechua
¿Mayta?,Quechua
¿Maylawta?,Quechua
¿Maytataq riyanki?,Quechua
¿Mayman?,Quechua
¿Maypi?,Quechua
¿Maypitaq trabajanki?,Quechua
¿Maypitaq yaku kan?,Quechua
¿Maypitaq tantakashunllapa?,Quechua
¿Maypitaq?,Quechua
¿Ima?,Quechua
¿Imataq?,Quechua
¿Imatataq munayanki?,Quechua
¿Imatataq maskayanki?,Quechua
¿Imataq chayqa?,Quechua
¿Maydiya?,Quechua
¿Maydiyataq tikrakamunki?,Quechua
¿Imapaq?,Quechua
¿Imapaqtaq kaypi kanki?,Quechua
¿Imapaqna?,Quechua
¿Pitaq?,Quechua
¿Pi?,Quechua
¿Pitaq payqa?,Quechua
¿Pikunataq awan punchuta?,Quechua
¿Mayqan?,Quechua
¿Mayqantataq munayanki?,Quechua
¿Imaninkitaq?,Quechua
¿Imaniyantaq payqa?,Quechua
¿Imanu?,Quechua
¿Imanutaq rurashun?,Quechua
"¿Imaninchiktaq ""barriga"" nirqa linwaraspiqa?",Quechua
¿Imarayku?,Quechua
¿Imanuraq kanqa?,Quechua
¿Maynu?,Quechua
¿Maynutaq?,Quechua
¿Michkataq?,Quechua
¿Michka?,Quechua
¿Ayka?,Quechua
¿Michka wamrakunataq istudiyayan?,Quechua
¿Aykataq ukniykikunaqa?,Quechua
¿Ima fichapitaq kanchik?,Quechua
"¿Kananqa, ima diyataq?",Quechua
Kananqa lunismi,Quechua
¿Ima mispitaq kanchik?,Quechua
martis,Quechua
Nubyimripi kanchik,Quechua
¿Ima urasnataq?,Quechua
A las dyisnami,Quechua
A las unsina; a las dusina,Quechua
Achkiyayanna,Quechua
Amsayanna,Quechua
Tutapayanna,Quechua
achkiyaqpina,Quechua
rupay iqamunan,Quechua
rupay chinqanan; rupay iqanan,Quechua
diya,Quechua
unaq,Quechua
waran waran,Quechua
tuta,Quechua
kanan allaqmanta,Quechua
quya tardi ,Quechua
allaq tuta,Quechua
qayna tuta,Quechua
allaq uk diya,Quechua
qayna uk diya ,Quechua
uk simananami,Quechua
uk añunami,Quechua
uk diyamanta,Quechua
uk simanamanta,Quechua
kay shamuq mis,Quechua
kay shamuq añu,Quechua
naypaq añu,Quechua
¿Imurastaq tarinakushun?,Quechua
Rupay iqamunan ura,Quechua
Tardiyaqpi,Quechua
Tuta,Quechua
Ĉhaypi tuta,Quechua
Allaqmanta,Quechua
Allaq uk simana,Quechua
¿Maydiyataq ĉhamusha mama Mariaqa?,Quechua
Quya,Quechua
Quya allaqmanta,Quechua
Quya tuta,Quechua
Qayna uk diya,Quechua
Qayna simana,Quechua
Qayna mis,Quechua
Qayna añu,Quechua
Qayna tuta,Quechua
Unayna,Quechua
Kaluryayan,Quechua
Tamya kusata ishkiyan,Quechua
Wayrami,Quechua
Alliplata qasayan,Quechua
Alliplata rupayayan,Quechua
¿Qasayankichu?,Quechua
¿Kaluryayankichu?,Quechua
Alliplata wayra kallpan,Quechua
Tamyakish ishkinaq yupay,Quechua
¿Maydiyana tamya ishkiyanqa?,Quechua
¿Maydiyataq tamyaqa ishkiyanqa?,Quechua
Allipta tamya ishkiyan,Quechua
"Kusata tamya ishkitinqa, barrankakun",Quechua
"Allipta qasatinqa, wamrakunata pisti aypan",Quechua
Tutaqa qasay ishkiran,Quechua
Allip tuldyawlla syiluqa,Quechua
Granisuqa wirtakunata dañasha,Quechua
tarpukashakunata dañasha,Quechua
Tamyaqa wayrawan ishkiyan,Quechua
"Mana tamya ishkitinqa, tarpukashakunaqa dañakan",Quechua
"Tamya kusata ishkitinqa, akshuqa ismun",Quechua
"Tamya kusata ishkitinqa, animalkunaqa qishan",Quechua
¿lmanutaq ĉhanchik Wasikaqman?,Quechua
¿Maylawtataq Maraywakaman rinchik?,Quechua
¿Maylawtataq rishaq Playamanqa? ,Quechua
¿Maypitaq kulijyuga?,Quechua
¿Maypitaq tambuqa?,Quechua
¿Largullachu kanqa lnkawasimanqa?,Quechua
¿Ayka urapitaq ĉhanchik lnkawasimanqa?,Quechua
¿Maypitaq karruta tarishaq yunkata rinaypaq?,Quechua
Nanpa allilaw qichqanpi,Quechua
Riyupa ichuqlawninpi,Quechua
Sirkapa waqtanlawpi,Quechua
Wak urapi,Quechua
"Wak anaqpi, wak unaqpi",Quechua
"Anaq, unaq",Quechua
Anaqman,Quechua
Uraman,Quechua
Kinraylla rinki,Quechua
Allilawta rinki,Quechua
Ichuqlawta rinki,Quechua
Ruripimi,Quechua
Riyupa ĉhaypinta,Quechua
Waqtapimi,Quechua
Ĉhakipimi,Quechua
Kaypimi,Quechua
Chaypimi,Quechua
Wakpimi,Quechua
Qichqanpi,Quechua
Wak wasipa uklawnpi,Quechua
Ĉhacrapa mañanpi,Quechua
Tayta Pedrupa ĉhakranpi,Quechua
Maĉhaypa más waklawnpi,Quechua
Sirkapa waqtanpi,Quechua
Sirkapa ikinpi,Quechua
Makipi,Quechua
Allmanta allmantami linwarasta rimayta yaĉhakuyani,Quechua
"Imaraq, allmantala rimay",Quechua
Rimashaykita qashan rimay,Quechua
¿Aw?,Quechua
¿Imaninkitaq?,Quechua
Mana yaqqa intrakanichu,Quechua
Mana yaqqa uyaparaychu,Quechua
¿Imataq shutin kayqa linwaraspiqa?,Quechua
¿Intrakankichu rimashaytaqa?,Quechua
¿Chaynuchu niyta puytinchik?,Quechua
¿Allinchu?,Quechua
uk,Quechua
iskay,Quechua
kimsa,Quechua
tawa,Quechua
pishqa,Quechua
soqta,Quechua
achka,Quechua
trupa,Quechua
ashla,Quechua
ashlila,Quechua
atilila,Quechua
pitila,Quechua
aykala,Quechua
wakinla,Quechua
wakin,Quechua
chuk,Quechua
chay uk,Quechua
tukuy,Quechua
waran waran,Quechua
qarwa tuktu,Quechua
yuraq aqcha,Quechua
yana nawi,Quechua
chiqyaq rapra,Quechua
chupika qaqlla ,Quechua
chumpi punku,Quechua
asul,Quechua
quyu,Quechua
suqu,Quechua
¿Juanpa chumpanqa ima kulurtaq (rikĉhaqtaq)?,Quechua
Juanpa chumpanqa qarwa (rikĉhaq),Quechua
¿Perupa bandiranqa ima kulurkunataq? ,Quechua
Perupa bandiranpa kulurninqami chupikawan yuraq,Quechua
¿Pedrupa aqchanqa ima kulurtaq?,Quechua
Pedrupa aqchanqa yana,Quechua
Akshuta tarpushunllapa,Quechua
Ĉhakrata parqushunllapa,Quechua
Wamrayqa uyshakunata michiyan,Quechua
Akshuta allaq riypaqllapa,Quechua
Akshuta rimidyayani,Quechua
Allaqmanta ĉhakrapi tarpukushunllapa,Quechua
¿Ima rimidyutaq lanĉhapaq allin?,Quechua
Sikyata (pilkata) limpyashunllapa,Quechua
Adubita rurashunllapa,Quechua
Akshuta akrashunllapa simillapaq,Quechua
"Ashlila yaramay, dasla tikrakamushaq",Quechua
Yarakuyani,Quechua
Pantasha kani,Quechua
Nuqapis qam yupay yarpuyani,Quechua
¿Chiqapchu pay nishanqa? ,Quechua
¿Imatataq maskayanki?,Quechua
¿Pitataq maskayanki?,Quechua
Mana puytinichu,Quechua
Manami munayanichu,Quechua
Mallaqnayani,Quechua
Yakunayani,Quechua
Qasayani,Quechua
Shaykushakani,Quechua
Binsikashakani,Quechua
Qishaq kani,Quechua
Shunquy nanayan,Quechua
Umay nanayan,Quechua
Rupay rupachimayan,Quechua
Jwirakunayani,Quechua
¿lmanashaykitaq?,Quechua
¿Imanashataq?,Quechua
¿lmatataq rurayanki?,Quechua
¿Imatataq ministinki?,Quechua
¿Imata munanki?,Quechua
Akshuta rantinayani,Quechua
Runtutapis rantichimay,Quechua
Manami puytiyanichu,Quechua
Mikuyanillapa,Quechua
Yanukuyanimi,Quechua
Nuqapaqa manami kanchu,Quechua
Mana intrakayanichu,Quechua
Mana yaĉhayanichu,Quechua
Allaqmanta riyani,Quechua
Imaraq yanapamay,Quechua
Pukllashunllapa,Quechua
Rishun pukllaq,Quechua
Rishun bañakuq,Quechua
Riyukaman kallpar rishun,Quechua
¿Pitaq APAFApa presidintin? ,Quechua
Presidintiqa tayta Juan Garcia,Quechua
¿Payman apamayta puytinkichu?,Quechua
"Arí taytituy, piru ¿pitaq kanki?",Quechua
Nuqaqa mushuq profisurmi kani iskwilapaq,Quechua
Kusatami aligriyani profisur. Rishun presidintipa wasinman,Quechua
"Wamrakuna, nuqaqami mushuq profisur kani",Quechua
Nuqami shamusha kani kay iskwilaman yaĉhachikuq,Quechua
Nuqaqa shutini Alejandro Bernilla,Quechua
Kananmanta-pacha trahajashunllapa iskwilata shumaqchanapaq,Quechua
Qamkunata tukuynikillapata riqsishunayani,Quechua
Taytaykikunata willayllapa iskwilaman shamunanpaq; paykunatapis riqsinayani,Quechua
¿Imataq shutinki?,Quechua
Nuqa shutini Juana,Quechua
¿Ayka añuyquntaq kanki?,Quechua
Chunka añuyqunna kani,Quechua
¿Maypitaq tanki?,Quechua
¿Maymantataq shamunki?,Quechua
¿Maymantataq ĉhamushayki?,Quechua
¿Imataq shutin taytayki;mamayki; ullqu ukniyki?,Quechua
¿Unaykunaqa liyishaykichu?,Quechua
¿Ima añukamantaq liyishayki?,Quechua
¿Liyishaykichu jardinpi?,Quechua
¿Maypitaq liyirayki?,Quechua
¿Ayka añutataq liyishayki?,Quechua
¿Maypitaq nasishayki?,Quechua
Partidaykita rikanayani.,Quechua
¿Maypitaq taytaykiqa trabajan?,Quechua
¿Ima añukamantaq liyisha taytaykiqa? ¿Mamaykiqa?,Quechua
¿Mayqan rimaytaq punta rimanaykiqa?,Quechua
¿Michka añutataq dijashayki liyiytaqa?,Quechua
¿Aykataq uknisituykikunaqa?,Quechua
¿May kasiriyupitaq tankillapa qamkunaqa?,Quechua
"Kananqa, willamay libritaykipa numirunta",Quechua
"Allinmi, kananqa firmay kaypi",Quechua
Kaypimi listaqa. Tukuyninta rantinkillapa listapi kaqtaqa. Primiru abrilkaman apamunqa Valentínqa.,Quechua
"Wamra, rir waqachiy campanata",Quechua
"Wamra, rir waqachiy pituta",Quechua
Wamrakuna pasayllapa furmasyunman,Quechua
"¡Formayllapa.' Takshakuna naypaqpi, atunkuna ikipi",Quechua
"Allilaw rikraykillapata alsar, naypaq kumpañiruykillapapa rikranpa ananman ĉhurayllapa.",Quechua
Himno Nasyunalta kantashunllapa. ,Quechua
"Ma, ¿ mayqaniykillapapis naypaqman yarqur risachikuyllapa?",Quechua
"Rómulo, naypaqman yarqur risachikuy",Quechua
Pedrumi uk nutisyata willamashunllapa.,Quechua
María naypaqman yarqur uk kansyunta takiy.,Quechua
¡Furmasyunpiqa ama rimayllapachu! ,Quechua
Mana kallparchu salunkunaman yaykushunllapa,Quechua
"Ay, wamra shamuy. ¿Imataq shutinki?",Quechua
¿Imapaqtaq waqayanki?,Quechua
Umay nanayan maqamasha katinllapa.,Quechua
¿Pitaq maqashusha?,Quechua
¿Imapaqtaq mana pukllanki amiguykikunawan?,Quechua
Manami pukllachimanayanllapachu kusa takshitu kashayrayku,Quechua
"Guyu, shamur lichita upyay",Quechua
"Juan, Mariata qayamuy",Quechua
"Salunman rir, apamuy pituta (bastunta, pelutata)",Quechua
Shamuy kayman,Quechua
Yaykamuy,Quechua
Waqtaman yarquy,Quechua
Shariyllapa,Quechua
Punkuta kirpay,Quechua
Punkuta kiĉhay,Quechua
Uyamayllapa,Quechua
Takuyllapa,Quechua
Listata pasanaypaq.,Quechua
Uyarayllapa,Quechua
Upallayllapa,Quechua
Uyakuyllapa,Quechua
Chapakamuyllapa kayman.,Quechua
Ama chayta ruraychu,Quechua
Tapushushayta willamay,Quechua
Masjwirtita rimay,Quechua
Shariyllapa.,Quechua
Lluqshichiyllapa linwaji kwadirnuykillapata,Quechua
Lluqshichiyllapa matimatika kwadirnuykillapata,Quechua
Lluqshichiyllapa rilijyun kwadirnuykillapata,Quechua
Libruykillapata kiĉhayllapa,Quechua
Pajina dyisyuchuta rikayllapa,Quechua
Kay pajinata liyiy,Quechua
Kayta iskrihiyllapa,Quechua
¿Rurashaykillapanachu?,Quechua
¿Tukchishaykillapanachu?,Quechua
¿ lntrakashaykillapachu?,Quechua
¿lntrakankichu liyishaykitaqa?,Quechua
Tukuy iskrihiyllapa matimátika kwadirnuykillapapi.,Quechua
Uk ijimpluta qumay,Quechua
Tukuy iskrihiyllapa taryaykillapata,Quechua
Taryaykillapataqa allaqpaq rurankillapa,Quechua
Lichita upyanaykillapapaq tasaykillapata rikayllapa,Quechua
Tasaykillapata paqayllapa,Quechua
Tukuyla rikriyuman shumaq lluqshiyllapa,Quechua
Tikrakamunkillapa salunman kampanata waqachitiyqa,Quechua
"Pedro, lluqshiy pisarraman.",Quechua
"María, apamuy kwadirnuykita rikanaypaq",Quechua
¿Pitaq yaĉhayan imapaqta mana shamusha Marshiqa?,Quechua
¿Imapaqtaq faltashayki? ,Quechua
Qishaq karay,Quechua
"Carlos, lluqshiy naypaqman kantachikuq",Quechua
"Juan, naypaqman lluqshir willamayllapa uk adivinansata.",Quechua
"Marshi, chay kimsa kaq tapukuyta willamayllapa",Quechua
Tukuy riyllapa makiykillapata (ĉhakiykillapata) paqaq,Quechua
Kampanata waqachiy,Quechua
¿Bañuman rinayankichu?,Quechua
¿Jwirakunayankichu?,Quechua
¿Qishaqchu kanki?,Quechua
Shumaqla iskribiyllapa,Quechua
Yakuta apamuy.,Quechua
Bintanata pichay.,Quechua
Pachamanta tantayllapa tukuy papilkunata.,Quechua
Pichata itakuy.,Quechua
"Wamrakuna, ¡ama karpitakunata pintayllapachu!",Quechua
"Wamrakuna, ¡ama misakunata pintayllapachu!",Quechua
Salunta pichay.,Quechua
Taytaykillapata wiillankillapa shamunwzpaq riyunyunman dimunguta. iÁmami faltanqallapachu!,Quechua
Ĉhurayllapa kwadirnuykillapata bulsaykillapaman. Lluqshina uranami.,Quechua
Kananqa lluqshiytana puytinkillapa,Quechua
Allaqkamanna wamrakuna.,Quechua
"Riyanina, ratukaman.",Quechua
Ama qunqankillapachu qaqllaykillapata paqakuyta.,Quechua
Lluqshiyllapana,Quechua
Uk diyapina rikanakushun.,Quechua
"Allaqmantaqa tukuy shamunkimanllapa jyamriwan, rinallapapaq puriq Kimsa Quĉhaman.",Quechua
"Furmayllapa, listata pasanapaq",Quechua
"Tukuy shumaqla rinkillapa, ama wakinniykillapata kumsar imachu.",Quechua
Ama lluqshinkillapachu atun nanmantaqa.,Quechua
¿Tukuychu jyamritaqa apamushaykillapa?,Quechua
¿Pikunataq yanukuyan chay chunllaqpiqa?,Quechua
¿Pikunawantaq tantakayllapa pulla mikunaykillapapaq?,Quechua
Tukuymi pulla mikushunllapa jyamrinchiktaqa.,Quechua
Ama pukllayllapachu riyupa kusa mañanpiqa,Quechua
Ama rumiwan sitanakurqa pukllankillapachu.,Quechua
Uk muntun uk muntun tantakashunllapa pukllanallapapaq,Quechua
Makiykillapata paqayllapa mikunallapapaq.,Quechua
Tantayllapa tukuy imakillapakunata. Tikrakanallapapaq uranami.,Quechua
"Allitami kay lugartaqa chapankillapa, imanupiqami imallataqa qunqayachuwanllapa.",Quechua
Kananqa rikayllapa mayqanllaqa faltayanman.,Quechua
Pwiblumanqa kantaqnu yaykushunllapa.,Quechua
Pwiblumanqa llaqtamanqa yaykushunllapa.,Quechua
Yanapayllapa wakinniykikunata.,Quechua
Aysanakuyllapa ama ratanaykillapapaq.,Quechua
Trabajukunata rurashunllapa qillayta tantanallapapaq.,Quechua
Uk uyshata rifashunllapa,Quechua
Kada wamrakunami sinku bulituta rantikunqallapa. ,Quechua
Mikuyta rurashunllapa rantikunallapapaq.,Quechua
¿Allilanchu kanki?,Quechua
¿Imaykitaq nanayan?,Quechua
Ama manchakuychu. ,Quechua
Ama kuyuychu.,Quechua
Wamraykita apay pustaman. ,Quechua
Qayamuyllapa sanitmyuta.,Quechua
¡Ama yaku ĉhawataqa upyayllapachu!,Quechua
Rimidyu tukukatinqa qashan tikrakamunkillapa pustaman. ,Quechua
Kay pastillakunata upyanki yaku quñuqwan,Quechua
Wamrayki isqiĉhayatinqa apay pustaman.,Quechua
¿Imapaqtaq wamraykiqa faltasha?,Quechua
¿Imawantaq qishaq?,Quechua
¿Kananqachu allinkaqna?,Quechua
¿ Postamanqachu wamraykitaqa apashayki?,Quechua
¿Ima rimidyuwantaq rimidyasha wamraykitaqa?,Quechua
¿Imapaqtaq wamraykita trabajachinki klasin katinqa?,Quechua
¡Ama wamraykitaqa faltachiychu.' Manaqa ikipiyanqa,Quechua
"Taytituykuna, kananqa wamrakunata libritanta qushaqllapa",Quechua
Wamraykiqa kusatami yaĉhakuyan. Chayraykumi payji nishuni.,Quechua
¿Imataq pasayan wamrituykiwanqa? Chaqa nutanpiqa mana allinchu.,Quechua
Willay wamraykitaqa liyiyta allita yaĉhakunanpaq. ,Quechua
Wamraykiqa mana ruranchu tariyankunata. ,Quechua
Wamraykillapataqa yanapayllapa tariyankunata rurananpaq.,Quechua
"Taytituykuna mamitaykuna, kutir kutir shamunkimanllapa iskwilaman tapukuq wamraykillapa imanushi riyan nir yaĉhanaykillapaq.",Quechua
"Taytituykuna, mamitaykuna, payji nishaykillapa shamushaykillapaq",Quechua
Kay riyunyunpiqa parlashunllapa uk salunta ruranallapapaq. ,Quechua
Tukuyla uyakuyllapa. Presidintimi rimanqa.,Quechua
¿Allinchu kanqa taytituykuna? ,Quechua
¿Imatataq ninkillapa warmikuna?,Quechua
¿Imatataq ninkillapa ullqukuna?,Quechua
¿Imaninkitaq marnitay?,Quechua
¿Imaninkitaq taytituy?,Quechua
Kananqa butaq qallarishunllapa.,Quechua
Tukuymi tariyaykillapata rurankillapa. ,Quechua
"Tayta awturidakuna, iskwilapi imakunaĉhi faltayan chaykuna ruraypi yanapamanaykillapata ministinillapa.",Quechua
"Tayta Gubirnadur, ¿tinyintiykikunawanchu yanapakuyta puytiyanki kanqa?",Quechua
"Taytituykuna, mimuryalta rurar alcalde distritalman apashunllapa, pilkata rurananpaq.",Quechua
"Tayta gubirnadur, shamusha kanillapa inbitashuq mamitanchikkunapa diyan katin. ",Quechua
"Tayta agint, shamusha kanillapa inbitashuq mamitanchikkunapa diyan katin.",Quechua
"Tayta jwis, shamusha kanillapa inbitashuq mamitanchikkunapa diyan katin.",Quechua
"Tayta gubirnadur, shamusha kanillapa dinunsyata ĉhuraq iskwilapi suwakusha katinllapa. ",Quechua
"Tayta awturidakuna, tukuyta willayllapa, matrikulaqa qallarishana.",Quechua
"Tayta awturidakuna, qamkunapis rikanaykillapapaq kankillapa wamrakuna yaĉhakunanllapapaq.",Quechua
¿Maymantaq riyanki?,Quechua
Tambuman riyani runtukunata rantikuq.,Quechua
Nuqapis tambuman riyani. Rishun pulla.,Quechua
Allilanmi kani. ¿Qamqa? ,Quechua
Nuqapis allilanmi kani. ¿Imataq shutinki?,Quechua
Nuqa shutini Juan. ¿Qamqa?,Quechua
¿Maymantataq kanki?,Quechua
Inkawasimanta kani. ,Quechua
Chiclayumanta kani. ¿Qamqa?,Quechua
"Rishaqna, allaqkaman",Quechua
"Ari, allaqkaman.",Quechua
Yunkamanta shamuni.,Quechua
¿Imapaqtaq shamushayki Inkawasimanqa?,Quechua
Shamusha kani Dyuspa rimananta yaĉhachikuq. ,Quechua
¿Ima tyimputataq kidayanki?,Quechua
"Allin, chaynuqami allitana riqsinakushun. ",Quechua
"Imaraq, pasachimay wasiykiman Dyuspaq parlashunaypaq. ",Quechua
"Ari, pasamur samay.",Quechua
"Payji, yusul payji.",Quechua
"Tayta Maiiu, ¿allilanchu kanki? ",Quechua
"Manami, qishaqmi kani. ",Quechua
¿Imaykitaq nanayan?,Quechua
Allipta umay nanayan. ,Quechua
¿Maydiyamantataq?,Quechua
Quya tutamanta-pacha,Quechua
"Tayta Mañu, riy pustaman rimidyakaq.",Quechua
"Payji, allintami willamayanki.",Quechua
"Mana rimidyakarqa, llakichinki aylluykita",Quechua
Payji kananlla rishaq; allaq alliyar takinaypaq,Quechua
Ari. Nuqa-shuypaqa rishaq mamayta tariq. ,Quechua
¿Warmiyjunchu kanki?,Quechua
¿Runayjunchu kanki?,Quechua
¿Imapitaq trabajanki?,Quechua
¿Maymantataq shamushayki?,Quechua
Wasikaqmanta shamusha kani.,Quechua
¿Maydiyamantataq qishaq kanki?,Quechua
Chayraq,Quechua
Kanan,Quechua
Quya,Quechua
Kanan allaqmanta,Quechua
Quya pacha,Quechua
Naqa tuta,Quechua
Qayna uk diya,Quechua
¿Imanutaq nanachikuq qallarirayki?,Quechua
¿Piti pitilachu nanaq qallariran?,Quechua
¿Kusalatachu qallariran?,Quechua
"¿Chaynullachu kanki, manaqachu más tukuyanki?",Quechua
¿Imaykitaq kananqa nanayan?,Quechua
¿Rupachishuyanchu?,Quechua
¿Ayka diyapaqnataq rupawanqa kanki?,Quechua
¿ĉhiĉhapyachishuyanchu?,Quechua
¿Qasachishuyanchu?,Quechua
¿Nanachikuyankichu?,Quechua
¿Imaykitaq nanayan?,Quechua
Makiykiwan rikachimay.,Quechua
¿Maylawmantaq masqa nanayan?,Quechua
¿lmanutaq nanayan?,Quechua
¿Jwirtitachu? ,Quechua
¿Mana yaĉhaypaqlla?,Quechua
¿Tumpikaq yupay?,Quechua
¿Rawrayanchu?,Quechua
¿Imanutaq nanayqa qallariran?,Quechua
