Texto,Idioma
"Un día la mujer mandó al oso al agua. El oso fue con un harnero (cernidor) a traer agua. Cada vez que lo llenaba, el agua se terminaba. Mientras estaba en eso, su hijo sacó de la cueva a su mamá.",Español
"Cuando el oso regresó a la cueva, no encontró a su mujer ni a su hijo. Entonces el oso se fue tras su mujer. Llegó a la casa de su mujer. Cuando ella lo vio, se escondió. El oso pasó por su lado. No se dio cuenta de que su mujer estaba escondida en su propia casa.",Español
LA ZORRA Y EL CONEJO,Español
Un día una zorra encontró a un conejo que estaba durmiendo. Le tiró una piedra a la espalda para despertarlo.,Español
El conejo se levantó asustado: “¿Quién ha estado aquí?” La zorra se había escondido. El conejo halló a la zorra y le preguntó: “¿Tú sabes quién me tiró una piedra?”,Español
"“No lo he visto”, dijo la zorra.",Español
El conejo preguntó: “¿Por qué te escondiste?”,Español
La zorra contestó: “Yo no estuve. Tengo hambre. Quiero comerte”,Español
"Entonces el conejo se escapó por otro lado. Y la zorra fue siguiéndolo pero no lo halló. La zorra pasó al lado del conejo, mientras estaba escondido en una cueva",Español
Luego la zorra llegó al cerro y vio a otro conejo. Pero el otro conejo corría por el otro lado. La zorra esperó pensando que iba a comerlo. Pero la pobre zorra murió de hambre en el cerro.,Español
JUAN OCIOSO,Español
"Un día Juan Ocioso fue a pasear con su mamá por la ladera. Después tuvo pereza de caminar. Luego le dijo a su mamá: “Yo tengo hambre”. Después de decir eso, se fue a la casa a comer.",Español
Su mamá se molestó: “¡Tú eres un niño ocioso!”,Español
"Al llegar a su casa, Juan dijo a su mamá: “Yo quiero habas”. Luego Juan se fue afuera. Después de jugar regresó a su casa.",Español
Luego su mamá preguntó: “¿Por qué eres ocioso?”,Español
"Después que le dijo eso, Juan y su mamá fueron otra vez a pasear por la ladera. De tanto andar, queriendo regresar a su casa, Juan le engañó a propósito: “Mamá, tengo frío”.",Español
"Cuando dijo eso, su mamá dijo: “Siendo perezoso de verdad tú eres Juan Ocioso”.",Español
EL GATO Y LOS PERICOTES,Español
Un día un gato encontró a tres pericotes. Entonces dos de los pericotes se escondieron entre las piedras. El otro pericote habló asustado al gato: “Seguramente nos vas a comer”. El gato dijo: “Ahora los voy a comer a los tres”.,Español
Luego los dos escondidos salieron de entre las piedras. De nuevo el gato les dijo: “Ahora voy a comerlos a todos”. Después dijo: “Voy a regresar. Espérenme acá nomás. No los voy a comer”.,Español
"Después los tres pericotes planificaron entre ellos: “Ahora cuando regrese le diremos al gato: ‘Nosotros queremos ser amigos. Para ti también vamos a buscar comida para que comamos juntos en esta casa. Ahora anda a buscar más pericotes’ ”, dijeron.",Español
"Después los pericotes que estaban en la casa se pusieron de acuerdo de cómo matar al gato. “El gato ya regresará”, dijeron. “Cuando llegue, uno de nosotros le dirá: ‘Acá está tu comida. Seguramente tú estás con hambre’ ”.",Español
"Cuando el gato llegó le dieron un plato de carne con veneno. Como el gato estaba con hambre, comió lo que le dieron. Con eso el gato murió.",Español
EL RATÓN Y LOS POLLITOS,Español
"Un día los pollitos de una mujer estaban comiendo. Luego un ratón apareció y estaba mirando la comida de los pollitos. Después los pollitos se fueron, dejando su comida.",Español
La dueña encontró al ratón comiendo la comida de sus pollitos. Cuando el ratón vio a la dueña huyó asustado,Español
"La mujer dijo: “Éste debe ser el que termina la comida de mis pollitos”. Después de decir eso, la mujer volvió a entrar a la casa para traer veneno para poner para el ratón.",Español
"Cuando salió de su casa sus pollitos estaban llorando de hambre. Como estaban con hambre, sin acordarse la mujer les tiró el veneno que era para el ratón. Al comer eso todos sus pollitos se murieron.",Español
"Luego, mientras la mujer estaba llorando con tristeza por sus pollitos, el ratón llegó
riéndose: “Diste lo que era para mí a tus pollitos. ¡Pobre mujer! Ahora terminaré la comida
que era para tus pollitos”.",Español
EL ZORRO Y EL CÓNDOR ,Español
"El zorro dijo al cóndor: “Vamos arriba al cerro a correr”. Cuando dijo así, el cóndor respondió: “Vamos” y se fueron",Español
"Cuando llegaron, el zorro dijo al cóndor: “Vamos a correr a las ganadas. Si tú me ganas, me comerás a mí. Si yo te gano, te comeré a ti”. Después se pusieron a correr.",Español
"El cóndor ya estaba ganando la carrera. Cuando se sintió cansado dijo: “Vamos a descansar”. Después el zorro estaba ganando al cóndor. El cóndor preguntó: “¿Ya me estás ganando?” Pensando así el cóndor se asustó. “Ahora me va a comer”, dijo.",Español
El zorro corría demasiado porque quería ganar y murió. El cóndor se fue al zorro y lo encontró muerto. Después de comerlo se fue con la barriga llena.,Español
EL CONEJO Y EL ZORRO ,Español
Una noche un conejo fue a una huerta para comer. Al día siguiente el dueño de la huerta vio que el pasto había sido comido y dijo: “¿Qué animal habrá comido mi pasto?” Entonces fue para poner una trampa para agarrar al conejo. ,Español
El conejo regresó de nuevo para comer. Allí la trampa lo agarró.,Español
"Un zorro apareció allí y dijo: “¿Qué estás haciendo aquí?” Entonces el conejo dijo: “Ese viejo quiere casarme con su hija. Yo no quiero casarme con su hija. Cuando le dije eso, me amarró”. ",Español
El zorro dijo: “Amárrame a mí en esa trampa”. Entonces después de amarrar al zorro en la trampa el conejo se fue.,Español
Luego cuando el dueño de la huerta apareció se enojó: “Tú eres él que comió en mi huerta”. Después de un rato el viejo apareció agarrando su fierro caliente. Fue con eso para pegar al zorro. ,Español
"Entonces el zorro lloró: “¡No me pegues!” Mientras decía eso el zorro se soltó. Luego cuando el zorro estaba huyendo, en sus pensamientos dijo: “Si yo no hubiera estado allí, habrían matado a ese conejo”. Pensando así, ya no vio al conejo. ",Español
EL ZORRO Y EL CONEJO,Español
Una mujer tenía un corral. En ese corral sembró repollos. Todas las noches sus repollos desaparecían. Entonces la mujer se puso a preguntar a su hija. Su hija dijo: “Yo no sé nada”,Español
Entonces una noche al amanecer el conejo salió de su hueco y fue al corral a comer repollo. Al día siguiente la mujer fue a su corral y encontró su repollo comido. Entonces dijo: “¡Ha sido el conejo que come esto!”,Español
Al tercer día se pusieron a espiar. La hija se fue adelante a espiar y encontró al conejo comiendo. Agarró al conejo y lo llevó a amarrar.,Español
"Cuando estaba amarrado así, llegó un zorro delante del conejo y le preguntó: “Tú, ¿por qué estás amarrado?",Español
El conejo le dijo: “Me han amarrado porque no quería estar con su hija”.,Español
"Entonces el zorro le dijo: “En vez de estar amarrado, amárrame a mí para que yo viva con su hija”",Español
Entonces ese conejo sabido amarró al zorro y se fue. El zorro se quedó amarrado.,Español
EL ZORRO Y LA OVEJA,Español
"Un zorro hambriento estaba andando por un sitio caluroso sin encontrar nada. Por allí una mujer se fue a pastar sus ovejas. El zorro llegó a donde ella estaba pastando. Como el zorro estaba con hambre, agarró a una oveja y a la vez la mordió.",Español
La mujer rápidamente agarró una piedra y la tiró al zorro en la cabeza hasta que se quedó desmayado. Ese zorro sabido fingió morirse.,Español
"El perro de la mujer llegó allí y lo llevó arrastrando para pelear con él. Cuando estaban allí peleando, el zorro mordió mucho al pobre perro hasta que murió.",Español
"Después de hacer eso, el zorro regresó a su oveja. La mujer vio que el zorro había agarrado a la oveja. Mientras ella llegaba, el zorro terminó de comer a la oveja. Como la barriga (del zorro) estaba llena y no podía correr, esa mujer siguió al zorro y lo alcanzó.",Español
"Cuando lo alcanzó, otra vez le tiró piedras en la cabeza hasta que el zorro murió. Después de matarlo la mujer llevó sus ovejas y se fue a su casa. ",Español
EL ZORRO Y EL CÓNDOR,Español
"Un cóndor estaba sentado sobre una piedra. Un zorro al verlo se fue muy feliz y dijo: “Ahora sí voy a comer”. Al subir, el zorro cayó de una piedra.",Español
Entonces el cóndor le dijo: “No vas a poder entrar. Yo volaré al suelo”.,Español
El zorro lo llamó: “Vuela para hablar de cualquier cosita”.,Español
"Al decir eso, el cóndor llegó al suelo y dijo: “Ahora conversaremos”. ",Español
El zorro le dijo: “Llévame debajo de tu ala y ponme sobre una piedra”.,Español
"Cuando le dijo eso, el cóndor llevó al zorro a esa piedra. Después que el cóndor lo llevó, el zorro dijo: “Tengo hambre. Ahora te voy a comer”.",Español
"Cuando dijo eso, el cóndor dijo: “Hay que pensar todavía para que me comas. Espérame. Regresaré dentro de un ratito”. Al decir eso, dejando al zorro, el cóndor se fue volando.",Español
"Al no poder bajar de la piedra, el pobre zorro murió.",Español
JUAN HARAGÁN,Español
"Un día, la mujer de Juan le dijo: “Anda a sembrar nuestra papa”.",Español
"Cuando dijo eso, Juan se fue a la chacra llevando la semilla de papa. Al llegar a la chacra, todo el día cocinaba y comía la papa. Al atardecer regresaba a su casa.",Español
Su mujer le preguntaba: “¿Has terminado de sembrar?”,Español
"“Sí, he terminado”. Así respondía Juan.",Español
"Cuando estaban así, llegó la cosecha. Entonces Juan dijo a su mujer: “Tengo hambre. Debes ir a traer papas”. Cuando dijo eso, su mujer se fue a traer papas.",Español
"Cuando estaba sacando papas, un hombre encontró a la mujer de Juan. Él era el dueño de las papas. Le preguntó: “¿Qué estás haciendo en medio de mis papas?”",Español
La mujer le dijo: “Juan me dijo: ‘Esas son nuestras papas’. Por eso estoy sacando las papas”.,Español
El dueño de las papas le dijo: “Tu esposo fue haragán. Todo el día cocinaba y se regresaba. Ahora llévate un poco de papas para que le des de comer. Si te pregunta le dices: “Éste es mi trabajo”.,Español
EL ZORRO Y EL CÓNDOR,Español
"Un día un zorro estaba andando por la puna. Un cóndor lo vio desde lo alto y le preguntó: “Amigo, ¿qué estás buscando?”",Español
"El zorro respondió: “Amigo, yo estoy buscando una oveja para comer”.",Español
El cóndor le respondió: “Vamos a buscar animales para comer”.,Español
"“Pues vamos a buscarlos”, conversaban el zorro con el cóndor.",Español
El cóndor le preguntó: “¿Por qué no vas tú primero? Tú vete por allá. Yo voy por abajo”.,Español
Después el cóndor agarró un becerro. El zorro llegó enseguida. A esa hora el cóndor le dijo: “Agarremos cada uno (para sí mismo)”.,Español
"El zorro le dijo al cóndor: “Agarra para mí también”. Como el cóndor no quiso agarrar, el zorro se enojó mucho: “Tú eres un mal amigo. Voy a buscar a otro amigo”, dijo.",Español
Luego el cóndor dijo: “No te enojes. Vamos a correr hasta el cerro allá”. Después el cóndor dijo al zorro: “Vamos a hacer tus alas para que vueles”.,Español
"Cuando dijo eso, el zorro se alegró: “Ahora tendré mis alas”.",Español
Al decirle eso el cóndor lo mandó: “Vete a traer dos mates”. El zorro le hizo caso y fue a traer los mates.,Español
"Cuando el zorro los trajo, el cóndor cosió los mates a las costillas del zorro. Después de coserlos, llevó al zorro a una peña alta. Al llegar dijo: “Ahora los dos vamos a volar”. El cóndor se fue volando. El pobre zorro cayó a la quebrada hasta morir.",Español
"Viendo eso, el cóndor fue a comer al zorro.",Español
EL ZORRO Y LA OVEJA,Español
Un día un zorro encontró una oveja en el monte comiendo hierba. Cuando la encontró dijo: “Ahora voy a comer hasta llenarme”. Después de llenar su panza se alejó dejando solamente los huesos.,Español
Al día siguiente el zorro regresó a mirar. No había nada. Un perro se iba con su panza llena. Entonces el zorro y el perro pelearon entre ellos. Luego el perro mató al zorro. Después de matarlo el perro se fue contento.,Español
EL ZORRO Y EL VENADO,Español
"Un día un zorro estaba andando buscando comida. Mientras tanto, se encontró con un venado. El zorro preguntó al venado: “¿Qué estás haciendo?”",Español
El venado respondió: “Estoy comiendo pasto. ¿Qué quieres tú?”,Español
"Cuando dijo eso, el zorro dijo al venado: “Yo también estoy andando con hambre. ¿Qué debo comer?” El zorro insistió: “Tengo hambre”.",Español
"Después con cólera, el venado corneó al zorro hasta que cayó al agua. Como el zorro no pudo salir del agua, el venado se rió. Entonces el zorro murió en el agua. El venado se fue a su cueva a dormir. ",Español
EL BURRO Y EL ZORRO,Español
Un día un burro encontró a un zorro en la puna. Luego el burro le preguntó: “¿Qué haces por acá?”,Español
El zorro le dijo: “Yo estoy durmiendo”.,Español
El burro le preguntó: “¿Por qué estás durmiendo?”,Español
"Cuando dijo eso, el zorro respondió: “Mi barriga me duele”.",Español
El burro le dijo: “¡Pobrecito! Levántate. Vamos por allá”.,Español
"Entonces como hacía mucho sol, quemaba. El zorro fue detrás del burro a sombrearse. Cuando el burro lo vio lo pateó en el hocico hasta que sus muelas salieron. Con eso el pobre zorro murió. ",Español
LA OVEJA Y EL ZORRO,Español
Una oveja estaba andando perdida. Luego la oveja se encontró con un zorro. Allí le preguntó: “¿Qué estás buscando?”,Español
"Cuando dijo eso, el zorro sabido dice: “¡Ahora te voy a comer!”",Español
"La oveja asustada dijo gritando: “¡No me comas!”, y corrió. ",Español
El zorro dijo: “Voy a regresar”.,Español
"Luego, como el zorro no regresaba, la oveja dijo: “Seguramente fue a traer a sus compañeros”. Mientras tanto, se escondió entre las piedras.",Español
"Cuando estaba allí, el zorro llegó. No vio a la oveja. Mientras estaba esperando, el zorro se quedó dormido. Cuando estaba así, la oveja fue a echar paja encima del zorro para quemarlo.",Español
"Cuando el zorro estaba entre sueños dijo: “¿Qué cosa es?” Diciendo eso, siguió durmiendo. Siendo así, otros zorros aparecieron queriendo comer a la oveja. La oveja salió de entre las piedras y quemó a todos los zorros. Con eso se terminaron los zorros.",Español
La oveja dijo alegremente: “Ahora he quemado a todos los zorros”. Se fue a dormir entre sus compañeras.,Español
EL ÁGUILA Y LA GALLINA,Español
"Un día un águila se llevó la gallina de una mujer. Cuando la mujer escuchó el ruido de las gallinas, salió diciendo: “¿Qué pasará con mis gallinas?”",Español
"Al ver al águila que estaba volando tuvo cólera y dijo: “Esa águila seguro ha llevado mi gallina. Para evitar que el águila las termine así, voy a encerrar al resto de mis gallinas”.",Español
"Después de un rato vio que sus gallinas estaban gritando afuera. El águila ya había llevado a otra de sus gallinas. Por eso la mujer encerró sus gallinas. “Ahora que estén allí”, dijo.",Español
"Luego la mujer llevó su comida al corral para darles. “Ahora si las gallinas salen otra vez, voy a agarrarlas y matarlas para hacer el almuerzo. Las llevaré por todos lados a vender”, dijo la mujer.",Español
"Después de oír que habló así, las gallinas ya no salieron del corral, con miedo de que las mate. ",Español
EL BURRO Y EL ZORRO,Español
Un zorro iba detrás de un burro fastidiándolo. Entonces el burro le dijo: “No me fastidies. Si sigues te voy a patear”. ,Español
El zorro siguió fastidiándolo. Mordió fuertemente la pata del burro. Luego el burro pateó al zorro hasta matarlo. Después el burro se fue contento.,Español
El cóndor y el zorro,Español
"El cóndor y el zorro habían ido hasta la punta del cerro. Hicieron una apuesta para ver cuál de los dos iba a sobrevivir al frío. Empezó a llover. Se sentaron para descansar cuando una lluvia de nieve se puso a caer. Con una de sus alas el cóndor se tapó el cuerpo y se sentó sobre la otra. Pero el zorro sólo pudo encogerse sobre su cola para protegerse. Una nieve gruesa empezó y el zorro sintió frío. El zorro le preguntó al cóndor ""tienes frío o no, cóndor?"". ""Cuándo un macho va a sentir frío?"" le respondió al zorro, casi muriéndose. De nuevo la lluvia cayó y el cóndor preguntó otra vez al zorro si tenía frío. Pero éste ya había muerto. Cuando paró la lluvia, el cóndor se estiró y se comió al zorro. Luego, ese cóndor liso se fue volando hacia el mar.",Español
"¿Está bien, señora?",Español
"¡Estoy bien, señor!",Español
"¿Cómo está, señor?",Español
"Bien, doctor",Español
"Bien, doctora",Español
Señorita ¿Cómo está?,Español
"¡Estoy bien, doctor",Español
¿Cómo están señoras?,Español
¿Cómo están señores?,Español
"Bien, doctor",Español
"Bien, doctora.",Español
"Buenos días, señor.",Español
"Buenos días, doctor",Español
"Buenos días, señor",Español
"Buenos días, señores y señoras",Español
"Buenos días, doctores.",Español
"Buenos días, jóvenes y señoritas.",Español
"Buenos días, doctor.",Español
Ya llegué doctora.,Español
"Buenos días, doctora",Español
Ya estamos aquí.,Español
"Buenos días, señora",Español
"Buenos días, señoras.",Español
¿Qué está buscando señor?,Español
Estoy buscando la Demuna,Español
Estoy buscando el Primer Juzgado.,Español
Estoy buscando la oficina del juez.,Español
Estoy buscando Mesa de Partes.,Español
"¿Me puede ayudar, señor?",Español
"¿Me puede ayudar, señora?",Español
¿Qué está esperando señora?,Español
¿Qué está esperando señor?,Español
Estoy esperando a mi esposo.,Español
Estoy esperando a mi esposa.,Español
Estoy esperando a mi conviviente (habla un hombre).,Español
Estoy esperando a mi conviviente (habla una mujer).,Español
Me han dicho que espere aquí.,Español
Me han dicho que me van a dar un papel (un documento).,Español
Me dijeron que traiga una copia de mi DNI.,Español
Señor ¿a qué hora abre la oficina?,Español
Señor ¿a qué hora atienden?,Español
La oficina abre a las 8 de la mañana,Español
Venga a las 10 de la mañana.,Español
Regrese después del almuerzo,Español
De 1 a 2 de la tarde no hay atención.,Español
Regrese a las 12:30.,Español
¿A qué hora cierra la oficina?,Español
La oficina cierra a las 5 de la tarde.,Español
La oficina cierra a las 4:30 de la tarde,Español
La mesa de partes atiende hasta las 4:30 de la tarde.,Español
Señor ¿Qué días abre esta oficina?,Español
"La oficina atiende lunes, miércoles y viernes.",Español
La oficina atiende martes y jueves.,Español
Regrese mañana en la mañana.,Español
Regrese mañana en la tarde,Español
Regrese pasado mañana.,Español
Regrese el siguiente lunes,Español
"Hoy no hay atención, es feriado.",Español
"Hoy no hay atención, los trabajadores están de huelga",Español
Consígue tu tiquete para la atención.,Español
Espere en la fila.,Español
Tome asiento.,Español
Espere en la primera puerta.,Español
Toque la primera puerta.,Español
Toque esa puerta,Español
Suba al segundo piso.,Español
Baje al sótano.,Español
La oficina está en el patio.,Español
Guarde silencio.,Español
Guarden silencio (a varias personas).,Español
"Espere, ya le van a llamar.",Español
Que su hijo no juegue en la escalera,Español
Sin autorización no puede pasar.,Español
Apagar el celular cuando ingrese a esa sala,Español
"Adelante, señor.",Español
"Adelante, señora.",Español
"Adelante, señores.",Español
"Adelante, señoras.",Español
"Adelante, señorita.",Español
"Adelante, joven.",Español
Siéntate.,Español
Tome asiento (más cordial).,Español
Tome asiento (aún más cordial).,Español
Tomen asiento (a varias personas).,Español
Tomen asiento (más cordial).,Español
Tomen asiento (aún más cordial).,Español
"¿Qué desea, señora?",Español
"¿Qué desea, señor?",Español
"¿A qué vino, señora?",Español
"¿A qué vino, señor?",Español
¿En qué le puedo ayudar?,Español
¿Qué puedo hacer por usted?,Español
¿En qué le podemos ayudar?,Español
¿Puedo ayudarle?,Español
¿Podemos ayudarle?,Español
"Le escucharé, señora.",Español
"Lo escucharé, señor.",Español
Les escucharé.,Español
He venido a hacer una consulta.,Español
He venido para poner una denuncia /queja.,Español
He venido a denunciar /a quejarme.,Español
"Mi esposo me golpea, no quiero que lo haga",Español
Deseo hablar con el Juez,Español
Deseo hablar con el Fiscal,Español
Deseo hablar con el Policía.,Español
Deseo que me escuche el Juez.,Español
Deseo que me escuche el Fiscal.,Español
Necesito hablar con el Fiscal.,Español
Yo hablo quechua señor.,Español
Yo hablo quechua señora.,Español
"¿Habla quechua, doctor?",Español
"Sí, hablo quechua",Español
Hablo un poco de quechua.,Español
Entiendo pero no puedo hablarlo.,Español
"¿Sabe quechua, doctora?",Español
"Sí, sé quechua.",Español
No sé quechua.,Español
"¿Habla castellano, señora?",Español
No hablo castellano.,Español
¿Prefiere usted hablar quechua o castellano?,Español
Prefiero hablar en quechua.,Español
¿Quién habla quechua aquí?,Español
Él va a decir en quechua lo que yo diga.,Español
Él va a hablar en castellano por mí.,Español
Mi hija va a hablar en castellano por mí,Español
"Por favor, hábleme más lento.",Español
¿Puede repetir?,Español
No entiendo lo que dice,Español
"Tranquilícese, señora.",Español
"Tranquilícese, señor.",Español
Cuénteme lo que le aflige.,Español
Todo va a estar bien.,Español
No se preocupe.,Español
No llore,Español
Ya no llore.,Español
¡Ayúdeme!,Español
Le ayudaré,Español
Le vamos a ayudar.,Español
Escuche,Español
Escúcheme por favor.,Español
"Por favor, señora.",Español
"¿Señor, a qué hora llega el comisario?",Español
¿A qué hora llega el fiscal?,Español
Inmediatamente,Español
En este momento.,Español
Muy pronto.,Español
Llega en 5 minutos.,Español
Espere media hora.,Español
Llega en 1 hora.,Español
"Ya no regresa, está en una diligencia (en un trabajo fuera de la oficina).",Español
"Mi bus sale a las 5 de la tarde, ya no puedo esperar.",Español
Mañana regrese a las 8 de la mañana.,Español
"No puedo ayudarle, señora.",Español
"Disculpe, no le podré ayudar (disculpas formales).",Español
Perdón por llegar tarde.,Español
"Perdóneme, pero no puedo ir ahora.",Español
No puede hablar con él ahora,Español
¡Gracias!,Español
"Muchas gracias, doctor.",Español
Gracias por su ayuda.,Español
No hay de qué.,Español
"Nos vemos mañana, señor.",Español
"Hasta otro día, señora.",Español
"¡Por favor, jefe!",Español
"Muchas gracias, jefe.",Español
"Muchas gracias, jefecito.",Español
Mi nombre es Julio Landa.,Español
Soy el técnico Alberto Vilca.,Español
Soy el Fiscal Provincial de Cusco. Me llamo Luis Castillo.,Español
Soy la doctora Susana Huamán.,Español
¿Quién es usted?,Español
¿Cómo se llama usted?,Español
¿Tiene segundo nombre?,Español
¿Cuál es su apellido paterno?,Español
¿Cuál es su apellido materno?,Español
Yo soy Carlos Paredes Huallanay.,Español
"Mi nombre es María Ludeña Apaza, doctor.",Español
"Señor, ¿cómo se llama?",Español
Mi nombre es Carlos.,Español
"Señora, ¿cómo se llama?",Español
Mi nombre es Ana,Español
¿Tiene segundo nombre?,Español
Mi segundo nombres es Enrique.,Español
¿Cuál es su apellido paterno?,Español
Mi apellido paterno es Paredes.,Español
¿Cuál es su apellido materno?,Español
Es Quillahuamán.,Español
Escriba su nombre en esta hoja.,Español
¿Cómo se escribe Quillahuamán?,Español
¿Cuál es su dirección?,Español
"Calle Los Incas, número 600",Español
¿Y en qué barrio queda?,Español
¿De dónde viene usted?,Español
Vengo de Sicuani.,Español
¿De dónde es usted?,Español
Yo soy de la comunidad campesina Usphabamba,Español
¿Viene de la comunidad?,Español
"Sí, vengo de allí.",Español
"No, vivo aquí.",Español
¿De dónde viene usted?,Español
Vengo de Ocongate,Español
¿Por dónde está Ocongante?,Español
"Por la carretera, a tres horas de aquí.",Español
¿Usted vive en Ocongate?,Español
"De Ocongate, camino 2 horas hasta mi pueblo.",Español
"De Ocongante, voy en un carro a mi pueblo.",Español
¿Dónde vive usted?,Español
Vivo en San Salvador.,Español
¿Cuál es su dirección?,Español
"Centro Poblado Santa Ana, Calle Los Incas, número 600.",Español
¿Por dónde queda esa calle?,Español
La calle está a espalda de la Iglesia,Español
La calle está por el local comunal.,Español
¿Dónde vive usted?,Español
Vivo en San Salvador.,Español
¿En qué calle vive?,Español
Vivo en la calle Los Incas.,Español
¿Qué número?,Español
Vivo en el número 600.,Español
¿En qué manzana vive?,Español
En la manzana C.,Español
Cero,Español
Uno,Español
Dos,Español
Tres,Español
Cuatro,Español
Cinco,Español
Seis,Español
Siete,Español
Ocho,Español
Nueve,Español
Diez,Español
Once,Español
Doce,Español
Trece,Español
Catorce,Español
Quince,Español
Dieciseis,Español
Diecisiete,Español
Dieciocho,Español
Diecinueve,Español
Veinte,Español
Veinte uno,Español
Treinta,Español
Cuarenta,Español
Cincuenta,Español
Sesenta,Español
Setenta,Español
Ochenta,Español
Noventa,Español
Cien,Español
Cientouno,Español
Doscientos,Español
Mil,Español
¿Tiene DNI?,Español
Sí tengo DNI,Español
¿Cuál es el número de DNI?,Español
¿Cuántos años tiene?,Español
Tengo 40 años,Español
¿Tiene DNI?,Español
No tengo DNI.,Español
¿Por qué no tienes?,Español
Se me ha perdido.,Español
Me han robado.,Español
Debe ir a la comisaría a poner la denuncia por el robo del DNI.,Español
Debe ir a Reniec para solicitar un nuevo DNI.,Español
¿Es usted casada?,Español
Soy casada.,Español
¿Hace cuánto tiempo está casada?,Español
Estoy casada hace 20 años.,Español
Me casé en 1986.,Español
Soy soltera.,Español
Soy soltero.,Español
"Vivimos juntos, pero todavía no estamos casados.",Español
¿Usted se ha casado por civil?,Español
¿Usted se ha casado en la municipalidad?,Español
"Sí, me he casado en la municipalidad.",Español
"Sí, me he casado por civil.",Español
