"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"JARY FRANCO",0.0,"Latin / Regional Mexicano","Si quieres cámbiate toda la historia
Quédate con la victoria
Di que fui yo el que fallé

No importa
Si ahora quieres alejarte
Porque yo sé que más tarde
Seguro vas a volver

Primero dices que 
Mis besos ya no te hacen falta
Y luego buscas mi atención
Ponte de acuerdo con tu corazón

Un día me amas 
Y al otro día me odias 
Un día me escribes 
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Un día me amas 
Y al otro día me odias 
Un día me escribes 
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Sales con unas amigas
Les dices que yo te hago daño
Pero a los cinco minutos
Vas y me escribes del baño

Voy a pensar que al final
Puede que seas un poco bipolar
Pero amor no me interesa, no
Porque yo te quiero igual

Así diferente 
Eres la única en mi mente
Con esa malicia y 
A la vez tan inocente

Eres una mezcla de amargo con dulce
De frío y caliente
Y aunque no te tenga
Tampoco quiero perderte

Un día me amas 
Y al otro día me odias 
Un día me escribes 
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Un día me amas 
Y al otro día me odias 
Un día me escribes 
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Si un día me amas
Y al otro me odias
Niña decídete
Si estamos mal o bien
Porque con esto loco me vas a volver
Loco me vas a volver

","MusicMatch",8.0,109,"BIPOLAR"
"CALIBRE 50",0.0,"Latin / Regional Mexicano","Veintiuno tenía Chalito, pariente
Ay, no más pa' que bailen y digan viejo
Compa Macario
Arriba San Gaspar, mi'jo
Ahí nomás y arriba la chavalada, viejo

Veintiuno tenía Chalito
Le tocó la mala suerte
Cuentan que de muchachito
Le encantaba tronar cuetes
Que al poco tiempo no eran de juguete

La capital no dormía
Si andaba el plebe despierto
Fino chanate traía
De Arturo buen elemento
Salió igualito, igualito que el viejo

Al estilo de aquel hombre
Sentado en una hielera
Cuando lo traes en la sangre
¿Cuál es la opción que te queda?
Darle hasta que tope y sea lo que Dios quiera

Claves, radios y frecuencias
Eran parte de mis días
Me atuve a las consecuencias
Sabía dónde me metía
Siento vivir muy recio la vida

La Tierra comió algo bueno
A ver si no le hago daño
La última, yo se las cuento
No respondieron mis brazos
Y caí a la tierra donde al fin descanso

Todo lo que diga, sobra
Al fin ya estoy en la banca
Ojalá sirva mi historia
Y agarre el rollo la raza
No hay nada como la familia y la casa

Clementino
Ya fue famosa, viejo
Fascinada

","MusicMatch",24.0,110,"CHALITO"
"LOS PLEBES DEL RANCHO DE ARIEL CAMACHO",0.0,"Latin / Regional Mexicano","Según tus labios hoy necesitan
De aquellos besos que en el pasado te di
Y no me digas que ahora te asustas
Porque el karma, anda rondando por ahí

¿Verdad que duele?, que te desprecien
Pero es lo mismo que tú me hiciste a mí
Y en el recuento de tanto daño
¿Con qué argumento, yo podría abogar por ti?

Ya llegaste tarde, ya no siento nada
La llama que ardía, se encuentra apagada
Te amé, no lo niego pero es cuento viejo
De ti no quiero nada

Y si ahorita sufres no es mi problema
Yo tengo testigos que te amé a la buena
Si buscas perdón estás perdonada
Pero en los amores estás olvidada

Ya llegaste tarde, ya no siento nada
La llama que ardía, se encuentra apagada
Te amé, no lo niego pero es cuento viejo
De ti no quiero nada

Y si ahorita sufres, no es mi problema
Yo tengo testigos que te amé a la buena
Si buscas perdón, estás perdonada
Pero en los amores, ya estás olvidada

","MusicMatch",24.0,111,"SEGUN TUS LABIOS"
"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY",0.0,"Latin / Regional Mexicano","","MusicMatch",21.0,112,"SI YA NO ME QUIERES"
"LOS ROJOS",0.0,"Latin / Regional Mexicano","","MusicMatch",17.0,113,"RUMBALE"
"LUPILLO FT JENNI RIVERA",0.0,"","¡Ay ay ay, compadre!
Cómo me hubiera gustado que se uniera, carnala
¡Saludcita!

Ahora sí ya estoy solo en el mundo
Solo, solo en el mundo vagando
No me importa si algún día me muero
Nada más que me entierren cantando

He pasado mi vida rodando
He pasado mi vida tomando
Pero juro que de hoy en adelante
Me verán solamente llorando

Un día voy pa' arriba
Y voy entregar lo que un día el señor me prestó
Un día voy pa' arriba
Y nada me importa el día en que muera yo

¡Saludcita!
Al rato la alcanzo carnala
Pa todo
Hermosillo, Sonora sí señor

Y ese día que yo ya me muera
Yo no quiero oírlos llorar
Lo que quiero es que lleven la banda
Para oírlos a todos cantar

Sí es que es cierto que un día me quisieron
Y que salga de su corazón
Quiero oírlos que lloren muy fuerte
Y que entonen esta humilde canción

Un día voy pa' arriba
Y voy entregar lo que un día el señor me prestó
Un día voy pa' arriba
Y nada me importa el día en que muera yo

","MusicMatch",25.0,114,"QUE ME ENTIERREN CANTANDO"
"PESADO",0.0,"Music","Estaba tan seguro
Que mis manos no te iban a extrañar
De que mis ojos no querían volver a verte
De que la vida sin ti me daba igual

Todo iba tan perfecto
Acostumbrándome a estar sin tus caricias
Porque sentía que de ti me había olvidado
Y hoy que te encuentro ha sido todo lo contrario

Porque me sigue calando no mirarte aquí conmigo
Todo lo ganado me lo echaste a perder
Con tan solo verte alborotaste estás ganas de otra vez sentir tu piel
Y es que me sigue calando que no estés aquí conmigo
Porque aquí en mi pecho estacionado está este amor
No pude olvidarte, me lo sigue confirmando este terco corazón

Me sigue calando porque todavía te quiero
Pero tú a mí, ya no

Porque me sigue calando no mirarte aquí conmigo
Todo lo ganado me lo hechaste a perder
Con tan solo verte alborotaste estás ganas de otra vez sentir tu piel
Y es que me sigue calando, que no estés aquí conmigo
Porque aquí en mi pecho estacionado está este amor
No pude olvidarte, me lo sigue confirmando este terco corazón

Me sigue calando por qué todavía te quiero
Pero tú a mí, ya no

","MusicMatch",26.0,115,"ME SIGUE CALANDO"
"PANCHO BARRAZA",0.0,"Latin","¿Que me paso?
Solo voltea a mirar tus ojos nada mas
Quede impactado con tu forma de mirar
Quede echizado con tanta sensualidad
Al verte caminar
Casi muero cuando te acercaste a mi
Me enamoraste con solo sonreir
Gracias a ti, conoci lo bello del amor
En ese instante, todo mi mundo cambio
Y hoy quiero ser feliz
Hoy voy hacer feliz
Contigo
Y sentirte mia una vez
Y sentirme tuyo yo tambien
Y sentir la fuerza del amor
Que nos une a los dos
Sin ningun temor
Y sentirte mia una vez
Y sentirme tuyo yo tambien
Y sentir la fuerza del amor
Que nos une a los dos
Sin ningun temor
Y sentirte mia una vez
Y sentirme tuyo yo tambien
Y sentir la fuerza del amor
Que nos une a los dos
Sin ningun temor

","MusicMatch",19.0,116,"LA FUERZA DEL AMOR"
"LEANDRO RIOS",0.0,"Latin","Qué bien se ve con ese escote
Y su boquita pintada
Le hablo de usted para que él
No sospeche que anoche la tuteaba

Él se ve bien, hace el papel
De un hombre enamorado de una dama
Piensa que a él le da exclusiva
De sus gestos en la cama

No se preocupe
No la conozco
Porque lo nuestro secreto será
Si usted lo pide
Ni nombre tendrá

Finge muy bien
Mis respetos, señora
Le sale bien
Ser la fiel en la historia
Yo la comprendo
Si me ve y de repente
Ya no tiene memoria

Cuando me ve
Es tan fría, señora
Y el fuego es
Cuando estamos a solas
Estoy acostumbrado
A quedarme callado
Y besarle la sombra

No se preocupe
No la conozco
Porque lo nuestro secreto será
Si usted lo pide
Ni nombre tendrá

Y si tú lo quieres, hoy y siempre...
Seré tu mejor secreto
Es ""El Penco"" ya yay

Finge muy bien
Mis respetos, señora
Le sale bien
Ser la fiel en la historia
Yo la comprendo
Si me ve y de repente
Ya no tiene memoria

Cuando me ve
Es tan fría, señora
Y el fuego es
Cuando estamos a solas
Estoy acostumbrado
A quedarme callado
Y besarle la sombra

No se preocupe
No la conozco
Porque lo nuestro secreto será
Si usted lo pide
Ni nombre tendrá

","MusicMatch",17.0,117,"NI NOMBRE TENDRA"
"BANDA TIERRA SAGRADA,ALANN MORA",1.0,"Music","Hice un reencuentro de todos esos recuerdos
Después de haberle dado un beso a quien no está
Y que tal vez no estaría
Si tú me hubieras querido un poco más

No, me fue posible olvidarte
Digamos que a duras penas, solo pude superarte
O lo intente
Más la verdad, sin ti la vida no me sabe

Y el maldito alcohol
Lejos de ser buen ayudante
Me hace ver que destapé la soledad
Tu siempre serás la culpable

Estar pensando en ti
Ya es un efecto irreversible
Que se formó desde que estás con alguien más
Ojalá no fueran felices

Pa' que volvieras junto a mi
Porque de sobra está decirte
Que tú eres lo que más yo quise

Y el maldito alcohol
Lejos de ser buen ayudante
Me hace ver que destapé la soledad
Tu siempre serás la culpable

Estar pensando en ti
Ya es un efecto irreversible
Que se formó desde que estás con alguien más
Ojalá no fueran felices

Pa' que volvieras junto a mi
Porque de sobra está decirte
Que tú eres lo que más yo quise

","MusicMatch",21.0,118,"EFECTO IRREVERSIBLE"
"GABRIEL VIVAL",0.0,"Latin / Regional Mexicano","Pajarillo

El Cartel de Nuevo Leon

Maquillaje a granel usaba a diario
Y vendía su piel a precio caro,
De las ocho a las diez en una esquina
Era joven e infiel, era rosa y espina
Y se llamaba no sé, nunca lo supe,
Nunca le pregunte, nunca dispuse
De su tiempo en su piel era un mocoso
Y tan solo le miré de pozo en pozo

Y era un pajarillo de blancas alas,
De balcón en balcón, de plaza en plaza,
Vendedora de amor, ofrecedora,
Para el mejor postor de su tonada.

Cinco inviernos pasaron y ahí seguía
La misma hora de ayer, la misma esquina,
Era joven y fiel y aún tenia la rosa de su piel
Y más grande la espina.
Y sonreía al pasar de los mirones,
Bajo de aquel farol, noche tras noche,
Veinte veces se la llevaron presa
Y canto su canción tras de las rejas.

Y era un pajarillo de blancas alas,
De balcón en balcón, de plaza en plaza,
Vendedora de amor, ofrecedora,
Para el mejor postor de su tonada.

Se le arrugó la piel,
Y el maquillaje suficiente no fue para taparle
La huella que dejó el sexto invierno,
Se le acabó el color y hasta el aliento,
Y de las ocho a las diez solo en la esquina
Se quedó aquel farol,
Y aquella espina la rosa lo selló ¿donde se iría?
Se llamaba... no sé... y sonreía

Y era un pajarillo de blancas alas,
De balcón en balcón, de plaza en plaza,
Vendedora de amor, ofrecedora,
Para el mejor postor de su tonada.

","MusicMatch",7.0,119,"PAJARILLO"
"BANDA TIERRA SAGRADA",0.0,"Music","Era poca cosa lo que me ofreciste
Es lo mismo si te quedas o te vas
Si teniéndote conmigo estas ausente
Si no estás serás muy fácil de olvidar

No la pienses, si quieres irte, vete
Que yo no me voy a morir
Es más, creo que va a ser mejor
Si dejas disponible una vacante para un nuevo amor

No me fue muy bien contigo
No fuiste lo que yo esperaba
De mí nada te parecía
Y todo te ponía de malas

Aquí el problema fuiste tú
Yo sí le echaba ganas

No me fue muy bien contigo
Qué bueno que quieras marcharte
Por fin nos pusimos de acuerdo
Aquí no habrá segunda parte

Si habías pensado en terminar
¿Por qué no lo dijiste antes?

Y esto es Tierra Sagrada

No me fue muy bien contigo
No fuiste lo que yo esperaba
De mí nada te parecía
Y todo te ponía de malas

Aquí el problema fuiste tú
Yo sí le echaba ganas

No me fue muy bien contigo
Qué bueno que quieras marcharte
Por fin nos pusimos de acuerdo
Aquí no habrá segunda parte

Si habías pensado en terminar
¿Por qué no lo dijiste antes?

","MusicMatch",23.0,120,"NO ME FUE MUY BIEN CONTIGO"
"LEANDRO RIOS,LOS NUEVOS FEDERALES",0.0,"Music","","MusicMatch",10.0,121,"AUNQUE LE BESES LA BOCA"
"CALIBRE 50",0.0,"Latin / Regional Mexicano","Ahora entiendo cuando dicen que los tiempos 
De dios son perfectos 
A pesar que tuve tantas decepciones 
Lo agradezco 

Y hasta siento que debo pedirle 
Perdón al destino 
Lo maldije tantas veces pero ahora 
Todo tiene sentido

Con razón, con razón 
Mi alma siempre estuvo llena de dudas 
Con razón no sentí nunca nada 
Con ninguna 

Con razón, con razón 
Siempre les faltaba algo a los besos 
Ahora sé porque mi corazón 
Nunca estuvo de acuerdo 

Me tenía una sorpresa 
Que hoy me trae de cabeza 
Y mi sorpresa fuiste tú 
Mi amor

Y es Calibre 50 chiquitita

Ha sido un amor conocerte 
Placer de mi vida 
Te prometo que en la cama se hará 
Lo que tú digas

Y hasta siento que debo pedirle 
Perdón al destino 
Lo maldije tantas veces pero ahora 
Todo tiene sentido

Con razón, con razón 
Mi alma siempre estuvo llena de dudas 
Con razón no sentí nunca nada 
Con ninguna 

Con razón, con razón 
Siempre les faltaba algo a los besos 
Ahora sé porque mi corazón 
Nunca estuvo de acuerdo 

Me tenía una sorpresa 
Que hoy me trae de cabeza 
Y mi sorpresa fuiste tú 
Mi amor

Mi sorpresa fuiste tú
Mi amor

","MusicMatch",23.0,122,"MI SORPRESA FUISTE TU"
"BANDA MS,SNOOP DOGG","","","Es que no sabes cuánto duele el amor
No sabes cuánto duele en el corazón
Es que el efecto que causaste en mí
La maldición de extrañarte
La maldición de extrañarte
La maldición de extrañarte

Every time you leave there's only one thing that I know
What's that? Baby, yo te extraño
Maybe that's my culpa, ah
Guilty 'cause I go away a lot
But say you want me to stay
And I won't salir, I'm here
Whenever you say that you need me
Si me necesitas, I'll arrive, believe me
D-O-GG, soy tu perrito yo allá
Even when I get out, I come right back to the yard, ah
Mami, me duele cuando no estás conmigo
Y yo que soy tu hombre, todavía soy amigo
Teddy, yo te amo, that means, ""I love you dearly""
And every time you gone, I'm always gon' want you near me
Snoopie

Es que no sabes cuánto duele el amor
No sabes cuánto duele en el corazón
Es que el efecto que causaste en mí
La maldición de extrañarte
La maldición de extrañarte
La maldición de extrañarte

Qué maldición, even when I'm at home
Only a couple hours before we're back on the road
Nadamos en las aguas de la playa larga
Porque mañana I know you be missin' me when I'm gone
Kissin' me in my sleep, liftin' me in my zone
'Cause you make me better than I can be when I'm alone
Así yo te veo claramente, canto pa la gente
But I always feel you need me when I roam
Speaking of trips, overseas let's do the weekend
Sippin' tequila, queca fría, mentira, se quemó (eh)
Take it off, make it, I wanna see you, love when you nasty
Lovin' your ass up, I'm a dog with a bone, tú sabes

Es que no sabes cuánto duele el amor
No sabes cuánto duele en el corazón
Es que el efecto que causaste en mí
La maldición de extrañarte
La maldición de extrañarte
La maldición de extrañarte

Ven aquí, ay, mami
Holla at me
Ven aquí, ay, mami
Miss me? I miss you
Yo, hold my spot
MS
Rah
¡Snoop Dogg! (uy)
Yeah, adiós (Jajaja)
Amigo (¡wuh!)
Bye, see ya

","Google","",123,"QUE MALDICION"
"LOS DE LA NORIA,CALIBRE 50",0.0,"Latin / Regional Mexicano","¿A las cuántas noches dejo de soñarte?
¿A qué santo se le reza pa' olvidarte?
No es normal y la verdad me estoy hartando
Y es que no es negocio el extrañarte tanto

¿Qué se toma cuando duele hasta la sombra?
Si alguien sabe, por favor, que me responda

¿A los cuántos ya no quiero que te metas en mi vida?
Uno entiende que la guerra la tiene más que perdida
¿Cuántas lágrimas se lloran pa' sacarte de mi mente?
¿Cuándo se supone que me va a caer el veinte?

¿A las cuántas decepciones se hace piedra el corazón?
Y por fin pueda cantarte sin llorar esta canción
Y es que llevo mil intentos y en todos he fracasado
Sacarte de mi pecho, vieras cuánto me ha costado

Ya borré todas tus fotos, todas las conversaciones
Y al parecer tu recuerdo, no lo borro ni con mil
Aguardientes que me tomé

Es Calibre 50, chiquitita
Somos Los De La Noria, mi'ja

¿A los cuántos ya no quiero que te metas en mi vida?
Uno entiende que la guerra la tiene más que perdida
¿Cuántas lágrimas se lloran pa' sacarte de mi mente?
¿Cuándo se supone que me va a caer el veinte?

¿A las cuántas decepciones se hace piedra el corazón?
Y por fin pueda cantarte sin llorar esta canción
Y es que llevo mil intentos y en todos he fracasado
Sacarte de mi pecho, vieras cuánto me ha costado

Ya borré todas tus fotos, todas las conversaciones
Y al parecer tu recuerdo, no lo borro ni con mil
Aguardientes que me tomé

","MusicMatch",29.0,124,"A LAS CUANTAS DECEPCIONES"
"LEANDRO RIOS,MORENITO DE FUEGO",0.0,"Music","Hasta el momento hemos formado un buen lazo
Una amistad con sus respectivas riendas
Pero antes de dar el siguiente paso
Tengo que decir algo, espero no te ofendas

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho que se besan en la boca
Que viven sin compromiso

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho, seremos un secreto
Yo el tuyo y tú el mío

No quiero que seamos novios, mejor seamos amigos
Obviamente con derecho, disculpa casi lo olvido
No hagas caso a tus amigas, no estoy jugando contigo
Pero para que juntar corazones, mejor juntemos ombligos

Así no gastamos en cine, ni cenas, ni cumpleaños
Nos ahorramos las peleas, discusiones y regaños
Y si un día nos cansamos pues cada quien por su lado
Y no nos preocupamos de quien salió más dañado

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho que se besan la boca
Que viven sin compromiso

Si tú me gustas y yo te gusto
Para que nos complicamos si así estamos tan a gusto
Sin etiquetas ni obligaciones
Hacer lo que queramos sin explicaciones

Por favor no me lo tomes a mal
Pero para que arruinamos la amistad
Si la pasamos tan bien en la intimidad
Yo no busco compromisos, yo ni me quiero casar

Te cambio el anillo, el destino y los pajes
Por unos besillos, unas caricias y un faje
Y pa' que no haya fallas prefiero hablarte de frente
Y si no ahí la dejamos, tan amigos como siempre

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho que se besan la boca
Que viven sin compromiso

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho, seremos un secreto
Yo el tuyo y tú el mío

Y si un día cambias de opinión
Y te ofrecen algo que yo no puedo
La verdad lo disfruté mientras duró
Y en tu cama quedará, mi recuerdo

","MusicMatch",19.0,125,"AMIGOS CON DERECHO"
"ALEJANDRO FERNANDEZ",0.0,"","Yo también sé jugar
Y me hubiera divertido
Es mejor que llorar
Y sentirme malherido

Sí me dolió tu adiós
¿Para qué voy a negarlo?
Pero fue lo mejor
Viví un infierno a tu lado

Llorar, llorar por ti fue lo peor que pude hacer
Tal vez mi error más grande fue lo mucho que te amé
Y hoy te pido disculpas si un día dije que jamás
Podría olvidarte, que siempre te iba a amar

Te olvidé
Y me bastaron unos tragos de tequila
Acá entre nos
Jamás creí ni una de tus mentiras
Te olvidé
Y la verdad, más fácil de lo que esperaba
Me dolió
Pero no me morí como pensabas
Sacaste el cobre justo al tiempo que 
Yo de ti me enamoraba

Llorar, llorar por ti fue lo peor que pude hacer
Tal vez mi error más grande fue lo mucho que te amé
Y hoy te pido disculpas si un día dije que jamás
Podría olvidarte, que siempre te iba a amar

Te olvidé
Y me bastaron unos tragos de tequila
Acá entre nos
Jamás creí ni una de tus mentiras
Te olvidé
Y la verdad, más fácil de lo que esperaba
Me dolió
Pero no me morí como pensabas
Sacaste el cobre justo al tiempo que 
Yo de ti
Yo de ti me enamoraba

","MusicMatch",24.0,126,"TE OLVIDE"
"BETO ZAPATA",0.0,"","Tengo canas en el pelo
Pero ganas en el alma
Y como el ave fénix
La ceniza del amor se me ha vuelto una llama

Los años en mi piel
Pueden ser un buen abrigo
Te cambio mi experiencia por el dulce de tus besos
Mis cuarenta y tus veintiuno

Tengo roto el corazón pero me queda la mitad
No creí enamorarme,
Mucho menos a mi edad
Caíste como el sol cuando ya me atardecia

Desde que me vi en tus ojos no te dejo de pensar
Has vuelto un principiante a este lobo de mar
Eres esa rosa justo al borde de mi herida
Y te amo aunque te lleve media vida

Los años en mi piel
Pueden ser un buen abrigo
Te cambio mi experiencia por el dulce de tus besos
Mis cuarenta y tus veintiuno

Tengo roto el corazón pero me queda la mitad
No creí enamorarme
Mucho menos a mi edad
Caíste como el sol cuando ya me atardecia

Desde que me vi en tus ojos no te dejo de pensar
Has vuelto un principiante a este lobo de mar
Eres esa rosa justo al borde de mi herida
Y te amo aunque te lleve media vida

Desde que me vi en tus ojos no te dejo de pensar
Has vuelto un principiante a este lobo de mar
Eres esa rosa justo al borde de mi herida
Y te amo aunque te lleve media vida

","MusicMatch",9.0,127,"40 Y 21"
"CHAYIN RUBIO,CRISTIAN JACOBO,NETO BERNAL,CHEYO CARRILLO",0.0,"Latin / Regional Mexicano","","MusicMatch",18.0,128,"¿COMO TE ATREVES?"
"BETO ZAPATA",0.0,"","Yo no sé quien pierde más
Aquí en está despedida
Mi camino es de subida
Pero el tuyo es hacia atrás

Sé de alguien que te habló
Y que te ofreció mil cosas
Te dijo cosas hermosas
Y unas rosas te mandó

Yo no te voy a detener
Ese fue un trato entre los dos
Si yo no te hacía feliz, dirías adiós
Si yo no te hacía feliz, dirías adiós

Pero te vas a arrepentir 
Cuando veas que no es nada
Su riqueza comparada
Con lo que a ti te di

Verás que la felicidad
No se compra con dinero
Más vale un amor sincero
Que vivir en soledad

Yo no te voy a detener 
Ese fue un trato entre los dos
Si yo no te hacia feliz, dirías adiós
Si yo no te hacia feliz, dirías adiós

Pero te vas a arrepentir
Cuando veas que no es nada
Su riqueza comparada 
Con lo que a ti te di

Verás que la felicidad
No se compra con dinero
Más vale un amor sincero
Que vivir en soledad

Pero te vas a arrepentir
Cuando veas que no es nada
Su riqueza comparada 
Con lo que a ti te di
Verás que la felicidad
No se compra con dinero
Más vale un amor sincero
Que vivir en soledad
Pero te vas a arrepentir

","MusicMatch",6.0,129,"PERO TE VAS A ARREPENTIR"
"LUPILLO RIVERA",0.0,"","Me queda claro que lo quieres
Pero piénsalo muy bien

De plano no te has dado cuentas
Que no es como tú crees
Que no es lo que tú ves

Tus besos no se los merece
Y no lo quieres entender

Y tú, tú te miras tan contenta de su mano
Y en su rostro se ve todo lo contrario
Te aseguro que te va hacer mucho daño

Y yo, te confieso que me muero de la ira
Si estuviera en su lugar te cuidaría
Pero se acabó mi suerte en esta vida
Y no es por presumido
Pero te veías mejor cuando eras mía

Y tú, tú te miras tan contenta de su mano
Y en su rostro se ve todo lo contrario
Te aseguro que te va hacer mucho daño
Y yo, te confieso que me muero de la ira
Si estuviera en su lugar te cuidaría
Pero se acabó mi suerte en esta vida
Y no es por presumido
Pero te veías mejor cuando eras mía

","MusicMatch",19.0,130,"CUANDO ERAS MIA"
"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ADAN CONTERO",0.0,"Music","Entre mexicanos nos tiramos paro, oiga
Y entre todos
Jalamos
¿Apoco no?
Esto es Edwin Luna
¡Que Viva México!
Adán Contero

Siempre positivo
Yo así me la vivo
Con altas y bajas, con buenas y malas
Pero sigo en el camino

No me la complico
Yo sigo sonriendo
Vámonos derecho
Al toro siempre hay que agarrarlo por los cuernos

El que pega, paga y nadie se salva
Al final la que te cobra es la vida
Pone cuentas y muy caras
Justo así trabaja el karma

A la vida le aprendí
No confiar a la primera
Muchas veces te apuñalan del que menos te lo esperas
A la vida le aprendí
Que si hablan a tus espaldas (que si hablan a tus espaldas)
Es porque el perro no muerde, pero por la envidia ladra

A la vida le aprendí 
Que al mal tiempo, buena cara

Ayo
Dímelo Edwin
Aquí estamos, seguimos firmes

Medio mundo recorrí
Pasando por altas y bajas
Y a la mala yo aprendí
Que no pude esquivar las balas
La familia no siempre es de sangre
Te haces rico cuando pasas hambre

Seguiré siempre positivo
Yo así me la vivo
Con altas y bajas, con buenas y malas
Pero sigo en el camino

No me la complico
Yo sigo sonriendo
Vámonos derecho
Al toro siempre hay que agarrarlo por los cuernos (ole)

El que pega, paga y nadie se salva
Al final la que te cobra es la vida
Pone cuentas y muy caras
Justo así trabaja el karma

A la vida le aprendí
No confiar a la primera
Muchas veces te apuñalan del que menos te lo esperas
A la vida le aprendí
Que si hablan a tus espaldas (que si hablan a tus espaldas)
Es porque el perro no muerde, pero por la envidia ladra

A la vida le aprendí 
Que al mal tiempo buena cara

Compa Edwin Luna
Siempre representando a nuestra gente, ay ay ay

","MusicMatch",21.0,131,"A LA VIDA LE APRENDI"
"DUELO",0.0,"","Si volviste a mi
Es para cederme tu tiempo completo
Eres bienvenida con la condición
De quedarte sin miedos

Si volviste a mi
Es porque perdonas que no soy perfecto
Es inaceptable que no reconozcas
Que yo soy tu dueño

Si volviste a mi
Esta vez me entregas el alma desnuda
Ya no puede ser que me brindes tu cuerpo
Y me dejes fuera de tu corazón

Si volviste a mi
Es porque te encanta saber que me muero
Cuando te despides de mi con un beso
Y vuelvo a rogarte no te vayas hoy

Si volviste a mi
Es porque perdonas que no soy perfecto
Es inaceptable que no reconozcas
Que yo soy tu dueño

Si volviste a mi
Esta vez me entregas el alma desnuda
Ya no puede ser que me brindes tu cuerpo
Y me dejes fuera de tu corazón

Si volviste a mi
Es porque te encanta saber que me muero
Cuando te despides de mi con un beso
Y vuelvo a rogarte no te vayas hoy

","MusicMatch",21.0,132,"SI VOLVISTE A MI"
"LOS CALIZ",0.0,"","Sigo donde mismo
Y no me deja en paz la duda si eras para mí
Parece que no te hago falta y ahora eres más feliz
Se nota que hice lo correcto al dejarte ir

Ya sé que no está bien seguir pensando en ti
Y que me hace mal saber que te perdí
Que ya no hay vuelta de hoja, y lo que más me enoja
Es que haga lo que haga por volver
A ti ya no te importa

Pero me prometí a no volverte a buscar
Estoy sacando fuerzas de no sé dónde
Y me siento triste aunque no se note
Y tengo que apretar los ojos para no llorar

Y me desespera no poderte olvidar
El tiempo es el remedio que lo cura todo
Tú me ves sonriendo en todas las fotos
Pero nada es verdad
Si es una pesadilla, quiero despertar

Pero me prometí a no volverte a buscar
Estoy sacando fuerzas de no sé dónde
Y me siento triste aunque no se note
Y tengo que apretar los ojos para no llorar

Y me desespera no poderte olvidar
El tiempo es el remedio que lo cura todo
Tú me ves sonriendo en todas las fotos
Pero nada es verdad
Si es una pesadilla, quiero despertar

","MusicMatch",14.0,133,"ME PROMETI"
"LOS ANGELES AZULES,BELINDA",0.0,"","Uh, uh uh uh uh uh
Uh uh uh uh uh
Uh uh uh uh uh, uh uh
Uh, uh uh uh uh uh
Uh uh uh uh uh
Uh uh uh uh uh, uh uh

Te vi pasar 
Con tu carita de ángel y ojos de rubí
Sonrisa bien brillante, te seguí, no sé
Mi instinto me llevaba hacia a ti

Llegué al bar 
Pedí un fuerte tequila para comenzar
Te vi con tus amigas, me acerqué 
Con el pretexto de invitarte a bailar

La rola que sonaba incitaba a gozar
Cuerpo a cuerpo, tú y yo, pegaditos los dos
Te dije al oído ""me gustas y quiero
Que vengas conmigo esta noche""

Y tomar junto a ti el café de las mañanas
Despertarte a besos, complaciéndote en mi cama
Y mirar tu cara, tu carita sonriente
Que sepa la gente que te quiero y que me quieres
Sin pensar en el pasado ni el presente
No me importa, amor, saber de dónde vienes
Si soy el primero o el último en tu lista
Yo sé bien que es amor a primera vista

Uh, uh uh uh uh uh
Uh uh uh uh uh
Uh uh uh uh uh, uh uh

Me voy por hoy 
Pero quizá mañana volveré 
Y ojalá que nos volvamos a ver 
Porque contigo la he pasado muy bien

Por más que yo quería, no me atreví a decir
No te vayas, por Dios, quédate por favor
Te dije al oído ""me gustas y quiero
Que duermas conmigo otra noche""

Y tomar junto a ti el café de las mañanas
Despertarte a besos, complaciéndote en mi cama
Y mirar tu cara, tu carita sonriente
Que sepa la gente que te quiero y que me quieres
Sin pensar en el pasado ni el presente
No me importa, amor, saber de dónde vienes
Si soy el primero o el último en tu lista
Yo sé bien que es amor a primera vista

He pasado enviciado, girl
Rico fue volverte a ver
Pero más me pasa a mí
Vi tu foto en internet
Todo, todo, en verdad que tú lo tienes todo
Fashion y un rebelde con la moda
Quizá fue el destino
Te quiero volver a ver
Todo mi camino
Como que el atardecer
Suele suceder
La aburrición nunca vuelve

Sin pensar en el pasado ni el presente
No me importa amor saber de dónde vienes
Si soy la primera o el última en tu lista
Yo sé bien que es amor a primera vista

Uh, uh uh uh uh uh
Uh uh uh uh uh
Uh uh uh uh uh, uh uh
Uh, uh uh uh uh uh (amor, amor, amor, amor, amor, amor)
Uh uh uh uh uh (amor, amor, amor)
Uh uh uh uh uh, uh uh (a primera vista)

","MusicMatch",78.0,134,"AMOR A PRIMERA VISTA"
