N°,artists,explicit,genre,lyric,musixmatch_rating,rank,title,Violencia verbal,Violencia Física,Violencia Psicológica,Violencia Sexual,VIolencia Económica,Violencia Simbólica,Apto para niñxs,clase,Observacion
97,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,0.0,,"No se me ha olvidado
Cuando dijo aquella vez que no quería
Quedarse a formar parte de mi vida
Y que ya no sentía nada por mí

Ni me lo esperaba
Creí que la tenia enamorada
Conmigo ya no mas no se miraba
Había otro en su corazón

En un día como hoy
...


 ",25.0,49,EN UN DIA COMO HOY,0,0,0,0,0,0,0,0,
98,LA ARROLLADORA BANDA EL LIMÓN,0.0,Latin / Regional Mexicano,"Ahora que me acuerdo te olvidé
¿A qué sabrán tus besos? Me pregunto
Era cuestión de tiempo al parecer
No sabes cuanto lloré
Pensé que era el fin del mundo

Pero al final del día lo logré
Tus huellas por fin desaparecieron
Tu nombre ya no sé ni como es
Tu apellido es no sé qué
Creo que lo escribí en el hielo

...


 ",33.0,50,AHORA QUE ME ACUERDO,0,0,0,0,0,0,0,0,
99,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,0.0,Latin / Regional Mexicano,"Nadie como tú me puede hacer tan feliz
Contigo tengo todo, ya que más puedo pedir
Que bueno fue encontrarte en mi camino
Y ahora sin tu amor no me imagino

Nadie como tú para mis labios besar
Aunque algunas veces no seas fácil de tratar
Te quiero con defectos y virtudes
Así lo he decidido aunque lo dudes

Te quiero así, con todo incluido
Tus celos, tus genes, tu cuerpo encendido
Las bromas que me haces, tus besos fugaces
Me encanta la vida contigo
...


 ",22.0,51,CON TODO INCLUIDO,0,0,0,0,0,0,0,0,
100,BANDA CARNAVAL,0.0,,"Hasta acá siento sus besos
Sé que está pensando en mí
Porque me extraña igual que yo

Y se asoma a la ventana
Espera verme regresar
Aunque ella sabe bien que no

Y se la vive esperando una llamada
Nomás para saber que el hijo
No anda mal

Con eso tiene
Pa' ponerse una sonrisa en su cara
Con eso tiene para poder descansar

...


 ",26.0,52,SUEÑA,0,0,0,0,0,0,0,0,
101,EL BEBETO,0.0,,"Ni todo el amor
Ni todos los besos fueron suficientes pa' que te quedaras
Me jugaste chueco, bien me lo dijeron que en ti no confiara
Me fui sin cuidado con la guardia baja, nada me importaba

Espero el amor
Te cobre una a una, las cuentas pendientes, te pase factura
Porque las heridas que tú me dejaste aún no se me curan
Y me gustaría que también te pase cuando te enamores, que te hagan sufrir

Que te duela más que a mí
...


 ",23.0,53,QUE TE DUELA MAS QUE A MI,0,0,0,0,0,0,0,0,
102,JORGE MEDINA,0.0,Latin / Regional Mexicano,"￼￼
Sabes
Te cité porque hoy vamos a cortar
Sé muy bien que desencaja con tu plan
Que existe él
¿Para cuándo me lo pensabas contar?

Sabes
Significabas todo, todo para mí
Te lo juro que esperaba más de ti
Pero ni hablar
Yo ya no tengo nada más que hacer aquí

¿Así o más claro?
Ya me di cuenta que a mí, tú no me quieres
...


 ",18.0,54,ASI O MAS CLARO,0,0,0,0,0,0,0,0,
103,LA ARROLLADORA BANDA EL LIMÓN,0.0,Latin / Regional Mexicano,"Él se cree y se jura
Que todavía figura
Que yo soy el que sueñas
Haciéndote travesuras

Sin descansar nos comemos
En los lugares de siempre
Él debería saberlo

Dile que eres mía desde siempre
Dile que te llevo a las alturas
Dile que nunca vamos despacio
Cuando yo me pego a tu cintura, sí

Dile que eres mía desde siempre
Dile que te llevo a las alturas
Dile que nunca vamos despacio
Cuando yo me pego a tu cintura, sí

Así, porque cuando nos besamos así
Se me para el tiempo
Me tienes viviendo en un cuento
Yo soy el que te hace sentir
Él ya no es tu dueño
Deja que se muera de celos

Dile que me tienes amarrado
Dile haber si puede superarlo
...


 ",32.0,55,MIA DESDE SIEMPRE,0,0,0,0,0,0,0,0,
104,"BANDA EL RECODO, DAVID BISBAL",0.0,,"Tengo tantas cosas que decirte amor
Todo lo que tú me has dado es lo que yo había soñado
Eres todo para mi, o si todo te lo debo a ti
Eres la razón de mi existir
Siempre buscas mas detalles que me hagan feliz
Detalles que llenan de amor para mi

...


 ",24.0,56,GRACIAS POR TU AMOR,0,0,0,0,0,0,0,0,
105,BANDA LOS RECODITOS,0.0,Latin / Regional Mexicano,"Volteo y miro al cielo, empiezo a contar las estrellas
El asombro me invade porque no tiene final
Así quedo asombrado cuando hablo de tu belleza
Es tanta tu hermosura que hasta el aire se me va

Estoy enamorado de tus ojos tan bonitos
De esa linda sonrisa que no puedo comparar
Tu forma de decirme ""mi vida, te necesito""
Quiero que estés conmigo toda una eternidad

Es que eres tan perfecta
Que no encuentro la forma correcta de hacerte saber
Que no ocupas la mejor figura para verte bien
Amo tu forma de ser
...


 ",22.0,57,PERFECTA,0,0,0,0,0,0,0,0,
106,PANCHO BARRAZA,,Latin,,21.0,58,UN SUEÑO,0,0,0,0,0,0,0,0,
107,LOS HIJOS DE BARRON,0.0,,"A lo mejor no me explique
Aquella noche cuando un beso te robé
Has de pensar que te mentí
Pero te dije que yo no soy para ti

Y nos pasó lo que tenía que pasar
Si para ti fue diferente
Para mí fue algo normal

Para no quedarte mal
Desde hoy te digo no me quiero enamorar
Ser de una sola, la verdad, no se me da
Y ni un ""te quiero"" de mí lo vas a escuchar
...


 ",19.0,59,PARA NO QUEDARTE MAL,0,0,0,0,0,0,0,0,
108,BANDA MS,,,,,60,MEJOR ME ALEJO,0,0,0,0,0,0,0,0,
109,ALFREDO OLIVAS,0.0,World,"Y que la pena no te embargue, lo digo de corazón
Que de nostalgia, no te embriagues cuando veas aquel sillón
Ay, que los besos que te falten los encuentres siempre en él
Porque aún te quiero, te repito, no veas el sillón aquel

Porque ahí me vas a encontrar
Y te pueden traicionar
Tus arranques de mujer
Y es que es lo más natural

...


 ",28.0,61,EL SILLON,0,0,0,0,0,0,0,0,
110,BANDA LOS RECODITOS,0.0,Latin / Regional Mexicano,"Si tu plan era perderme
Te felicito lo has logrado
Porque ya no vas a verme
A eso de extrañarme mejor vete acostumbrando

No la vas a tener fácil
Aunque disfraces tu tristeza
Tu corazón es tan frágil
Te doy unos días pa' que me pidas que vuelva

Te darán ganas de verme
Buscarás cualquier pretexto
Te va a pasa por la mente
Cuando te comía a besos

Y tu piel va a pedir más
Pero ya estaré muy lejos
Cuando quieras regresar
Ya no va a ser tu momento

...


 ",27.0,62,TE DARÁN GANAS DE VERME,0,0,0,0,0,0,0,0,
111,LA ARROLLADORA BANDA EL LIMÓN,,,,,63,CEDI,0,0,0,0,0,0,0,0,
112,EL BEBETO,0.0,,"Estuve con otra queriendo olvidarte
Y me fue imposible de mi mente arrancarte
Era tan hermosa, perfecta, buena amante
Que no dudé un minuto con ella enredarme

Era obsesionante
Ver su cuerpo sobre el mío
Respirando el mismo aire
Que no llenaba este vacío sin final

Te quise olvidar, tus besos borrar
Estuve con otra y me quedó la soledad
Y yo la hice mía, en ella te veía
Qué absurdo, qué tonto pensar
...


 ",26.0,64,TE QUISE OLVIDAR,0,0,0,0,0,0,0,0,
113,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,0.0,Music,"Qué bonita te miras
Te lo juro, me encantas más al natural
Sin pintarte la cara
Me gusta ver cómo respiras, con los ojos cerrados, en pijama

Y me pongo a pensar que Dios me consintió
Esta paz que me das, nadie más me la dio
Y quisiera comerte a besos
Pero, no quiero despertarte

Ya quiero verte sonreír y que me abraces a morir
Mientras me das los buenos días
Pero me gusta contemplarte así
Así, dormida
...


 ",28.0,65,DORMIDA,0,0,0,0,0,0,0,0,
114,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,0.0,,"Todas esas madrugadas
Regaladas
Para mí lo fuiste todo, muy ansioso
Yo esperaba que llegarás

Por mi mente no pasaba
De que un día
Me dijeras en la cara que todo fue una mentira
Que tenías doble vida

...


 ",24.0,66,MI SOLEDAD,0,0,0,0,0,0,0,0,
115,LOS ROJOS,0.0,,"Voy a darle gusto al gusto mientras pueda
Pues a eso vine al mundo y lo haré hasta que me muera
Yo disfruto lo que tengo, siempre y a cada momento
La vida ha sido mi escuela

He aprendido, si me caigo, a levantarme
Que el camino, aunque difícil, siempre puede caminarse
O construyes tu destino para salir adelante
O para morirte de hambre

Rico o pobre lo que tengo es por mi esfuerzo
Con dinero y sin dinero, vivo y ando bien contento
...


 ",17.0,67,EL ALUMNO,0,0,0,0,0,0,0,0,
116,ALFREDO OLIVAS,0.0,,"Volverá a sonar en mi móvil la alarma
Volverá el rastrillo a irritarme la barba
Volverá el sacerdote Víctor a oficiar su misa
Volverá a quemar la plancha mi camisa
Pero tú y yo no, pero nosotros no

Volverá el esmog a adueñarse del cielo
Volverá en el polo a desprenderse el hielo
Volverá el tráfico, otra vez, a ponerme de malas
El godín de nuevo a vestirse de gala
Pero tú y yo no, pero nosotros no

Volverá el amor a ponerse de moda
...


 ",30.0,68,VOLVERA,0,0,0,0,0,0,0,0,
117,LOS ROJOS,0.0,,"Fuimos lo que todos
Quisieran llegar a ser
Y aunque duela reconocer
Ha pasado a la historia

Siempre me preguntan
Que fue lo que nos pasó
Si miraban muy bien los dos
Me lo dicen seguido

Porque se acuerdan que fuimos
Fuego que alumbraba todas horas
Siempre estuvimos juntos
Como espuma entre las olas

Y hoy necesito mirarte amor de nuevo
...


 ",16.0,69,FUIMOS,0,0,0,0,0,0,0,0,
118,LA ARROLLADORA BANDA EL LIMÓN,0.0,,"Igual, yo no mandé los chocolates
Ese día de tu cumpleaños
Igual, ya no me extrañas como antes
Y te vale si te llamo
Quizá me estoy muriendo por besarte
Pero no quiero aceptarlo
Me importa mucho más que un cacahuate
Lo que tú pienses de mí

Igual, y ya no sientes mariposas
Cuando miras mis mensajes
Tal vez, te traicionaron las hormonas
Cuando te fuiste de viaje
¿Qué tal si nos tomamos unas copas
Para ver cómo quedamos?
Igual, no está tan mal vernos a solas
...


 ",30.0,70,IGUAL,0,0,0,0,0,0,0,0,
119,ALFREDO OLIVAS,0.0,Latin / Regional Mexicano,"A estas horas de la noche
Cuando todo es tan incierto
Pareciera que viene el sol
Pero el grillo
Aún sigue su concierto

Y es que debería estar dormido
Pero por algún motivo
Aún sigo despierto

A estas horas de la noche
O más bien dicho madrugada
No dejo de pensar en ti
Tu recuerdo me llega de la nada

Y me pregunto si ahora duermes
O si de diez a las nueve
También hablas con la almohada

...


 ",26.0,71,A ESTAS HORAS,0,0,0,0,0,0,0,0,
120,EL FANTASMA,1.0,Music,"Continuamos con un corridazo que se llama 'En el camino'
Márquele, compa Dalecio

En el camino me encontré
Aquel cabrón que me ignoró
Platicándole a la gente
Cómo me conoció

Cuando niño por jodido
Me negaron un favor
Y ahora me solicitan
Como invitado de honor

Una cosa es ser buenazo
Y otra es ser un pendejo
Por eso es corta la lista
Cual yo navego

De las falsas amistades
Como rayo, yo me alejo
No me gustan falsedades
...


 ",22.0,72,EN EL CAMINO,0,0,0,0,0,0,0,0,
121,FIDEL RUEDA,0.0,Latin / Regional Mexicano,"Es mejor bajar la guardia
Al mentado cuento de hadas
Ya no le encuentro sentido
Te la llevas amargada
Te gusta pelear por nada
Y conseguiste tu objetivo

De plano no te soporto
Y no digas que te importo
Porque ya no me la trago
Aquí se termina todo
Y es que es mejor estar solo
Que estar mal acompañado
Ya fue mucho el alboroto
No quiero volverme loco
Ya mejor ahí la dejamos

...


 ",22.0,73,CADA QUIEN POR DONDE VINO,0,0,0,0,0,0,0,0,
122,BANDA CARNAVAL,0.0,Latin / Regional Mexicano,"Sé que duele, mi amor
Créeme que a mí también
Sé que vas a llorar, te sentirás morir
Pero vas a estar bien

No me digas que no
No te aferres a mí
El tiempo va a pasar y yo solo seré
Una fea cicatriz

Un día te voy a ver
Tal como lo planié
Te voy a ver feliz

...


 ",20.0,74,VAS A ESTAR BIEN,0,0,0,0,0,0,0,0,
123,LA ARROLLADORA BANDA EL LIMÓN FT. ESPINOZA PAZ,0.0,,"Tomé la decisión de desaparecer, lo siento pero no me volverás a ver
No quiero interferir más en tu compromiso, sólo quieres vengarte de lo que te hizo
Te estoy ayudando
Andando, andando

No digas que mañana van a terminar, eso vienes diciendo hace un par de semanas
Yo no quiero seguir en medio de los dos, que tal que nunca llega ese mentado adiós
Te voy a ir dejando
...


 ",24.0,75,TIENE RAZÓN LA LÓGICA,0,0,0,0,0,0,0,0,
124,JOAN SEBASTIAN,0.0,,"Tengo miedo
Con los años creo que me volví cobarde
Tengo miedo
Es que la última herida aún me arde

Yo, de niño, me enfrentaba a cualquier monstruo
A la vida y sus peligros sin temor
Sin embargo, ya cambié, lo reconozco
Hoy le temo hasta a la sombra del dolor

Hoy tengo miedo
Este toro ya no se crece al castigo
Tengo miedo
...


 ",31.0,76,HOY TENGO MIEDO,0,0,0,0,0,0,0,0,
125,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,0.0,Latin,"Es muy irresponsable
Lo que estás haciendo
O es que no te das cuenta
De lo que está sucediendo

Te estás metiendo en serio
Muy dentro de mi mente
Se nubla mi criterio
Cuando nos vemos de frente

Y no puedo pensar con claridad
Te siento y solo me dejo llevar
Te tomo entre mis brazos, solo te quiero besar
Y para ser honestos, debo de confesar

Que ha sido tu boca la que me provoca
La que ha puesto todo mi mundo al revés
Que han sido tus labios de color de rosa
Los que me marcaron tu amor en la piel
...


 ",27.0,77,ES MUY IRRESPONSABLE,0,0,0,0,0,0,0,0,
126,BANDA LOS SEBASTIANES,0.0,Latin / Regional Mexicano,"Mi meta contigo es ser mejor persona
Reírnos de todo, hacernos mil bromas
Mi meta contigo es comprarte un anillo
Para nuestra boda

Mi meta contigo es mirar adelante
Y nuestro amor sea lo más importante
Mi meta contigo es ser más que tu amigo
Y en todo apoyarte

Mi meta contigo es viajar y viajar
Conocer los lugares que te gustan más
Mi meta contigo es huir del peligro
De todo lo que nos pueda separar
...


 ",20.0,78,MI META CONTIGO,0,0,0,0,0,0,0,0,
127,JARY FRANCO,0.0,,"Estoy confundido, tu reacción me ha sorprendido
Me dices que prefieres dejar todo en el olvido
Tengo pesadillas desde que no estás conmigo
Me hace falta tu alegría, sin tu amor ya no sonrío

¿Qué te pasó
¿Cuándo cambió esa manera de mirarme?
¿Qué te pasó?
Dime, ¿por qué, no te costó nada olvidarme?

En cambio a mí
Me dueles cada día un poco más
Mi corazón se quedó a la mitad
No me enseñaste cómo estar sin ti

Dime, ¿Cuánto tiempo tengo que esperar?

Para olvidarte ya no sé qué hacer
...


 ",18.0,79,NO ME ENSEÑASTE,0,0,0,0,0,0,0,0,
128,SOMOS 3 FT. JULION ALVAREZ,0.0,Pop,"Soñé que me besas en la frente
Que todo el panorama era diferente
Que juntos caminábamos por el parque
Te detenía un instante
Y no dejabas de abrazarme

Soñé que despertabas a mi lado
Observando tu cabello y tus ojos claros
Que esta pesadilla no había pasado
Y que el vacío en mi interior
Ya se había marchado

Luego desperté
Me di cuenta que todo esto yo lo imaginé
...


 ",6.0,80,SOÑE,0,0,0,0,0,0,0,0,
129,JARY FRANCO,1.0,,"Dicen que te han visto enamorada
Que hoy te ves hermosa y muy feliz
Que en tu vida ya no falta nada
Y el amor te ha vuelto a sonreír...

Dicen que de mí te has olvidado
Que por ser idiota te perdí
Ojalá que estén equivocados
Pero sé muy bien que no es así

No te miento
Siento envidia de ese que besa tu cuerpo
Cada noche me traiciona el pensamiento
Me torturo imaginándote con él...

...


 ",11.0,81,NO TE MIENTO,0,0,0,0,0,0,0,0,
130,LOS HIJOS DE BARRON,1.0,,"Ay amor, como duele quererte
Ya me hiciste que viera mi suerte
Esta suerte que me dió la espalda

Me encontré con mi arrepentimiento
Y quisiera que en este momento
Se saciara mi cuerpo de ti

Ay amor, como extraño tus besos
Soy cabrón pero no soy de acero
Soy cobarde aunque no tenga miedo

...


 ",18.0,82,MI ARREPENTIMIENTO,0,0,0,0,0,0,0,0,
131,BANDA MS,0.0,,"No, elegí conocerte
Fue cuestión de mala suerte,
Fue una mala decisión
Por primera vez ella tenía razón.

No elegí amarte tanto
Pero me gano tu encanto
Fue automático este amor
Que se convirtió en un gran error.

La persona más bonita,
La más me hizo llorar
La que cuando me besaba
Yo olvidaba que quería terminar.

...


 ",8.0,84,NO ELEGÍ CONOCERTE,0,0,0,0,0,0,0,0,
132,BANDA LA EJECUTIVA,1.0,,"Contesta el celular
Dile que estás conmigo
Porque sale que no lo amas
Que ahora yo seré tu dueño, porque él te ha perdido

Dile que fue un idiota al descuidarte, no te valoró todo este tiempo
Dile que te dejó con ganas de amor, caricias y besos

Dile que ahora yo te hago tocar la luna
Que solo entre mis brazos pierdes la cordura
Dile que nos amamos y el deseo se hace cada vez más fuerte
...


 ",11.0,85,DILE,0,0,0,0,0,0,0,0,
133,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,0.0,Latin,"Le puse una trampa al corazón
Para matar de golpe mi tristeza
Le hice el amor a otra mujer
Y me salió muy mala esa experiencia

En cuanto la besé, llegaste tú
Como un fantasma, entraste en mi cabeza
Ni la obscuridad me ayudó
Se encendió, en mis ojos, tu ausencia
...


 ",26.0,86,TU NOMBRE,0,0,0,0,0,0,0,0,
134,BANDA LOS SEBASTIANES,0.0,Latin / Regional Mexicano,"Ya lo hemos hablado
Si sabes que puedo caer
¿Por qué mi sigues buscando?
No me hagas fallar

No quiero perder lo permanente
Por algo que sólo es temporal
No causes disturbios en mi mente
Que no quiero hacer las cosas mal

No me mires así
Porque me conozco muy bien
Se me va a salir de control
Volveré a serle infiel
En tu cama otra vez
...


 ",24.0,87,NO ME MIRES ASI,0,0,0,0,0,0,0,0,
135,JOSS FAVELA,0.0,Latin / Regional Mexicano,"Por la magia de tus ojos
Y lo dulce de tus labios
Yo me volvería tu esclavo
Tu mendigo, tu payaso
O lo que quisieras tú

Por la dicha de mirarte
Y el placer de saludarte
Yo haría lo inimaginable
Cruzaría todos los mares
Solo por tener tu amor

Porque nunca había visto junta tanta belleza
Porque antes de ti no conocía las princesas
Porque por más que busco no hay palabras correctas
...


 ",19.0,88,LA MAGIA DE TUS OJOS,0,0,0,0,0,0,0,0,
136,BANDA EL RECODO,0.0,,"Esa boquita
Color cereza sabes que me gusta mucho a mí
Me siento tan afortunado de tenerte a ti
Y yo te quiero bien
Quiero que me permitas ser parte de tu vida
Ser por quien tú suspiras

Esos ojitos
Que logran cautivar mi alma con sólo mirarte
Y yo que siempre te miraba tan inalcanzable
Quién iba a imaginar que por ti suspiraba
...


 ",23.0,89,DE TI ME ENAMORE,0,0,0,0,0,0,0,0,
137,DIEGO HERRERA,,Music,,17.0,90,HASTA QUE CANTE EL GALLO,0,0,0,0,0,0,0,0,
138,BANDA SELECTIVA DE ÁNGEL ROMERO EL TACUACHE FT. AHIJADOS DEL RANCHO,0.0,,"Soy el inge para todos mis amigo saben que estamos al
Tiro a la orden pa jalar, culiacan, america y hasta en europa
Sabemos hacer las cosas pa pasear o trabajar la humildad me esta
Corriendo por las venas fue el viejon que me enseño cosas muy buenas
Soy alegre dios me ha dado esa virtud
No tengo la sangre azul pero vengo de una reina

Soy el inge les platicare la historia pues no todo ha sido gloria
Tambien me toco sufrir abusados no se vallan con
La finta aunque me miren arriba a mi me costo subir
Soy alegre sin descuidar el trabajo arremango porque vengo desde abajo
Mi familia siempre ha sido lo primero
Soy amigo soy sincero y jamas nunca me rajo
Yo he tenido dulces tardes muy amargas pero dios me ha dado
...


 ",8.0,91,SOY EL INGE,0,0,0,0,0,0,0,0,
139,BANDA EL RECODO FT EDITH MARQUEZ,,,,20.0,92,TU ME OBLIGASTE,0,0,0,0,0,0,0,0,
140,BANDA LA EJECUTIVA,,,,,93,NO ES NORMAL,0,0,0,0,0,0,0,0,
141,GRUPO CAÑAVERAL,,,,,94,5 MINUTOS,0,0,0,0,0,0,0,0,
142,BANDA LOS RECODITOS,0.0,Latin / Regional Mexicano,"Dime si va hacer así
Tú fingiendo serle fiel
Por qué no buscas una excusa
Para terminar con él

Ya me cansé de esperar
De dejar todo a la mitad
Siempre que estamos por besarnos
Él te llama y tú te vas

Quiero ser más que tu amor
...


 ",27.0,95,ELEGISTE UN ERROR,0,0,0,0,0,0,0,0,
143,RAYMIX FT. PAULINA RUBIO,0.0,,"Are you ready?

Tú y yo tan juntos como un día soñamos
Tú y yo, hoy, día de los enamorados
Tú y yo a cada hora nos amamos
Somos uno para el otro, nadie como nosotros

Tú y yo, es un amor profundo
Tú y yo, pasando por el mundo
Tú y yo, es un amor demente porque solo estás en mi mente

Tú y yo, solo una fantasía
Que yo vivo de noche y de día
Una historia que yo me he inventado pa' estar a tu lado y sentir un amor
...


 ",21.0,96,TU Y YO,0,0,0,0,0,0,0,0,
144,LOS TIGRES DEL NORTE,0.0,Latin / Regional Mexicano,"Cuando era niño, mi madre me decía
""Hijo, no juegues con las armas"" y me dio su bendición

El tren viene llegando, ya lo puedo escuchar
No sé desde cuando
He visto el sol brillar
Porque sigo atrapado, viendo la vida pasar en la prisión

Avanzan los años y el tren sigue su marcha a San Antón

...


 ",24.0,97,LA PRISION DE FOLSOM,0,0,0,0,0,0,0,0,
145,ESPINOZA PAZ,0.0,,"Tomando ando por tu culpa
Porque tú recuerdo llega
Y te empiezo a hechar de menos

Y cuando menos lo espero
Alguien pone tu canción
Y se me parte el corazón

Tomando ando
¿Cómo no voy a tomar?
Si a mis brazos nuevamente
Ya no quieres regresar

Literal, me estoy muriendo
Contigo quiero volver
Tengo un sueño en esta vida
Y es el de volverte a ver

Tomando ando
Porque mi vida sin ti
...


 ",19.0,98,TOMANDO ANDO,0,0,0,0,0,0,0,0,
146,BANDA SELECTIVA DE ANGEL ROMERO EL TACUACHE,0.0,,"Estoy aquí
Y no me da vergüenza
Tratando de acabar
Con tanta tristeza

Pues ya quiero olvidar
A la que me está olvidando
Y matar el dolor
Que me está matando

Usted señor
Que está atrás de la barra
¿Cuando ha curado penas?
Con Un Vaso De Agua

Quién no ha llorado nunca
Frente a la güitarra
Por una hermosa dama.

Por eso vengo
Acá a la cantina
A vaciar botellas
...


 ",5.0,99,CON UN VASO DE AGUA,0,0,0,0,0,0,0,0,
147,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,,Latin,,7.0,100,EL PISTOLERO,0,0,0,0,0,0,0,0,
148,CALIBRE 50,0.0,,"Te vi
Y te reconocí enseguida, sonreí
Supe que el amor de mi vida, estaba frente a mí
Y suspiramos mi alma y yo

No ocupé decirte lo que siento
La sonrisa ya me delató
Agradezco a Dios cada momento
Porque se bien que el nos presentó

...


 ",24.0,101,TE VOLVERÍA A ELEGIR,0,0,0,0,0,0,0,0,
149,DUELO,0.0,Singer/Songwriter,"Así que agarra tus maletas
Un día nuevo nos espera
La historia de nosotros dos
Está a punto de empezar

Te veo y pienso
Que tengo mucho que decirte
Que tengo mucho que entregarte
Sobre las cosas de mi vida, lo mejor

No tengas miedo
Que siempre voy a acompañarte
Estoy contigo a cada instante
Iremos hasta el infinito, entre los dos

Tus ojos bellos encendieron el motor
...


 ",21.0,102,A PUNTO DE EMPEZAR,0,0,0,0,0,0,0,0,
150,PESADO,0.0,Latin,"No me eches la culpa
Si tú me orillaste a actuar de esa manera
Se te olvidó ponerle un poco de consciencia
Me descuidaste por completo, para mí nunca tenías tiempo

En cambio ella
A todas horas me ofreció su compañía
No como tú, siempre ocupada
Había escarcha en nuestra cama

En cambio ella
Siempre a la orden, cuando yo la necesito
Conmigo siempre complaciente
...


 ",25.0,103,EN CAMBIO ELLA,0,0,0,0,0,0,0,0,
151,RAYMIX,0.0,Latin / Salsa y Tropical,"Eh
Y esto es la electrocumbia
Con Raymix, uhu
(Y esto es solo un remake)
Electro-banda

Cuando escucho
Que me dices
Que me amas
Que te mueres por sentir mi cuerpo
Que de ti nunca me vaya
Otra vez veo salir el sol
Lo malo en el pasado se quedó
Y tú eres la razón

Me encanta tu sonrisa
Mi niña
Mi corazón grita
Que me enamoré de ti
Tus besos me inspiran
Y me hacen crecer, subir
No me canso de decirte
Que los ángeles existen
Y mi Dios te hizo pa' mí

...


 ",18.0,104,TU ERES LA RAZON,0,0,0,0,0,0,1,1,
152,LOS PERDIDOS DE SINALOA,0.0,,"Si te di lo mejor de mi vida
Te lo merecías

Si te di lo mejor de mi vida
Te lo merecías
Te hice reina y te puse en un trono
Tal vez por amor
Por mi orgullo te puse en el suelo
Que no se te olvide
Que aquel pedestal donde estabas

Ya se derrumbó
Pero supe bajarte al nivel
Que te has merecido
Si por mí conociste las nubes
...


 ",21.0,105,NOMAS ESTE REY,0,0,0,0,0,1,0,1,
153,ELSA RIOS,,,,7.0,106,NO SERE YO,0,0,0,0,0,1,0,1,
154,BANDA LOS SEBASTIANES,0.0,,"Nada me gano
Con desearte mala suerte
Como tampoco
Gano nada con quererte

Ya te invertí todo mi amor
Todos mis besos
Y nomás gané desprecios
Nunca pude complacerte

Ya estoy cansado
De aguantar tus malos ratos
De ser yo el malo
Y tú la que no quiebra un plato

Nomás me besas
Cuando algo te interesa
Luego, vuelve la tristeza
Y dormimos sin hablarnos
...


 ",37.0,107,ME VOY A IR,0,0,0,0,0,1,0,1,
155,CHAYIN RUBIO,0.0,Latin / Regional Mexicano,"Eres la dosis correcta pa' este corazón que sufre por ti
Que puede morir, si no estás aquí
Eres tú quien me da vida, la que me ilumina
Me elevas al cielo, me das las razones para seguir

Sin ti
Yo no puedo seguir
Te necesito aquí
Porque, sin ti, yo me siento un poco vacío
Mi adicción
Te has vuelto mi adicción
La fuente de calor
...


 ",23.0,108,LA DOSIS PERFECTA,0,0,0,0,0,1,0,1,
156,JARY FRANCO,0.0,Latin / Regional Mexicano,"Jary Franco

Si quieres cámbiate toda la historia
Quédate con la victoria
Di que fui yo el que fallé

No importa
Si ahora quieres alejarte
Porque yo sé que más tarde
Seguro vas a volver

Primero dices que mis besos
Ya no te hacen falta
Y luego buscas mi atención
Ponte de acuerdo con tu corazón

Un día me amas
Y al otro día me odias
Un día me escribes
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Un día me amas
Y al otro día me odias
...


 ",11.0,109,BIPOLAR,0,0,0,0,0,0,0,0,
157,CALIBRE 50,0.0,Latin / Regional Mexicano,"21 tenía Chalito
Le tocó la mala suerte
Cuentan que de muchachito
Le encantaba tronar cuetes
Que al poco tiempo no eran de juguete

La capital no dormía
Si andaba el plebe despierto
Fino chanate traía
De Arturo buen elemento
Salió igualito, igualito que el viejo

Al estilo de aquel hombre
...


 ",32.0,110,CHALITO,0,0,0,0,0,0,1,1,
158,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,0.0,Latin / Regional Mexicano,"Según tus labios hoy necesitan
De aquellos besos que en el pasado te di
Y no me digas que ahora te asustas
Porque el karma anda rondando por ahí

¿Verdad que duele que te desprecien?
Pero es lo mismo que tú me hiciste a mí
Y en el recuento de tanto daño
¿Con qué argumento yo podría abogar por ti?

...


 ",24.0,111,SEGUN TUS LABIOS,0,1,0,0,0,1,0,1,
159,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,0.0,Latin / Regional Mexicano,"Este panorama no me gusta nada
Algo escondes entre manos y no es nada bueno
De un tiempo a la fecha, ya nada es igual
Ojalá que mi sospecha no sea verdad
Pero todo está tan claro, algo anda mal

Ya no te despides besando mi boca
Siempre cargas prisa por quererte ir
Cuando alguien te llama te pones contenta
Tal parece que te esperan por ahí
No me queda duda de que es así

...


 ",21.0,112,SI YA NO ME QUIERES,0,0,0,0,0,0,0,0,
